SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ARUNACHAL PRADESH,1916,48.10,69.80,71.10,316.10,424.60,1124.90,NA,629.70,333.90,NA,NA,NA,NA,117.90,811.80,NA,NA
ARUNACHAL PRADESH,1917,21.40,164.50,NA,269.60,107.90,823.80,909.10,628.40,411.50,199.30,63.50,0.00,NA,185.90,NA,2772.80,262.80
ARUNACHAL PRADESH,1918,10.40,11.00,191.20,144.60,861.10,1609.90,1303.00,692.60,515.80,125.20,7.80,13.70,5486.30,21.40,1196.90,4121.30,146.70
ARUNACHAL PRADESH,1919,34.50,67.80,28.50,256.90,420.60,973.60,999.00,286.70,628.70,948.30,40.70,8.60,4693.90,102.30,706.00,2888.00,997.60
ARUNACHAL PRADESH,1920,14.00,196.30,605.60,364.70,173.60,840.60,535.40,896.50,376.70,103.30,0.00,0.00,4106.70,210.30,1143.90,2649.20,103.30
ARUNACHAL PRADESH,1921,78.90,54.30,180.30,358.00,598.00,1233.20,1433.00,885.90,603.40,246.30,4.60,15.50,5691.40,133.20,1136.30,4155.50,266.40
ARUNACHAL PRADESH,1922,50.70,59.40,170.40,299.50,350.50,1109.30,918.70,488.30,207.60,483.50,30.30,19.00,4187.20,110.10,820.40,2723.90,532.80
ARUNACHAL PRADESH,1923,9.40,160.80,34.00,240.90,445.40,408.60,1278.50,251.30,617.30,50.10,8.40,2.80,3507.50,170.20,720.30,2555.70,61.30
ARUNACHAL PRADESH,1924,85.70,45.10,74.10,162.40,515.70,1165.00,942.70,713.80,410.80,303.30,31.90,0.00,4450.50,130.80,752.20,3232.30,335.20
ARUNACHAL PRADESH,1925,80.60,114.00,143.30,223.00,587.20,611.60,611.00,684.70,1222.00,153.20,5.10,4.10,4439.80,194.60,953.50,3129.30,162.40
ARUNACHAL PRADESH,1926,38.10,40.80,179.10,249.70,248.10,675.20,978.70,445.60,286.90,311.50,18.60,49.30,3521.60,78.90,676.90,2386.40,379.40
ARUNACHAL PRADESH,1927,48.30,208.50,88.10,384.00,164.00,1045.40,923.20,727.80,1108.90,537.20,17.80,0.00,5253.20,256.80,636.10,3805.30,555.00
ARUNACHAL PRADESH,1928,48.90,39.70,118.20,123.40,431.90,1168.30,993.60,981.20,706.10,633.50,25.60,2.30,5272.70,88.60,673.50,3849.20,661.40
ARUNACHAL PRADESH,1929,144.80,59.20,124.30,492.30,615.80,853.00,614.40,670.00,384.30,188.00,64.50,109.50,4320.20,204.10,1232.40,2521.80,362.00
