SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ASSAM & MEGHALAYA,1901,27.10,19.50,30.60,223.00,207.00,524.90,430.60,464.10,291.40,163.70,115.60,1.20,2498.60,46.60,460.50,1710.90,280.50
ASSAM & MEGHALAYA,1902,9.30,10.20,105.60,350.00,262.10,620.70,510.80,536.00,441.30,97.00,7.80,1.30,2952.10,19.40,717.60,2108.90,106.20
ASSAM & MEGHALAYA,1903,19.90,25.40,103.60,140.60,206.60,607.40,362.70,551.90,306.40,159.50,59.30,1.30,2544.70,45.40,450.80,1828.50,220.10
ASSAM & MEGHALAYA,1904,11.10,56.10,51.90,457.10,375.20,385.70,477.60,438.80,245.90,115.90,46.40,2.50,2664.10,67.10,884.20,1548.00,164.80
ASSAM & MEGHALAYA,1905,19.90,16.90,137.90,213.00,275.50,521.70,439.10,649.10,276.00,200.00,16.80,24.80,2790.60,36.80,626.30,1886.00,241.60
ASSAM & MEGHALAYA,1906,9.70,59.20,88.40,263.50,271.30,388.40,541.80,585.90,264.20,165.70,24.90,0.20,2663.40,68.90,623.30,1780.40,190.80
ASSAM & MEGHALAYA,1907,55.80,37.20,109.70,254.80,213.70,509.80,578.90,304.20,401.00,37.60,4.80,13.80,2521.10,93.00,578.10,1793.80,56.20
ASSAM & MEGHALAYA,1908,16.20,25.10,20.70,176.60,332.70,390.80,477.20,339.40,403.40,91.90,3.80,0.00,2277.80,41.30,530.00,1610.80,95.70
ASSAM & MEGHALAYA,1909,19.00,8.90,4.40,195.00,310.40,639.40,345.00,445.20,216.40,162.40,24.60,6.30,2377.00,27.90,509.80,1646.00,193.30
ASSAM & MEGHALAYA,1910,9.20,32.10,152.80,211.50,274.60,582.50,738.30,418.30,247.80,199.70,16.20,4.30,2887.30,41.30,638.90,1986.90,220.20
ASSAM & MEGHALAYA,1911,74.20,19.00,93.00,234.00,431.70,534.00,618.60,417.10,387.80,257.40,26.30,3.00,3096.20,93.20,758.70,1957.50,286.80
ASSAM & MEGHALAYA,1912,9.00,57.80,126.10,301.00,250.20,482.70,567.00,453.40,236.80,181.50,68.40,9.50,2743.50,66.80,677.40,1739.90,259.50
ASSAM & MEGHALAYA,1913,11.90,90.20,118.40,334.20,392.30,458.60,438.00,354.00,279.20,227.70,10.40,45.60,2760.50,102.20,844.90,1529.70,283.70
ASSAM & MEGHALAYA,1914,6.30,79.10,69.90,219.60,317.90,403.90,396.40,472.90,292.30,67.60,10.60,7.40,2343.80,85.50,607.40,1565.40,85.60
ASSAM & MEGHALAYA,1915,9.30,58.90,74.40,201.90,662.90,509.10,738.20,529.10,258.80,108.20,10.00,4.40,3165.10,68.20,939.20,2035.10,122.60
ASSAM & MEGHALAYA,1916,20.00,28.00,118.40,227.90,340.60,367.30,475.30,430.70,308.80,244.90,32.80,6.30,2601.10,48.00,686.90,1582.10,284.00
ASSAM & MEGHALAYA,1917,12.80,91.60,38.70,168.80,206.20,584.70,472.80,346.30,313.70,236.60,46.40,1.40,2519.90,104.40,413.60,1717.40,284.40
ASSAM & MEGHALAYA,1918,4.60,16.10,125.50,152.20,287.40,659.40,805.00,604.80,373.20,70.70,6.80,1.10,3106.80,20.70,565.10,2442.50,78.60
ASSAM & MEGHALAYA,1919,13.10,12.40,22.60,162.10,266.90,485.50,459.00,249.10,441.60,185.70,42.50,3.60,2344.20,25.50,451.60,1635.30,231.90
ASSAM & MEGHALAYA,1920,4.80,51.00,228.10,184.80,282.70,523.80,309.80,521.50,382.60,129.50,3.30,1.80,2623.60,55.80,695.60,1737.60,134.60
ASSAM & MEGHALAYA,1921,35.10,20.30,134.10,324.60,414.80,604.90,542.20,429.40,333.20,142.10,8.50,10.30,2999.70,55.40,873.60,1909.80,160.90
ASSAM & MEGHALAYA,1922,16.60,4.90,77.80,168.70,233.10,548.90,418.40,379.40,265.60,129.90,9.30,9.40,2261.90,21.40,479.60,1612.30,148.70
ASSAM & MEGHALAYA,1923,0.40,59.60,17.10,258.10,397.80,588.60,375.40,267.20,360.90,98.20,11.20,5.90,2440.60,60.00,673.00,1592.10,115.40
ASSAM & MEGHALAYA,1924,10.60,22.70,20.00,221.90,299.40,473.90,609.00,434.00,346.00,127.00,126.90,0.20,2691.40,33.30,541.30,1862.80,254.00
ASSAM & MEGHALAYA,1925,26.40,21.50,53.80,278.30,602.20,330.80,411.10,400.70,322.30,89.50,13.70,0.20,2550.50,47.90,934.20,1465.00,103.40
ASSAM & MEGHALAYA,1926,23.40,23.20,156.90,140.80,253.90,559.30,576.50,354.70,189.20,193.70,6.40,33.60,2511.70,46.60,551.60,1679.70,233.80
ASSAM & MEGHALAYA,1927,33.80,60.50,66.00,265.20,238.40,573.90,447.70,366.40,549.80,161.20,29.80,0.20,2793.10,94.30,569.70,1937.90,191.20
ASSAM & MEGHALAYA,1928,8.30,21.10,61.00,138.90,446.50,420.60,428.10,448.20,343.50,294.80,21.60,1.50,2634.30,29.40,646.40,1640.50,317.90
ASSAM & MEGHALAYA,1929,83.90,3.80,84.10,321.70,570.20,643.40,385.00,333.20,292.80,196.00,17.60,22.10,2953.80,87.70,976.00,1654.40,235.70
ASSAM & MEGHALAYA,1930,18.00,41.00,99.80,199.40,209.80,686.90,287.80,438.50,299.10,149.90,114.40,6.20,2550.70,59.00,509.00,1712.40,270.40
ASSAM & MEGHALAYA,1931,7.60,29.20,47.60,294.70,374.00,605.60,654.60,282.00,330.20,136.70,21.60,16.30,2800.10,36.70,716.30,1872.40,174.70
ASSAM & MEGHALAYA,1932,14.90,36.70,59.10,163.20,488.60,628.50,454.60,467.30,355.80,108.40,90.90,20.60,2888.70,51.50,711.00,1906.30,219.90
ASSAM & MEGHALAYA,1933,10.30,29.00,16.70,214.40,286.70,477.20,427.10,501.70,243.10,122.10,8.10,2.70,2339.10,39.20,517.70,1649.20,132.90
ASSAM & MEGHALAYA,1934,18.50,68.20,27.10,301.20,444.60,754.50,553.20,361.80,246.80,232.80,59.80,6.30,3074.90,86.80,773.00,1916.30,298.90
ASSAM & MEGHALAYA,1935,3.40,53.20,66.50,122.10,381.50,696.90,395.20,573.90,335.00,28.10,19.80,2.90,2678.40,56.60,570.10,2001.00,50.80
ASSAM & MEGHALAYA,1936,13.60,58.70,75.70,217.80,422.80,456.10,559.90,356.40,283.50,179.60,24.00,23.20,2671.30,72.20,716.30,1655.90,226.80
ASSAM & MEGHALAYA,1937,2.20,51.10,19.30,97.40,406.60,422.50,409.20,480.50,278.10,139.30,13.50,4.90,2324.60,53.30,523.40,1590.30,157.60
ASSAM & MEGHALAYA,1938,27.20,16.20,138.00,202.00,247.30,581.00,510.60,435.20,431.40,141.80,55.20,0.60,2786.50,43.40,587.30,1958.20,197.60
ASSAM & MEGHALAYA,1939,1.50,33.60,11.20,178.30,349.60,533.70,484.90,224.90,389.00,190.10,2.80,1.90,2401.60,35.10,539.20,1632.50,194.90
ASSAM & MEGHALAYA,1940,1.50,57.90,180.80,72.60,391.90,500.50,435.40,330.80,353.70,98.10,19.00,9.50,2451.60,59.40,645.30,1620.30,126.60
ASSAM & MEGHALAYA,1941,4.50,32.70,53.80,245.10,522.40,541.70,409.40,361.80,368.10,143.30,16.70,9.90,2709.50,37.20,821.20,1681.00,170.00
