SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
CHHATTISGARH,1901,48.90,116.50,27.80,5.50,18.40,101.60,381.00,476.70,182.80,27.30,0.40,0.00,1387.00,165.40,51.70,1142.20,27.70
CHHATTISGARH,1902,0.60,6.50,0.40,13.90,10.30,37.20,403.80,236.60,198.10,4.70,8.10,3.70,923.90,7.10,24.60,875.70,16.50
CHHATTISGARH,1903,6.20,13.90,0.40,6.80,51.10,110.70,365.90,396.00,212.00,168.00,0.10,0.00,1331.20,20.10,58.30,1084.70,168.10
CHHATTISGARH,1904,0.00,8.60,32.30,0.20,77.50,369.50,303.60,483.60,86.80,129.30,1.00,0.00,1492.40,8.60,110.00,1243.50,130.40
CHHATTISGARH,1905,50.30,22.60,19.00,24.60,31.80,40.40,443.70,270.80,338.80,8.90,0.00,0.00,1251.10,72.90,75.50,1093.80,8.90
CHHATTISGARH,1906,25.00,91.00,52.50,0.00,4.10,210.10,445.20,258.30,242.30,41.20,10.20,14.70,1394.60,115.90,56.70,1155.80,66.10
CHHATTISGARH,1907,4.00,40.20,41.70,39.40,4.50,286.50,233.60,494.40,141.80,0.10,7.30,15.30,1308.80,44.30,85.60,1156.20,22.70
CHHATTISGARH,1908,8.40,67.10,6.30,1.50,6.50,182.40,465.90,590.00,146.70,12.90,0.00,1.10,1488.70,75.40,14.30,1385.00,14.00
CHHATTISGARH,1909,11.30,5.80,3.10,112.80,6.10,266.10,473.90,210.80,142.80,6.70,0.00,44.70,1284.10,17.10,122.00,1093.60,51.40
CHHATTISGARH,1910,9.00,0.60,3.70,21.50,13.30,246.00,296.60,441.40,265.20,92.60,17.40,0.00,1407.20,9.50,38.60,1249.20,110.00
CHHATTISGARH,1911,2.20,0.00,21.70,0.80,9.00,366.70,215.70,474.60,244.60,131.60,37.40,0.00,1504.10,2.20,31.50,1301.50,169.00
CHHATTISGARH,1912,3.10,73.90,1.00,22.60,11.30,62.30,422.50,411.90,194.00,13.00,11.30,0.00,1227.00,77.00,34.90,1090.80,24.30
CHHATTISGARH,1913,4.30,85.40,31.80,4.10,35.80,246.00,374.40,285.60,122.20,24.90,6.20,14.00,1234.60,89.70,71.70,1028.20,45.10
CHHATTISGARH,1914,0.00,7.90,21.00,38.60,51.50,186.10,493.80,373.00,234.10,5.00,0.20,6.80,1418.10,7.90,111.10,1287.00,12.00
CHHATTISGARH,1915,25.00,42.40,19.70,16.60,21.20,131.30,364.60,435.90,251.00,121.00,27.20,0.00,1455.90,67.40,57.60,1182.70,148.20
