SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
COASTAL ANDHRA PRADESH,1901,18.80,80.90,7.20,28.70,68.70,77.70,113.00,133.70,125.30,173.40,164.80,1.50,993.80,99.70,104.60,449.70,339.80
COASTAL ANDHRA PRADESH,1902,2.00,0.00,2.80,23.90,37.60,72.60,144.50,236.10,204.50,262.00,50.40,27.10,1063.60,2.00,64.40,657.70,339.50
COASTAL ANDHRA PRADESH,1903,0.80,13.30,0.20,6.20,73.40,154.00,248.60,258.00,216.50,159.10,173.90,12.10,1316.20,14.20,79.80,877.10,345.10
COASTAL ANDHRA PRADESH,1904,1.30,0.00,5.40,3.00,136.30,107.80,120.20,117.70,116.80,240.90,0.00,10.70,860.20,1.30,144.70,462.60,251.60
COASTAL ANDHRA PRADESH,1905,1.10,16.70,68.00,37.00,68.80,84.40,64.60,210.80,170.20,66.00,7.40,0.00,795.20,17.80,173.80,530.10,73.40
COASTAL ANDHRA PRADESH,1906,3.90,23.50,9.90,2.30,11.00,252.60,155.80,241.10,126.90,92.10,21.50,80.80,1021.50,27.40,23.20,776.40,194.50
COASTAL ANDHRA PRADESH,1907,0.60,3.00,38.90,80.90,18.90,224.50,119.70,118.20,94.70,37.00,52.40,29.10,817.90,3.60,138.70,557.20,118.40
COASTAL ANDHRA PRADESH,1908,54.10,1.30,1.70,7.20,40.90,57.20,120.90,162.00,320.90,73.90,2.10,0.00,842.30,55.50,49.80,661.10,75.90
COASTAL ANDHRA PRADESH,1909,1.30,1.30,0.20,112.20,34.00,109.70,154.20,193.10,169.80,13.40,3.10,75.20,867.60,2.60,146.50,626.80,91.70
COASTAL ANDHRA PRADESH,1910,0.90,2.40,0.20,31.90,22.60,179.60,222.20,204.50,216.80,286.40,87.20,0.00,1254.60,3.30,54.70,823.00,373.60
COASTAL ANDHRA PRADESH,1911,0.00,0.00,10.30,14.40,31.20,150.50,158.10,76.20,160.40,119.70,77.60,21.00,819.50,0.00,56.00,545.10,218.40
COASTAL ANDHRA PRADESH,1912,0.00,9.60,4.80,15.20,33.60,55.90,217.90,230.10,188.70,86.10,61.70,0.00,903.60,9.60,53.60,692.50,147.90
COASTAL ANDHRA PRADESH,1913,0.00,12.90,0.50,3.30,68.20,129.00,166.90,124.30,119.50,206.70,7.20,2.40,841.00,12.90,72.10,539.70,216.30
COASTAL ANDHRA PRADESH,1914,0.00,10.90,5.80,73.00,77.70,171.70,157.40,178.50,292.40,22.80,17.80,5.10,1013.20,10.90,156.60,800.00,45.70
COASTAL ANDHRA PRADESH,1915,21.10,17.90,53.30,44.80,63.50,177.30,134.80,226.50,170.50,228.80,208.80,0.00,1347.40,39.00,161.70,709.10,437.70
COASTAL ANDHRA PRADESH,1916,0.20,5.10,0.50,16.30,43.90,157.90,282.10,197.10,166.20,355.90,126.00,0.10,1351.20,5.30,60.70,803.30,481.90
COASTAL ANDHRA PRADESH,1917,1.10,25.10,14.90,16.40,105.50,201.40,142.40,215.80,219.60,216.00,126.50,5.00,1289.60,26.30,136.70,779.20,347.40
COASTAL ANDHRA PRADESH,1918,25.10,2.50,9.50,13.00,79.60,109.40,107.40,130.90,149.60,30.80,111.70,8.50,778.00,27.60,102.00,497.40,151.00
COASTAL ANDHRA PRADESH,1919,41.30,22.90,10.40,23.60,70.00,111.20,194.80,118.60,161.80,194.50,183.60,8.70,1141.40,64.20,104.00,586.40,386.80
COASTAL ANDHRA PRADESH,1920,9.60,23.80,4.70,25.10,78.40,83.00,71.60,124.90,113.60,176.50,12.20,0.00,723.50,33.30,108.20,393.20,188.70
COASTAL ANDHRA PRADESH,1921,52.30,0.10,0.10,35.30,11.20,97.60,204.60,168.00,228.70,192.60,24.70,0.00,1015.00,52.40,46.50,698.90,217.20
COASTAL ANDHRA PRADESH,1922,10.90,0.00,0.00,5.30,35.80,103.30,145.60,132.60,117.50,128.00,174.00,0.20,853.30,10.90,41.10,499.00,302.30
COASTAL ANDHRA PRADESH,1923,0.20,58.30,13.50,14.90,39.10,44.30,128.80,53.40,260.60,267.50,245.60,0.10,1126.40,58.50,67.50,487.10,513.20
COASTAL ANDHRA PRADESH,1924,3.70,6.20,0.60,8.80,66.10,66.20,111.60,197.60,349.80,131.00,240.30,0.00,1182.00,9.90,75.60,725.10,371.40
COASTAL ANDHRA PRADESH,1925,2.90,0.10,5.60,40.20,196.40,151.40,197.80,223.90,103.40,262.60,46.10,8.10,1238.50,3.00,242.20,676.50,316.80
COASTAL ANDHRA PRADESH,1926,13.70,7.70,78.70,57.10,36.40,72.40,191.40,173.30,162.80,76.70,0.50,0.00,870.70,21.40,172.20,599.90,77.20
COASTAL ANDHRA PRADESH,1927,14.10,8.40,18.50,6.30,40.00,196.40,172.40,197.20,157.00,66.10,176.50,0.00,1053.00,22.60,64.80,723.10,242.60
COASTAL ANDHRA PRADESH,1928,0.00,2.80,1.40,55.10,31.00,88.70,189.00,136.40,208.20,385.90,2.20,0.70,1101.30,2.80,87.40,622.20,388.80
