SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
COASTAL KARNATAKA,1901,1.80,0.60,10.70,52.40,81.60,960.90,991.20,606.40,108.00,120.50,104.90,17.80,3056.90,2.40,144.70,2666.60,243.30
COASTAL KARNATAKA,1902,3.20,0.30,4.90,10.20,54.60,698.40,1401.60,454.20,708.40,180.40,50.80,132.20,3699.20,3.50,69.70,3262.60,363.50
COASTAL KARNATAKA,1903,0.70,0.00,0.00,4.10,202.80,536.50,1405.50,593.80,304.40,185.00,79.30,5.30,3317.40,0.70,206.90,2840.10,269.60
COASTAL KARNATAKA,1904,2.40,0.00,4.80,23.70,93.20,1108.20,1070.00,465.60,245.30,127.20,0.70,0.00,3141.10,2.40,121.70,2889.10,127.90
COASTAL KARNATAKA,1905,0.00,0.20,0.00,6.40,83.10,767.30,777.30,586.90,172.90,222.20,36.10,0.00,2652.30,0.20,89.40,2304.30,258.40
COASTAL KARNATAKA,1906,23.00,0.00,0.00,0.50,29.80,593.60,1173.40,535.00,273.30,128.50,22.10,56.80,2836.00,23.00,30.30,2575.20,207.50
COASTAL KARNATAKA,1907,7.00,0.00,2.70,91.30,19.00,845.90,1166.30,1026.10,223.60,87.70,55.80,9.80,3535.20,7.00,113.00,3261.90,153.20
COASTAL KARNATAKA,1908,0.00,3.10,0.90,46.10,38.00,708.60,1904.90,766.60,128.00,56.80,2.50,0.00,3655.50,3.10,85.00,3508.10,59.30
COASTAL KARNATAKA,1909,4.00,1.00,3.70,6.30,200.10,943.10,1285.60,315.60,293.80,68.80,47.80,3.20,3172.90,5.00,210.10,2838.10,119.80
COASTAL KARNATAKA,1910,0.00,0.00,5.00,6.20,40.20,1042.20,589.50,651.20,441.70,177.80,67.00,0.00,3020.80,0.00,51.40,2724.70,244.80
COASTAL KARNATAKA,1911,0.00,0.00,0.00,3.20,71.00,749.50,830.10,538.30,110.30,160.80,41.60,17.50,2522.30,0.00,74.20,2228.20,219.90
COASTAL KARNATAKA,1912,1.10,0.00,0.00,30.50,64.00,787.60,1261.50,789.20,160.80,220.90,80.10,0.40,3395.90,1.10,94.40,2999.10,301.40
COASTAL KARNATAKA,1913,0.00,0.40,0.50,10.60,74.20,786.50,1048.00,410.70,161.00,339.10,1.20,4.00,2836.30,0.40,85.30,2406.30,344.30
COASTAL KARNATAKA,1914,0.00,0.00,0.00,7.20,36.90,743.20,1583.70,933.80,302.80,125.90,102.70,36.60,3872.70,0.00,44.10,3563.40,265.20
COASTAL KARNATAKA,1915,0.10,2.30,2.00,48.80,75.20,785.00,773.20,388.90,304.00,168.30,96.90,4.20,2648.70,2.30,126.00,2250.90,269.40
COASTAL KARNATAKA,1916,0.00,0.00,0.30,25.20,88.70,1051.40,633.50,617.00,587.80,208.70,255.20,0.00,3467.90,0.00,114.30,2889.70,463.90
COASTAL KARNATAKA,1917,0.00,29.80,7.10,10.20,52.60,1075.70,766.10,597.60,500.50,319.60,64.80,0.00,3424.10,29.80,70.00,2939.90,384.40
COASTAL KARNATAKA,1918,3.40,0.30,3.90,11.40,699.50,564.40,360.60,485.40,134.30,64.70,168.80,14.20,2510.90,3.70,714.90,1544.70,247.70
COASTAL KARNATAKA,1919,0.00,0.00,0.00,2.40,74.40,669.90,960.90,632.70,208.30,236.20,124.00,9.30,2918.10,0.00,76.80,2471.80,369.60
COASTAL KARNATAKA,1920,2.10,0.00,0.10,72.70,29.20,813.30,1107.50,464.70,133.50,129.80,36.30,0.00,2789.20,2.10,102.00,2519.00,166.10
COASTAL KARNATAKA,1921,13.00,0.00,3.50,62.40,18.60,699.40,871.90,841.60,327.10,128.60,41.30,0.00,3007.40,13.00,84.50,2740.00,170.00
COASTAL KARNATAKA,1922,6.50,3.10,0.00,44.80,123.40,763.10,1333.20,564.90,314.40,89.80,89.40,0.00,3332.60,9.70,168.20,2975.60,179.10
COASTAL KARNATAKA,1923,0.80,0.20,32.20,9.80,52.80,604.80,1627.20,1013.20,283.30,44.40,6.60,5.80,3681.10,1.00,94.70,3528.50,56.90
COASTAL KARNATAKA,1924,0.00,0.00,14.80,46.00,47.20,889.60,1515.40,602.70,282.70,94.40,30.80,5.20,3528.90,0.00,108.00,3290.50,130.40
COASTAL KARNATAKA,1925,0.00,0.00,17.10,20.80,176.60,1176.40,1117.20,733.70,81.50,213.20,27.70,17.20,3581.30,0.00,214.60,3108.70,258.10
COASTAL KARNATAKA,1926,12.30,2.00,0.10,7.30,15.30,686.30,976.40,850.30,258.70,143.60,4.00,0.10,2956.40,14.30,22.60,2771.70,147.70
COASTAL KARNATAKA,1927,0.00,0.00,0.60,21.50,80.10,683.40,1313.20,535.80,319.90,110.50,151.30,0.00,3216.40,0.00,102.20,2852.30,261.90
COASTAL KARNATAKA,1928,0.10,29.30,21.70,36.30,17.10,844.60,1108.80,836.60,107.40,316.40,12.00,9.30,3339.60,29.40,75.00,2897.40,337.70
COASTAL KARNATAKA,1929,1.90,0.20,2.50,105.60,114.70,1361.60,901.30,566.90,265.20,281.90,61.40,0.20,3663.60,2.20,222.80,3095.00,343.50
COASTAL KARNATAKA,1930,1.20,0.20,0.00,19.30,171.50,910.90,706.80,420.80,401.20,254.10,14.20,12.60,2913.00,1.40,190.80,2439.70,281.00
COASTAL KARNATAKA,1931,0.00,0.00,2.40,33.40,85.10,673.40,1244.00,1201.90,255.60,183.50,106.70,56.50,3842.40,0.00,120.90,3374.80,346.70
COASTAL KARNATAKA,1932,0.00,0.00,0.00,25.40,255.40,661.50,1072.40,457.20,469.90,348.70,125.60,7.30,3423.40,0.00,280.80,2661.00,481.60
COASTAL KARNATAKA,1933,0.00,0.10,5.40,60.60,360.30,1031.90,1326.60,481.30,502.50,292.80,42.30,35.60,4139.50,0.10,426.30,3342.40,370.70
COASTAL KARNATAKA,1934,7.40,0.60,1.00,16.00,24.40,1095.60,827.50,678.20,184.20,143.20,32.70,1.00,3011.80,8.00,41.50,2785.30,176.90
COASTAL KARNATAKA,1935,2.00,0.00,0.70,11.30,25.20,674.00,1168.10,425.50,312.50,245.00,11.90,9.90,2886.00,2.00,37.10,2580.20,266.80
COASTAL KARNATAKA,1936,0.00,0.90,23.30,14.70,138.70,1075.60,981.60,562.30,195.60,219.40,108.60,4.10,3324.70,0.90,176.60,2815.10,332.10
COASTAL KARNATAKA,1937,0.00,0.00,5.70,110.10,30.30,740.80,1531.70,365.70,274.10,240.80,11.80,3.20,3314.20,0.00,146.10,2912.30,255.80
COASTAL KARNATAKA,1938,0.00,0.00,15.50,43.30,138.20,1025.30,950.20,429.90,374.00,134.30,39.90,0.30,3150.90,0.00,197.00,2779.40,174.50
COASTAL KARNATAKA,1939,0.00,0.00,5.40,35.90,8.40,725.70,903.90,631.40,127.30,232.60,73.40,0.20,2744.20,0.00,49.70,2388.20,306.20
COASTAL KARNATAKA,1940,0.10,0.00,0.20,26.90,131.00,713.80,1155.70,1247.40,100.40,222.50,120.50,5.50,3723.90,0.10,158.00,3217.30,348.50
COASTAL KARNATAKA,1941,4.10,1.20,5.50,18.10,60.50,869.70,589.80,561.60,224.90,122.80,21.60,35.30,2515.10,5.30,84.10,2246.00,179.70
COASTAL KARNATAKA,1942,0.00,1.70,0.30,77.20,72.50,1104.80,1338.30,540.30,189.50,129.90,25.90,22.40,3502.60,1.70,149.90,3172.80,178.10
