SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
EAST MADHYA PRADESH,1901,48.50,38.10,15.70,10.70,6.20,61.00,367.50,589.20,189.90,5.90,0.00,0.00,1332.70,86.50,32.70,1207.70,5.90
EAST MADHYA PRADESH,1902,14.90,8.90,0.00,3.60,2.70,28.00,411.90,227.00,236.60,17.00,27.60,6.10,984.20,23.80,6.20,903.50,50.70
EAST MADHYA PRADESH,1903,5.60,2.90,0.30,0.90,37.50,67.50,261.40,366.70,257.40,177.90,0.00,0.00,1178.10,8.50,38.70,953.00,177.90
EAST MADHYA PRADESH,1904,2.00,15.30,48.20,0.00,8.60,109.90,443.20,316.60,135.60,44.80,3.20,16.90,1144.20,17.30,56.70,1005.20,65.00
EAST MADHYA PRADESH,1905,15.90,8.00,14.30,12.30,10.20,34.40,292.40,243.30,250.90,2.90,0.00,1.60,886.00,23.90,36.70,821.00,4.40
EAST MADHYA PRADESH,1906,12.10,28.30,30.80,0.00,3.50,226.10,444.20,190.10,417.00,7.10,1.70,8.80,1369.70,40.40,34.40,1277.30,17.60
EAST MADHYA PRADESH,1907,7.00,103.10,4.50,30.50,5.10,90.90,221.90,512.30,20.10,0.00,13.00,1.20,1009.60,110.10,40.10,845.20,14.20
EAST MADHYA PRADESH,1908,18.20,17.00,9.40,1.40,3.40,117.70,528.90,588.60,127.50,13.00,0.40,5.00,1430.60,35.20,14.10,1362.80,18.40
EAST MADHYA PRADESH,1909,19.80,16.30,5.30,72.40,6.20,208.50,387.00,240.50,123.60,0.20,0.00,42.20,1122.00,36.10,83.90,959.60,42.40
EAST MADHYA PRADESH,1910,10.00,0.10,0.20,2.60,9.60,221.30,225.60,377.50,258.00,49.00,68.30,0.00,1222.20,10.10,12.40,1082.40,117.30
EAST MADHYA PRADESH,1911,22.70,0.80,15.90,0.80,3.90,204.70,175.90,362.60,296.40,62.90,50.50,0.00,1197.10,23.50,20.60,1039.60,113.30
EAST MADHYA PRADESH,1912,8.40,46.00,0.20,4.80,3.10,35.60,460.40,373.50,165.80,1.00,49.20,2.50,1150.60,54.30,8.10,1035.40,52.70
EAST MADHYA PRADESH,1913,1.30,58.40,22.70,0.00,24.20,201.60,262.50,281.30,63.10,2.70,0.70,17.70,936.40,59.80,46.90,808.50,21.20
EAST MADHYA PRADESH,1914,0.10,9.30,56.10,19.80,21.30,107.60,544.50,339.80,138.40,8.40,1.90,2.80,1250.10,9.40,97.20,1130.40,13.10
EAST MADHYA PRADESH,1915,16.20,36.70,52.60,8.30,10.40,178.20,378.40,416.20,159.70,116.20,6.70,2.80,1382.30,52.90,71.30,1132.60,125.60
EAST MADHYA PRADESH,1916,0.00,26.60,0.10,2.20,6.30,286.00,250.50,452.70,253.20,177.40,25.20,0.00,1480.20,26.60,8.50,1242.40,202.60
EAST MADHYA PRADESH,1917,5.80,39.30,25.40,6.40,63.20,223.80,396.40,466.30,345.90,63.00,0.00,3.80,1639.30,45.00,95.00,1432.40,66.80
EAST MADHYA PRADESH,1918,1.20,6.50,2.30,1.20,29.10,233.10,191.90,331.90,102.90,0.20,18.70,11.50,930.50,7.70,32.60,859.80,30.40
EAST MADHYA PRADESH,1919,120.70,29.70,10.80,9.20,23.20,158.90,479.80,713.00,105.60,82.30,10.80,3.30,1747.10,150.30,43.10,1457.30,96.40
EAST MADHYA PRADESH,1920,12.20,1.70,17.00,6.30,12.70,93.80,426.40,237.80,91.60,0.10,0.00,0.00,899.50,13.90,36.00,849.60,0.10
EAST MADHYA PRADESH,1921,24.40,3.40,0.00,0.50,0.00,216.60,255.10,379.50,251.60,0.90,0.00,0.00,1132.10,27.80,0.60,1102.80,0.90
EAST MADHYA PRADESH,1922,39.10,6.10,0.50,2.50,0.90,132.70,459.20,321.00,231.10,6.60,35.00,3.20,1238.00,45.20,4.00,1144.10,44.80
EAST MADHYA PRADESH,1923,5.10,9.80,20.00,2.10,2.30,27.20,466.70,676.30,193.40,31.50,0.20,9.20,1443.90,14.90,24.50,1363.60,40.90
EAST MADHYA PRADESH,1924,29.40,9.00,7.20,1.10,1.40,43.50,547.30,377.70,244.60,29.90,13.80,10.50,1315.30,38.40,9.70,1213.20,54.10
EAST MADHYA PRADESH,1925,0.10,0.00,0.00,0.20,29.80,191.90,575.00,287.60,204.00,11.70,53.80,0.30,1354.50,0.10,30.10,1258.60,65.80
EAST MADHYA PRADESH,1926,21.10,3.10,49.20,41.00,31.00,26.30,327.20,551.40,538.70,135.90,1.20,0.90,1726.80,24.20,121.20,1443.60,138.00
EAST MADHYA PRADESH,1927,8.40,18.70,44.40,1.80,2.50,100.10,430.40,382.80,93.60,67.10,77.70,8.40,1235.90,27.10,48.80,1006.90,153.20
EAST MADHYA PRADESH,1928,15.70,52.80,9.10,1.00,2.50,152.70,475.00,185.00,63.10,96.60,0.00,53.50,1106.90,68.50,12.60,875.70,150.10
EAST MADHYA PRADESH,1929,30.00,17.40,0.20,11.20,1.70,94.30,524.90,399.20,103.00,17.70,0.00,47.90,1247.40,47.40,13.10,1121.40,65.60
EAST MADHYA PRADESH,1930,2.10,3.50,3.00,31.30,6.90,134.00,597.90,268.40,109.20,33.90,5.20,8.50,1203.90,5.50,41.30,1109.50,47.60
EAST MADHYA PRADESH,1931,13.70,29.50,9.00,3.30,3.20,69.60,294.50,458.10,290.90,151.60,16.20,2.60,1342.20,43.20,15.40,1113.10,170.50
EAST MADHYA PRADESH,1932,0.00,22.50,13.90,2.40,6.30,105.10,534.50,198.00,242.80,22.50,3.10,0.00,1150.90,22.50,22.50,1080.30,25.60
EAST MADHYA PRADESH,1933,8.40,44.00,18.80,29.50,74.20,143.80,360.60,321.10,294.40,61.40,8.90,3.30,1368.40,52.40,122.50,1120.00,73.50
EAST MADHYA PRADESH,1934,15.90,0.10,10.50,2.20,0.20,228.50,320.70,447.10,395.10,19.90,20.90,12.10,1473.30,16.00,12.90,1391.40,53.00
EAST MADHYA PRADESH,1935,21.50,17.20,0.20,19.10,0.50,88.30,624.40,292.60,200.60,2.40,0.20,12.90,1279.90,38.70,19.80,1205.90,15.50
EAST MADHYA PRADESH,1936,10.20,31.60,22.00,10.40,15.70,233.30,421.90,415.20,217.00,49.00,71.80,6.10,1504.20,41.80,48.10,1287.30,126.90
EAST MADHYA PRADESH,1937,0.10,59.70,11.20,43.50,2.40,186.90,465.50,344.70,179.40,100.00,3.60,1.10,1398.00,59.80,57.00,1176.50,104.70
EAST MADHYA PRADESH,1938,52.30,11.50,6.40,2.60,22.30,300.70,403.40,322.00,158.20,94.30,0.00,0.00,1373.80,63.80,31.40,1184.40,94.30
EAST MADHYA PRADESH,1939,36.40,19.30,20.00,6.40,0.00,186.60,496.00,393.90,180.80,7.90,0.00,0.00,1347.20,55.70,26.40,1257.20,7.90
EAST MADHYA PRADESH,1940,3.40,15.90,16.00,6.60,10.60,117.00,447.20,431.00,81.90,35.00,2.80,25.40,1192.80,19.30,33.30,1077.00,63.20
EAST MADHYA PRADESH,1941,30.00,35.70,15.20,3.10,8.10,124.80,190.20,300.50,111.20,9.20,0.00,0.10,828.10,65.70,26.40,726.80,9.30
EAST MADHYA PRADESH,1942,40.80,79.80,10.20,5.00,0.90,166.40,605.60,381.80,196.50,1.20,0.00,20.10,1508.40,120.60,16.10,1350.30,21.30
EAST MADHYA PRADESH,1943,115.60,1.80,0.00,10.70,28.50,119.20,421.80,386.50,238.30,58.80,1.30,0.00,1382.40,117.40,39.30,1165.70,60.10
EAST MADHYA PRADESH,1944,29.60,68.40,87.30,10.70,1.80,103.10,533.70,379.50,150.50,50.50,6.30,5.70,1427.00,97.90,99.70,1166.80,62.50
EAST MADHYA PRADESH,1945,42.50,0.70,0.00,30.00,6.00,224.90,410.00,287.10,256.20,26.60,0.00,2.20,1286.30,43.20,36.00,1178.20,28.90
EAST MADHYA PRADESH,1946,0.00,23.20,0.90,13.50,8.10,346.00,376.30,480.80,95.60,32.60,108.90,8.60,1494.30,23.20,22.40,1298.70,150.00
EAST MADHYA PRADESH,1947,50.50,26.50,19.60,1.70,2.40,91.40,487.90,438.70,269.50,29.30,0.30,1.80,1419.50,77.00,23.60,1287.50,31.40
EAST MADHYA PRADESH,1948,66.10,11.00,3.60,3.20,1.20,189.20,355.80,371.20,302.80,22.60,103.80,0.00,1430.40,77.10,7.90,1219.00,126.40
EAST MADHYA PRADESH,1949,2.00,15.40,2.80,1.50,24.30,114.40,351.00,302.70,296.20,124.70,0.00,0.40,1235.50,17.40,28.70,1064.30,125.10
EAST MADHYA PRADESH,1950,15.10,27.70,35.90,1.70,2.50,75.30,461.10,408.40,114.30,13.10,0.20,22.60,1177.90,42.80,40.20,1059.10,35.90
EAST MADHYA PRADESH,1951,19.30,21.00,44.50,16.50,9.90,138.50,285.80,382.40,221.60,35.90,0.00,0.00,1175.60,40.30,70.90,1028.40,35.90
EAST MADHYA PRADESH,1952,1.10,27.10,8.80,2.90,2.60,196.40,386.80,400.30,117.10,8.30,0.00,4.00,1155.30,28.10,14.30,1100.60,12.30
EAST MADHYA PRADESH,1953,16.40,4.80,0.00,7.10,2.00,42.70,408.30,348.00,160.80,16.30,0.00,0.60,1007.10,21.30,9.10,959.80,16.90
EAST MADHYA PRADESH,1954,16.60,12.20,6.40,3.10,0.10,80.50,329.70,289.50,332.00,5.80,0.00,0.60,1076.70,28.90,9.60,1031.80,6.40
EAST MADHYA PRADESH,1955,70.90,3.00,1.60,3.00,3.40,236.40,260.20,427.10,295.70,119.60,0.00,0.00,1421.00,73.90,8.10,1219.40,119.60
EAST MADHYA PRADESH,1956,14.10,5.50,6.60,1.70,25.90,187.90,525.30,415.20,184.90,73.30,53.70,21.80,1515.80,19.60,34.10,1313.30,148.80
EAST MADHYA PRADESH,1957,20.80,0.90,63.80,17.90,6.20,61.30,349.70,359.50,113.60,6.60,0.00,0.50,1000.80,21.80,87.90,884.10,7.10
EAST MADHYA PRADESH,1958,8.10,17.00,14.20,6.00,1.30,65.70,435.80,273.60,236.60,109.60,3.50,0.10,1171.60,25.10,21.50,1011.80,113.10
EAST MADHYA PRADESH,1959,49.10,3.80,1.40,8.10,30.20,81.30,437.80,397.30,231.20,61.70,0.30,0.00,1302.40,52.90,39.80,1147.70,62.00
EAST MADHYA PRADESH,1960,46.80,0.10,24.60,6.20,1.30,113.10,376.30,495.30,82.70,104.80,0.00,0.80,1252.00,46.90,32.10,1067.40,105.60
EAST MADHYA PRADESH,1961,29.00,11.20,3.80,5.80,8.40,132.90,499.40,462.90,358.40,65.70,7.50,13.70,1598.80,40.30,18.00,1453.70,86.80
EAST MADHYA PRADESH,1962,12.80,23.10,21.50,9.50,9.50,55.50,327.20,325.70,229.50,1.40,1.70,51.00,1068.40,36.00,40.40,937.90,54.10
EAST MADHYA PRADESH,1963,7.20,13.50,5.70,16.20,10.70,147.90,274.20,364.40,243.60,27.90,7.70,1.20,1120.10,20.70,32.50,1030.10,36.80
EAST MADHYA PRADESH,1964,0.20,8.10,2.20,1.30,2.50,131.50,360.10,433.00,226.00,21.30,0.90,0.20,1187.30,8.30,6.00,1150.60,22.40
EAST MADHYA PRADESH,1965,4.60,0.90,15.30,12.50,0.60,68.50,205.90,185.00,184.20,11.20,0.10,9.10,697.80,5.40,28.40,643.50,20.50
EAST MADHYA PRADESH,1966,13.20,3.80,1.90,0.70,7.60,210.70,253.40,262.00,51.00,2.20,34.00,8.80,849.10,17.00,10.10,777.00,45.00
EAST MADHYA PRADESH,1967,0.20,0.00,53.30,1.10,2.10,118.50,396.50,481.20,262.00,5.80,1.10,86.00,1407.80,0.20,56.50,1258.30,92.90
EAST MADHYA PRADESH,1968,35.70,12.10,8.80,3.50,1.20,101.90,355.80,281.30,151.50,20.40,0.00,1.50,973.60,47.80,13.40,890.40,22.00
