SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
EAST RAJASTHAN,1901,21.60,8.90,2.90,0.70,5.00,15.00,164.80,175.60,7.50,9.80,0.00,0.80,412.50,30.50,8.50,362.90,10.60
EAST RAJASTHAN,1902,4.10,0.70,0.00,1.80,9.90,34.60,247.60,116.70,145.60,14.40,0.00,2.80,578.30,4.80,11.70,544.50,17.20
EAST RAJASTHAN,1903,1.90,0.70,1.30,0.10,12.90,15.60,238.20,229.10,168.50,17.80,0.00,0.00,686.10,2.70,14.20,651.40,17.80
EAST RAJASTHAN,1904,4.30,5.50,21.70,0.20,27.50,49.90,289.70,223.50,50.20,1.50,5.80,14.70,694.50,9.80,49.40,613.30,22.00
EAST RAJASTHAN,1905,4.10,8.80,3.20,1.60,2.00,14.40,130.50,30.90,83.80,0.00,0.00,0.60,279.80,12.80,6.80,259.60,0.60
EAST RAJASTHAN,1906,0.20,23.10,6.20,0.00,1.60,61.90,262.50,95.50,191.40,1.90,0.00,3.00,647.40,23.40,7.80,611.30,4.90
EAST RAJASTHAN,1907,6.30,35.70,7.00,14.30,12.70,18.50,134.10,319.80,3.30,0.00,0.00,0.00,551.80,42.00,34.00,475.70,0.00
EAST RAJASTHAN,1908,13.90,0.80,1.60,0.40,6.20,42.60,395.20,349.00,58.70,0.20,1.40,0.10,870.20,14.70,8.30,845.60,1.70
EAST RAJASTHAN,1909,4.90,1.40,0.00,43.20,5.20,115.30,299.40,207.40,82.50,1.70,0.00,20.80,781.60,6.20,48.30,704.60,22.40
EAST RAJASTHAN,1910,7.90,1.10,0.00,1.90,1.20,124.60,114.00,250.20,134.20,48.20,2.00,0.00,685.30,9.00,3.20,622.90,50.20
EAST RAJASTHAN,1911,13.60,0.50,18.30,0.70,0.10,69.30,42.60,73.80,173.60,6.40,21.20,0.20,420.40,14.10,19.20,359.30,27.80
EAST RAJASTHAN,1912,9.70,5.20,1.70,2.70,5.50,30.80,304.70,237.60,48.50,2.00,5.10,1.80,655.40,14.90,10.00,621.60,9.00
EAST RAJASTHAN,1913,0.00,9.50,0.80,0.10,46.00,111.60,160.70,107.00,44.00,1.50,0.40,16.60,498.30,9.50,46.90,423.30,18.50
