SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
EAST UTTAR PRADESH,1901,62.60,31.30,8.20,1.10,13.60,21.80,226.50,285.60,215.40,4.90,0.10,2.10,873.20,93.90,22.90,749.30,7.10
EAST UTTAR PRADESH,1902,6.10,2.30,2.40,2.00,21.40,32.50,411.50,155.40,257.20,13.20,1.20,0.00,905.20,8.30,25.90,856.60,14.50
EAST UTTAR PRADESH,1903,8.20,0.40,1.30,0.70,15.30,71.60,115.30,420.20,258.70,324.70,0.00,0.00,1216.40,8.60,17.30,865.80,324.70
EAST UTTAR PRADESH,1904,7.30,1.50,8.30,0.40,28.70,148.00,359.40,328.80,95.00,50.60,17.00,26.30,1071.20,8.80,37.40,931.10,93.90
EAST UTTAR PRADESH,1905,16.80,23.60,20.00,5.40,15.40,17.30,302.40,316.20,169.50,3.30,0.00,1.60,891.60,40.50,40.90,805.40,4.90
EAST UTTAR PRADESH,1906,5.70,58.20,6.70,0.00,13.50,140.60,341.20,290.90,135.50,5.10,0.00,0.10,997.70,64.00,20.30,908.20,5.20
EAST UTTAR PRADESH,1907,2.10,74.90,19.20,20.30,11.10,48.60,173.50,290.90,25.70,0.00,0.00,0.10,666.30,77.00,50.50,538.60,0.10
EAST UTTAR PRADESH,1908,19.20,15.70,7.70,0.80,5.20,63.30,230.50,304.00,86.10,11.90,0.00,0.30,744.70,34.90,13.70,683.90,12.20
EAST UTTAR PRADESH,1909,8.40,5.40,0.00,66.60,6.60,248.90,399.00,206.90,135.30,9.00,0.00,20.50,1106.90,13.90,73.20,990.20,29.50
EAST UTTAR PRADESH,1910,4.40,0.20,0.50,1.60,28.60,163.80,231.10,341.40,213.50,103.00,28.00,0.20,1116.40,4.60,30.80,949.80,131.20
EAST UTTAR PRADESH,1911,40.10,0.10,29.10,2.20,4.00,121.80,85.90,320.70,373.40,99.40,37.10,0.10,1113.90,40.20,35.30,901.80,136.60
EAST UTTAR PRADESH,1912,16.00,7.30,6.50,5.70,18.80,60.60,336.50,279.10,117.60,0.70,30.20,0.50,879.60,23.40,31.00,793.80,31.40
EAST UTTAR PRADESH,1913,0.60,37.10,32.00,0.50,68.70,175.00,222.00,200.00,95.70,15.50,0.00,14.50,861.40,37.70,101.20,692.60,29.90
EAST UTTAR PRADESH,1914,1.30,16.10,21.80,8.30,55.30,37.20,407.70,346.10,92.10,2.60,0.10,0.20,988.80,17.30,85.40,883.10,2.90
EAST UTTAR PRADESH,1915,12.50,45.50,25.60,5.80,20.10,107.90,285.40,417.20,387.40,98.60,1.90,1.90,1409.80,58.00,51.50,1197.90,102.50
EAST UTTAR PRADESH,1916,0.00,20.10,0.00,6.90,7.30,243.50,314.80,351.20,197.40,55.50,5.10,0.00,1201.90,20.10,14.20,1106.90,60.70
EAST UTTAR PRADESH,1917,7.90,32.20,8.40,3.90,43.80,171.40,356.70,230.00,302.20,55.40,0.00,4.60,1216.50,40.20,56.00,1060.30,60.00
EAST UTTAR PRADESH,1918,0.60,0.10,5.30,4.30,20.30,142.00,110.40,261.60,104.00,0.10,1.10,0.90,650.70,0.70,29.90,618.10,2.10
EAST UTTAR PRADESH,1919,46.20,9.60,2.90,6.50,12.20,68.80,347.40,237.40,228.90,59.10,0.10,4.40,1023.40,55.70,21.50,882.50,63.60
EAST UTTAR PRADESH,1920,0.00,12.50,13.60,0.80,16.00,86.20,468.40,161.40,98.20,3.10,0.00,0.00,860.20,12.60,30.30,814.20,3.10
EAST UTTAR PRADESH,1921,41.20,0.70,2.50,8.50,0.50,166.80,203.60,460.70,218.20,11.10,0.00,1.00,1114.70,41.90,11.50,1049.30,12.10
EAST UTTAR PRADESH,1922,27.60,5.70,0.00,4.40,2.90,130.20,436.80,438.10,299.10,3.10,0.60,15.50,1364.00,33.40,7.30,1304.10,19.20
EAST UTTAR PRADESH,1923,1.20,38.10,0.10,0.10,5.40,41.90,276.60,340.50,261.70,93.20,1.00,16.20,1076.20,39.30,5.70,920.70,110.50
EAST UTTAR PRADESH,1924,11.50,7.30,1.00,0.20,2.20,42.10,500.90,239.90,266.30,29.20,11.10,8.30,1119.90,18.80,3.40,1049.20,48.60
EAST UTTAR PRADESH,1925,5.20,0.00,0.40,16.70,20.90,140.80,443.90,236.30,233.10,6.00,10.90,0.00,1114.10,5.20,37.90,1054.10,16.90
EAST UTTAR PRADESH,1926,11.30,2.50,44.60,14.00,19.00,18.70,365.50,259.80,225.20,26.80,0.50,1.50,989.50,13.80,77.60,869.30,28.80
EAST UTTAR PRADESH,1927,6.40,21.30,15.50,1.60,29.70,67.80,280.50,306.30,151.80,73.40,72.90,3.90,1031.20,27.70,46.90,806.40,150.20
EAST UTTAR PRADESH,1928,24.90,84.30,0.70,12.70,11.70,118.40,290.80,112.10,65.20,68.60,0.30,15.10,804.80,109.20,25.10,586.50,84.00
EAST UTTAR PRADESH,1929,42.40,1.40,13.00,1.70,6.60,163.70,286.70,354.60,48.50,53.30,0.00,43.00,1014.80,43.80,21.20,853.50,96.30
EAST UTTAR PRADESH,1930,11.30,16.80,5.20,3.50,6.10,54.20,367.00,265.00,284.80,38.60,3.50,13.40,1069.50,28.10,14.80,971.10,55.60
EAST UTTAR PRADESH,1931,0.50,27.40,1.80,0.20,8.60,36.80,297.00,240.20,332.00,102.30,0.20,0.10,1047.10,27.90,10.60,905.90,102.70
EAST UTTAR PRADESH,1932,0.00,5.50,2.20,1.40,7.60,89.40,170.10,287.40,125.70,16.80,29.50,2.90,738.50,5.50,11.20,672.60,49.20
EAST UTTAR PRADESH,1933,14.80,18.50,2.90,37.00,46.80,128.00,223.70,247.30,158.10,100.50,0.00,0.00,977.50,33.30,86.60,757.10,100.50
EAST UTTAR PRADESH,1934,33.70,1.60,12.50,1.00,1.50,148.70,360.70,257.30,236.40,9.50,1.50,3.90,1068.40,35.30,15.00,1003.10,14.90
EAST UTTAR PRADESH,1935,19.90,18.00,0.00,10.80,0.20,73.90,259.00,325.30,198.10,0.00,0.00,14.60,919.80,37.90,11.10,856.20,14.60
EAST UTTAR PRADESH,1936,6.30,31.10,4.10,4.60,24.20,219.50,598.80,354.20,252.50,28.40,3.30,18.40,1545.50,37.40,32.80,1425.10,50.10
EAST UTTAR PRADESH,1937,0.00,58.30,1.40,6.00,21.20,94.90,313.50,363.90,102.20,70.50,0.10,3.30,1035.30,58.30,28.60,874.60,73.90
EAST UTTAR PRADESH,1938,24.50,11.50,0.00,1.70,37.40,285.70,376.80,378.90,224.20,33.10,0.30,0.00,1374.20,36.00,39.10,1265.60,33.40
EAST UTTAR PRADESH,1939,14.00,21.00,4.30,1.10,2.50,146.80,284.40,227.60,222.60,20.70,0.00,0.00,945.00,35.00,7.90,881.50,20.70
EAST UTTAR PRADESH,1940,8.30,20.90,31.50,5.00,10.50,66.20,256.70,315.20,121.00,5.90,0.00,25.80,866.80,29.20,46.90,759.10,31.70
EAST UTTAR PRADESH,1941,19.00,5.60,0.40,0.20,19.10,138.30,142.80,297.50,171.00,4.00,0.20,0.00,798.20,24.60,19.70,749.70,4.20
EAST UTTAR PRADESH,1942,56.20,55.80,7.90,4.70,4.90,99.60,277.80,312.40,203.00,0.20,0.00,6.20,1028.60,111.90,17.50,892.80,6.40
EAST UTTAR PRADESH,1943,24.30,7.30,0.10,20.70,15.60,75.40,231.30,444.40,266.50,15.40,0.00,0.00,1101.10,31.60,36.50,1017.50,15.40
EAST UTTAR PRADESH,1944,19.20,41.60,63.70,12.40,6.30,105.90,278.40,304.70,178.50,47.50,0.00,3.20,1061.50,60.80,82.30,867.50,50.80
EAST UTTAR PRADESH,1945,46.50,1.80,1.70,14.90,12.00,70.30,239.30,211.50,267.90,108.90,0.00,5.70,980.40,48.30,28.50,789.00,114.60
