SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
GANGETIC WEST BENGAL,1901,37.10,58.40,3.90,64.10,121.70,198.00,280.80,275.70,313.50,51.10,83.40,0.00,1487.60,95.50,189.70,1068.00,134.40
GANGETIC WEST BENGAL,1902,0.00,1.20,44.20,103.80,161.60,140.90,347.80,264.80,230.50,32.50,10.40,9.90,1347.70,1.20,309.60,984.00,52.90
GANGETIC WEST BENGAL,1903,17.50,24.60,37.30,30.60,78.50,201.70,179.60,277.60,300.70,198.00,8.20,0.00,1354.30,42.10,146.40,959.60,206.20
GANGETIC WEST BENGAL,1904,0.10,23.90,35.60,17.50,160.20,286.70,435.30,241.70,142.80,35.10,4.10,0.10,1383.10,24.00,213.30,1106.40,39.30
GANGETIC WEST BENGAL,1905,30.90,49.60,84.70,84.90,156.80,70.90,525.50,263.60,287.60,107.30,0.00,5.20,1666.90,80.50,326.30,1147.60,112.60
GANGETIC WEST BENGAL,1906,46.80,123.60,53.30,1.10,81.30,172.00,307.10,264.60,193.20,140.00,12.50,0.00,1395.60,170.40,135.70,936.90,152.60
GANGETIC WEST BENGAL,1907,0.70,24.20,94.90,39.70,92.30,347.60,217.50,249.90,232.30,13.30,0.00,24.70,1337.00,24.80,226.90,1047.30,38.00
GANGETIC WEST BENGAL,1908,27.00,5.10,1.90,5.20,109.90,380.40,383.50,290.40,174.90,21.30,0.20,0.00,1400.00,32.10,117.10,1229.20,21.50
GANGETIC WEST BENGAL,1909,5.60,6.40,0.60,145.20,97.20,335.00,232.40,504.30,273.00,75.30,1.30,21.40,1697.80,12.10,242.90,1344.80,98.00
GANGETIC WEST BENGAL,1910,23.00,10.80,9.40,48.40,101.70,241.80,319.40,250.90,209.60,170.70,0.20,0.00,1385.90,33.80,159.40,1021.80,170.90
GANGETIC WEST BENGAL,1911,1.20,2.90,42.80,35.30,110.40,276.60,168.40,261.50,260.20,93.30,12.30,0.00,1264.90,4.10,188.50,966.70,105.50
GANGETIC WEST BENGAL,1912,1.80,23.60,71.60,48.90,109.30,199.40,325.30,255.00,134.30,99.50,78.70,0.00,1347.40,25.30,229.80,914.00,178.20
GANGETIC WEST BENGAL,1913,4.10,110.70,35.10,12.80,157.00,512.00,367.70,290.30,186.20,122.60,18.50,9.80,1826.80,114.80,204.90,1356.30,150.90
GANGETIC WEST BENGAL,1914,0.00,31.00,21.80,56.40,230.90,192.80,400.80,218.80,186.40,28.50,0.00,16.40,1383.90,31.00,309.20,998.80,44.90
GANGETIC WEST BENGAL,1915,6.10,9.10,79.50,26.50,122.50,224.50,228.50,236.70,229.30,88.30,59.00,0.30,1310.30,15.10,228.50,919.00,147.60
GANGETIC WEST BENGAL,1916,0.60,2.10,0.50,58.30,42.30,378.50,148.90,320.50,283.80,286.70,78.20,0.10,1600.50,2.70,101.20,1131.60,365.00
GANGETIC WEST BENGAL,1917,0.40,33.60,19.70,29.40,171.40,366.80,321.80,259.90,204.70,358.30,9.70,0.00,1775.80,34.00,220.60,1153.20,368.00
GANGETIC WEST BENGAL,1918,1.30,0.00,22.90,81.10,177.80,374.60,194.20,366.80,169.20,4.10,0.30,3.00,1395.40,1.40,281.80,1104.80,7.50
GANGETIC WEST BENGAL,1919,41.90,19.30,10.50,61.80,125.30,306.00,299.00,385.90,148.90,48.00,35.70,0.00,1482.20,61.30,197.60,1139.80,83.60
GANGETIC WEST BENGAL,1920,0.40,36.70,152.50,14.60,77.00,127.80,380.30,294.40,171.20,106.10,2.50,0.00,1363.60,37.10,244.10,973.70,108.70
GANGETIC WEST BENGAL,1921,36.50,10.10,13.20,57.40,53.30,238.40,279.60,382.10,177.70,51.90,0.00,0.00,1300.20,46.60,123.90,1077.80,51.90
GANGETIC WEST BENGAL,1922,7.40,3.10,1.20,22.00,72.30,553.00,269.70,400.80,244.30,75.80,4.70,1.40,1655.60,10.50,95.40,1467.70,81.90
GANGETIC WEST BENGAL,1923,0.10,92.20,8.20,22.10,71.50,154.30,330.80,405.60,110.10,72.20,16.90,1.20,1285.20,92.30,101.80,1000.80,90.30
GANGETIC WEST BENGAL,1924,8.20,5.30,0.30,38.50,64.90,181.20,308.00,260.70,254.80,82.10,62.50,0.00,1266.50,13.50,103.70,1004.70,144.60
GANGETIC WEST BENGAL,1925,10.70,14.80,28.40,78.90,106.20,171.80,305.70,211.20,158.40,184.50,3.10,0.00,1273.60,25.50,213.50,847.00,187.60
GANGETIC WEST BENGAL,1926,26.40,9.50,111.30,25.60,85.50,103.70,579.30,431.30,243.70,78.90,0.90,9.10,1705.40,35.90,222.40,1358.10,89.00
GANGETIC WEST BENGAL,1927,31.60,37.40,9.10,22.30,96.70,227.70,317.40,224.60,161.60,58.60,3.70,0.00,1190.50,69.00,128.10,931.20,62.30
GANGETIC WEST BENGAL,1928,12.80,3.20,1.60,51.30,110.90,427.00,428.10,325.10,113.30,149.90,1.70,0.10,1625.00,15.90,163.80,1293.50,151.80
GANGETIC WEST BENGAL,1929,42.80,13.20,38.80,41.80,52.50,208.10,398.60,297.30,168.30,264.60,0.00,31.40,1557.30,56.00,133.10,1072.30,296.00
GANGETIC WEST BENGAL,1930,1.80,12.10,19.90,18.60,86.30,186.90,410.70,307.30,200.10,41.10,95.10,1.10,1380.80,13.80,124.80,1105.00,137.30
GANGETIC WEST BENGAL,1931,2.20,74.60,27.10,22.70,111.50,157.20,368.50,286.70,197.00,168.30,59.00,0.90,1475.80,76.80,161.30,1009.40,228.30
GANGETIC WEST BENGAL,1932,0.00,12.90,5.10,31.90,196.60,151.10,297.50,259.60,177.70,64.20,110.20,0.00,1306.90,12.90,233.60,885.90,174.40
GANGETIC WEST BENGAL,1933,16.30,53.30,3.70,75.60,171.60,326.30,384.90,420.80,266.90,144.80,2.10,0.80,1867.20,69.60,250.90,1398.90,147.70
GANGETIC WEST BENGAL,1934,5.50,19.60,0.60,39.90,58.60,200.00,209.00,269.60,197.10,85.00,14.90,17.80,1117.40,25.10,99.00,875.60,117.70
GANGETIC WEST BENGAL,1935,12.10,26.30,30.80,34.60,33.60,163.40,233.10,298.90,171.10,9.60,0.00,1.60,1015.10,38.30,99.00,866.50,11.20
GANGETIC WEST BENGAL,1936,9.80,12.60,20.30,16.40,223.80,299.90,331.40,251.40,253.90,74.70,4.00,7.50,1505.60,22.40,260.50,1136.60,86.10
GANGETIC WEST BENGAL,1937,0.00,112.80,8.60,16.80,130.30,300.80,265.60,280.40,295.70,109.20,1.90,0.40,1522.50,112.80,155.80,1142.50,111.40
GANGETIC WEST BENGAL,1938,15.70,33.10,2.80,8.90,234.90,233.70,244.60,310.20,160.80,78.90,14.20,0.00,1337.80,48.80,246.60,949.30,93.10
GANGETIC WEST BENGAL,1939,2.40,23.10,10.90,20.20,70.20,250.50,420.20,450.90,207.50,220.60,21.20,0.80,1698.40,25.50,101.30,1329.10,242.60
GANGETIC WEST BENGAL,1940,0.10,30.30,103.90,18.30,98.90,218.10,236.20,384.30,199.60,58.90,7.30,2.80,1358.50,30.30,221.10,1038.10,68.90
GANGETIC WEST BENGAL,1941,29.30,0.40,0.70,27.60,87.50,376.10,404.30,396.50,184.40,219.60,74.30,0.40,1801.10,29.70,115.90,1361.30,294.30
GANGETIC WEST BENGAL,1942,1.20,16.70,14.70,52.00,64.20,144.50,374.90,406.90,384.10,142.60,13.90,0.00,1615.60,18.00,130.80,1310.30,156.50
GANGETIC WEST BENGAL,1943,39.40,25.70,16.90,85.40,53.60,209.50,418.50,320.50,186.80,90.00,0.00,0.00,1446.20,65.10,155.90,1135.30,90.00
GANGETIC WEST BENGAL,1944,60.00,24.40,40.20,44.80,36.10,147.50,349.80,477.40,147.00,79.10,0.10,0.00,1406.40,84.30,121.10,1121.80,79.10
GANGETIC WEST BENGAL,1945,18.00,13.60,5.10,75.70,110.20,196.20,196.30,213.20,198.60,244.20,0.10,0.30,1271.50,31.60,191.00,804.30,244.60
GANGETIC WEST BENGAL,1946,0.00,4.20,11.30,131.50,117.60,247.40,297.40,374.20,305.30,196.80,28.30,0.20,1714.20,4.20,260.40,1224.30,225.30
GANGETIC WEST BENGAL,1947,3.40,13.10,43.30,18.40,104.00,172.70,348.90,292.00,237.40,95.90,0.50,33.50,1363.00,16.50,165.70,1050.90,129.90
GANGETIC WEST BENGAL,1948,13.20,44.90,48.40,52.60,135.90,200.40,268.40,323.60,214.30,116.70,113.60,0.00,1532.10,58.10,236.90,1006.80,230.30
GANGETIC WEST BENGAL,1949,6.80,3.00,33.50,114.70,188.90,214.50,325.00,285.50,209.80,110.50,1.30,0.00,1493.70,9.80,337.20,1034.80,111.80
GANGETIC WEST BENGAL,1950,0.00,6.50,25.90,14.10,101.20,371.10,338.80,373.30,176.40,93.30,115.20,0.00,1615.60,6.50,141.20,1259.50,208.50
GANGETIC WEST BENGAL,1951,0.00,0.40,62.10,13.10,67.40,180.70,253.50,260.30,200.10,140.00,36.00,0.40,1214.00,0.40,142.70,894.50,176.50
GANGETIC WEST BENGAL,1952,0.30,1.10,23.30,99.70,77.00,167.40,431.00,244.70,189.10,159.60,2.50,0.00,1395.70,1.40,199.90,1032.20,162.10
GANGETIC WEST BENGAL,1953,25.80,14.10,4.80,13.60,61.90,311.10,358.30,343.10,278.50,56.00,38.60,0.00,1505.80,39.90,80.30,1291.00,94.60
GANGETIC WEST BENGAL,1954,12.30,5.90,0.30,11.60,88.60,211.10,201.70,215.10,247.10,56.80,1.50,28.00,1080.00,18.20,100.50,875.00,86.30
GANGETIC WEST BENGAL,1955,2.90,2.30,11.40,24.30,48.00,174.70,338.80,251.90,188.10,151.90,73.90,0.10,1268.20,5.20,83.80,953.40,225.90
GANGETIC WEST BENGAL,1956,4.50,33.90,50.70,25.60,141.60,343.30,253.90,295.40,391.10,157.60,12.70,3.90,1714.20,38.30,217.90,1283.70,174.20
GANGETIC WEST BENGAL,1957,50.20,26.60,8.70,6.00,16.40,231.80,312.10,201.10,239.40,38.20,0.10,0.00,1130.50,76.80,31.10,984.40,38.30
GANGETIC WEST BENGAL,1958,12.70,25.60,13.30,37.90,58.30,95.20,280.10,215.10,294.70,109.30,8.90,0.00,1151.10,38.40,109.50,885.10,118.20
GANGETIC WEST BENGAL,1959,33.50,12.70,17.30,28.20,91.40,208.50,273.30,328.50,487.30,331.20,0.30,0.40,1812.90,46.30,137.00,1297.70,332.00
GANGETIC WEST BENGAL,1960,0.60,1.40,30.90,0.90,122.30,117.50,336.50,317.40,246.30,71.10,0.60,0.00,1245.50,2.00,154.20,1017.70,71.60
