SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
GUJARAT REGION,1901,4.20,0.00,0.60,1.60,7.00,60.30,240.20,205.40,18.10,16.60,0.00,0.30,554.30,4.20,9.20,524.00,17.00
GUJARAT REGION,1902,3.90,0.00,0.00,0.60,1.00,32.80,229.80,299.00,281.20,2.30,1.50,11.90,863.90,3.90,1.50,842.80,15.70
GUJARAT REGION,1903,0.30,0.10,1.40,0.00,12.30,30.10,452.90,202.00,183.20,5.40,0.00,0.00,887.60,0.30,13.60,868.20,5.40
GUJARAT REGION,1904,0.80,10.60,16.80,0.20,3.90,48.30,194.80,71.80,138.00,6.10,0.10,1.20,492.60,11.30,20.90,453.00,7.40
GUJARAT REGION,1905,0.10,0.70,1.10,0.30,0.00,20.10,668.30,37.90,81.30,1.40,0.20,0.10,811.50,0.80,1.30,807.60,1.70
GUJARAT REGION,1906,0.00,12.70,0.00,0.00,0.10,177.50,311.50,247.10,134.80,5.90,0.00,0.90,890.60,12.70,0.20,870.90,6.80
GUJARAT REGION,1907,0.30,14.60,0.20,2.10,0.40,72.40,325.00,564.40,17.50,0.00,0.00,0.00,997.00,15.00,2.70,979.30,0.00
GUJARAT REGION,1908,5.20,0.30,0.20,0.00,0.10,67.50,562.10,366.00,25.10,1.00,0.00,0.00,1027.50,5.50,0.30,1020.70,1.00
GUJARAT REGION,1909,0.10,0.50,0.10,5.50,2.60,160.50,415.60,242.60,143.30,1.50,0.00,5.50,977.80,0.60,8.20,962.00,7.00
GUJARAT REGION,1910,0.60,0.00,0.00,0.10,0.00,262.60,290.20,338.50,44.70,23.10,14.80,0.00,974.60,0.60,0.10,936.00,37.90
GUJARAT REGION,1911,3.50,0.00,18.90,0.00,0.90,158.00,66.70,93.40,57.70,0.50,3.80,0.10,403.50,3.50,19.80,375.80,4.40
GUJARAT REGION,1912,0.10,0.00,0.00,0.20,0.60,105.10,624.90,291.10,38.90,13.60,44.10,0.00,1118.50,0.10,0.80,1060.00,57.70
GUJARAT REGION,1913,0.00,0.00,0.10,0.00,13.50,364.50,423.20,213.80,146.00,1.10,0.10,0.30,1162.60,0.00,13.70,1147.50,1.40
