SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
HARYANA DELHI & CHANDIGARH,1901,35.40,28.90,11.10,0.00,5.10,13.20,126.40,151.50,10.50,2.00,0.00,6.10,390.10,64.30,16.20,301.60,8.10
HARYANA DELHI & CHANDIGARH,1902,0.00,0.70,2.90,10.20,15.80,74.60,149.30,97.10,59.80,9.30,0.00,0.00,419.80,0.70,28.90,380.90,9.30
HARYANA DELHI & CHANDIGARH,1903,14.70,0.50,2.30,0.50,8.50,8.60,151.60,138.20,97.70,4.00,0.00,2.30,428.90,15.20,11.30,396.10,6.20
HARYANA DELHI & CHANDIGARH,1904,7.60,0.70,48.00,0.50,29.30,34.30,109.70,162.90,102.30,1.50,10.40,20.30,527.80,8.30,77.80,409.30,32.30
HARYANA DELHI & CHANDIGARH,1905,44.80,20.80,14.00,1.30,7.40,20.10,93.60,23.10,92.60,0.00,0.00,5.10,322.90,65.70,22.70,229.40,5.10
HARYANA DELHI & CHANDIGARH,1906,3.60,64.10,31.40,0.10,1.40,70.20,128.90,103.80,185.20,0.00,0.00,5.00,593.60,67.70,32.90,488.00,5.00
HARYANA DELHI & CHANDIGARH,1907,14.30,42.80,25.90,33.50,7.80,20.00,123.20,175.30,1.00,0.10,0.00,0.00,443.90,57.10,67.20,319.50,0.10
HARYANA DELHI & CHANDIGARH,1908,31.40,6.10,0.10,7.60,22.40,14.50,196.60,398.20,10.10,0.30,1.10,0.60,689.00,37.50,30.10,619.50,2.00
HARYANA DELHI & CHANDIGARH,1909,5.90,13.10,0.00,78.10,2.80,123.70,228.70,118.90,162.40,3.10,0.00,32.70,769.30,19.00,80.90,633.70,35.80
HARYANA DELHI & CHANDIGARH,1910,19.70,5.10,0.10,2.10,3.10,69.00,107.90,150.40,159.70,87.30,0.00,0.80,605.20,24.80,5.30,487.00,88.10
HARYANA DELHI & CHANDIGARH,1911,66.50,1.30,53.30,0.70,0.10,53.10,26.30,49.30,208.70,10.70,39.70,0.00,509.70,67.80,54.10,337.40,50.40
HARYANA DELHI & CHANDIGARH,1912,43.40,12.50,9.00,9.20,2.80,26.50,161.10,134.20,119.50,0.00,10.50,0.50,529.30,55.90,21.00,441.40,11.00
HARYANA DELHI & CHANDIGARH,1913,1.10,42.90,22.40,1.90,69.70,111.80,142.90,82.30,22.60,0.70,0.90,9.30,508.40,43.90,94.00,359.60,10.90
HARYANA DELHI & CHANDIGARH,1914,2.30,7.00,4.70,22.70,21.00,51.10,252.00,100.00,182.90,18.70,2.00,0.30,664.70,9.30,48.40,586.00,21.00
HARYANA DELHI & CHANDIGARH,1915,30.70,49.10,40.90,7.10,8.00,39.90,66.90,69.90,101.70,6.40,0.00,1.80,422.40,79.90,55.90,278.40,8.20
HARYANA DELHI & CHANDIGARH,1916,0.50,15.70,0.20,2.30,12.50,71.20,139.70,217.70,107.80,61.60,0.00,0.00,629.10,16.20,14.90,536.40,61.60
HARYANA DELHI & CHANDIGARH,1917,6.10,7.40,3.20,34.50,25.80,64.60,164.30,210.90,361.50,101.00,0.00,7.50,986.70,13.50,63.50,801.20,108.50
HARYANA DELHI & CHANDIGARH,1918,10.00,0.00,11.10,9.90,1.10,34.30,20.00,142.10,5.00,0.30,0.80,0.00,234.70,10.10,22.20,201.40,1.10
HARYANA DELHI & CHANDIGARH,1919,61.00,2.70,8.40,2.30,14.80,7.00,208.70,172.10,50.60,0.00,3.40,22.80,553.70,63.80,25.40,438.30,26.20
HARYANA DELHI & CHANDIGARH,1920,11.20,12.90,13.20,0.20,21.60,73.00,194.80,30.80,9.60,1.40,0.00,0.10,368.80,24.10,35.10,308.10,1.50
HARYANA DELHI & CHANDIGARH,1921,21.30,1.20,0.50,1.40,0.00,13.70,100.20,189.50,86.10,29.50,0.00,3.00,446.50,22.50,2.00,389.50,32.50
HARYANA DELHI & CHANDIGARH,1922,14.30,4.50,0.60,0.60,1.40,86.70,139.60,99.70,176.50,1.70,0.00,27.10,552.90,18.80,2.70,502.60,28.70
HARYANA DELHI & CHANDIGARH,1923,17.00,52.70,0.80,0.10,19.70,24.80,183.70,221.30,17.60,9.10,0.30,34.40,581.50,69.70,20.60,447.40,43.80
HARYANA DELHI & CHANDIGARH,1924,48.50,18.90,2.00,1.30,5.50,18.50,98.30,151.30,247.50,45.50,2.50,15.00,654.80,67.40,8.80,515.60,63.00
HARYANA DELHI & CHANDIGARH,1925,4.80,0.10,0.10,3.10,11.20,153.80,247.00,108.60,10.20,5.70,12.20,0.30,557.20,5.00,14.40,519.60,18.20
HARYANA DELHI & CHANDIGARH,1926,9.40,9.30,39.20,10.30,33.40,18.40,190.00,257.40,45.50,0.60,2.40,0.10,615.90,18.70,82.80,511.30,3.00
HARYANA DELHI & CHANDIGARH,1927,0.20,34.10,14.80,7.40,13.90,12.20,160.90,163.90,42.70,18.10,1.70,32.50,502.50,34.30,36.10,379.70,52.40
HARYANA DELHI & CHANDIGARH,1928,21.50,28.30,3.40,5.90,3.70,36.50,131.00,77.60,35.60,7.60,20.30,16.80,388.20,49.80,13.00,280.70,44.60
HARYANA DELHI & CHANDIGARH,1929,15.20,0.10,0.00,9.50,3.70,18.70,135.20,82.80,11.40,3.80,0.00,26.20,306.60,15.40,13.20,248.10,30.00
HARYANA DELHI & CHANDIGARH,1930,28.40,11.40,4.00,1.80,3.40,68.60,266.50,78.40,32.30,2.80,0.90,2.10,500.50,39.80,9.20,445.90,5.70
HARYANA DELHI & CHANDIGARH,1931,0.40,17.00,14.20,0.30,7.80,11.10,198.70,122.50,109.50,37.40,0.00,0.10,519.20,17.50,22.40,441.90,37.50
HARYANA DELHI & CHANDIGARH,1932,3.00,2.00,26.20,4.80,6.10,14.30,136.80,113.40,117.50,0.00,0.00,15.80,440.10,5.10,37.10,382.10,15.80
HARYANA DELHI & CHANDIGARH,1933,1.10,19.50,10.80,6.70,43.20,105.10,131.40,227.30,293.10,17.00,0.40,1.30,856.90,20.60,60.70,756.80,18.70
HARYANA DELHI & CHANDIGARH,1934,21.60,1.00,47.60,0.70,2.00,64.60,140.80,199.10,18.30,0.00,0.00,5.60,501.40,22.60,50.40,422.80,5.60
HARYANA DELHI & CHANDIGARH,1935,35.10,25.10,7.10,29.20,0.70,5.30,208.90,132.30,97.00,7.50,6.00,14.20,568.30,60.20,37.00,443.50,27.70
HARYANA DELHI & CHANDIGARH,1936,1.60,18.20,6.80,0.70,3.30,141.30,124.40,125.70,61.30,0.10,1.20,26.50,511.10,19.80,10.80,452.70,27.70
HARYANA DELHI & CHANDIGARH,1937,0.80,75.80,5.30,20.30,5.20,43.70,171.60,39.30,109.80,0.40,0.30,9.10,481.70,76.70,30.80,364.40,9.80
HARYANA DELHI & CHANDIGARH,1938,38.20,7.70,0.40,1.10,7.40,61.70,89.70,56.90,8.10,7.60,0.10,0.00,278.80,45.90,8.90,216.30,7.70
HARYANA DELHI & CHANDIGARH,1939,1.90,38.50,20.20,0.50,0.30,88.80,62.70,32.90,63.30,1.20,0.00,0.00,310.20,40.50,20.90,247.60,1.20
HARYANA DELHI & CHANDIGARH,1940,28.20,35.60,11.90,6.70,1.70,38.70,117.40,142.30,12.60,0.20,0.00,0.40,395.70,63.80,20.30,311.10,0.50
HARYANA DELHI & CHANDIGARH,1941,59.20,5.10,2.20,0.00,16.20,96.30,41.00,90.10,46.40,3.90,0.00,3.50,363.90,64.30,18.40,273.80,7.40
HARYANA DELHI & CHANDIGARH,1942,24.90,48.60,2.20,11.70,7.30,48.20,257.50,237.60,154.20,0.30,0.00,11.90,804.50,73.60,21.20,697.60,12.20
HARYANA DELHI & CHANDIGARH,1943,19.60,2.10,2.40,14.70,8.50,28.80,129.60,112.40,89.70,0.00,0.00,0.10,407.90,21.70,25.60,360.40,0.10
HARYANA DELHI & CHANDIGARH,1944,21.50,32.90,35.10,27.60,0.50,52.20,150.70,99.00,38.80,24.80,0.60,0.60,484.20,54.40,63.10,340.70,26.00
HARYANA DELHI & CHANDIGARH,1945,41.50,0.00,2.40,6.50,7.90,36.50,120.00,122.30,312.50,5.10,0.00,0.00,654.60,41.50,16.80,591.20,5.10
HARYANA DELHI & CHANDIGARH,1946,0.10,9.70,1.70,3.40,27.00,72.00,122.90,155.40,17.30,15.60,1.00,11.60,437.80,9.80,32.10,367.60,28.30
HARYANA DELHI & CHANDIGARH,1947,17.20,15.80,7.20,0.60,3.00,13.70,22.90,80.60,292.90,4.50,0.00,6.20,464.50,33.00,10.80,410.00,10.70
HARYANA DELHI & CHANDIGARH,1948,34.40,31.40,18.80,1.10,4.80,16.00,212.40,233.00,34.60,4.30,0.90,0.30,592.10,65.90,24.70,496.10,5.40
HARYANA DELHI & CHANDIGARH,1949,3.40,27.90,0.70,1.20,5.90,12.10,287.90,58.30,84.70,1.20,0.00,2.00,485.30,31.30,7.80,442.90,3.20
HARYANA DELHI & CHANDIGARH,1950,22.20,6.50,18.10,0.50,6.10,9.70,220.40,147.60,118.70,0.00,0.00,1.40,551.10,28.70,24.70,496.40,1.40
HARYANA DELHI & CHANDIGARH,1951,8.20,0.40,33.60,11.60,9.10,21.30,56.00,135.40,35.00,0.20,27.40,0.00,338.20,8.70,54.20,247.70,27.70
HARYANA DELHI & CHANDIGARH,1952,8.20,17.80,12.00,2.60,10.80,67.10,122.50,311.00,1.30,0.00,0.00,3.20,556.30,26.00,25.30,501.90,3.20
HARYANA DELHI & CHANDIGARH,1953,39.50,1.60,0.00,4.10,5.90,58.90,241.00,154.90,48.40,0.90,0.00,6.60,561.90,41.10,10.00,503.30,7.50
HARYANA DELHI & CHANDIGARH,1954,26.10,91.00,10.10,0.40,3.90,26.70,152.30,45.60,136.60,43.90,0.30,0.00,537.00,117.10,14.50,361.20,44.20
HARYANA DELHI & CHANDIGARH,1955,32.80,1.90,7.70,7.30,12.70,66.10,100.30,173.10,159.30,129.40,2.80,0.60,694.10,34.70,27.70,498.80,132.80
HARYANA DELHI & CHANDIGARH,1956,16.60,3.10,25.60,0.80,2.40,50.80,239.10,159.50,19.50,131.30,4.40,0.60,653.80,19.70,28.90,468.90,136.30
HARYANA DELHI & CHANDIGARH,1957,53.20,0.20,28.90,2.80,6.90,24.40,190.60,101.60,149.60,26.60,7.70,24.70,617.20,53.40,38.70,466.20,58.90
HARYANA DELHI & CHANDIGARH,1958,4.10,0.70,5.40,1.90,4.40,17.00,150.00,182.70,273.40,21.80,1.00,10.60,673.00,4.80,11.70,623.10,33.40
HARYANA DELHI & CHANDIGARH,1959,28.40,8.00,3.80,0.40,13.20,25.30,103.80,163.80,102.80,16.10,19.30,0.10,484.90,36.40,17.40,395.70,35.40
HARYANA DELHI & CHANDIGARH,1960,11.30,0.00,24.40,4.20,1.30,33.10,249.90,339.00,15.60,35.20,0.00,8.90,722.90,11.30,30.00,637.50,44.10
HARYANA DELHI & CHANDIGARH,1961,40.20,29.90,0.40,4.60,11.00,46.20,150.10,251.40,52.40,25.80,6.60,9.20,627.90,70.20,16.00,500.10,41.60
HARYANA DELHI & CHANDIGARH,1962,21.10,10.40,7.70,1.30,1.50,14.00,144.70,111.50,189.40,0.00,2.90,6.50,511.00,31.50,10.50,459.60,9.40
HARYANA DELHI & CHANDIGARH,1963,3.10,4.10,4.40,2.00,3.90,40.70,55.30,307.60,85.30,0.00,9.00,6.30,521.80,7.20,10.40,488.90,15.40
HARYANA DELHI & CHANDIGARH,1964,4.70,1.50,0.90,0.40,14.60,8.80,370.70,191.50,111.20,0.60,0.10,6.00,710.90,6.20,15.90,682.10,6.70
