SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
HIMACHAL PRADESH,1901,137.80,174.50,75.00,19.20,89.60,32.70,280.50,459.70,53.00,3.90,0.00,19.10,1345.10,312.30,183.80,825.90,23.00
HIMACHAL PRADESH,1902,6.50,27.00,104.40,76.20,61.30,78.80,258.60,199.30,113.40,23.60,2.50,0.00,951.60,33.60,241.90,650.00,26.10
HIMACHAL PRADESH,1903,76.50,21.40,213.70,25.40,54.70,32.20,157.70,256.50,107.90,5.80,0.20,41.40,993.30,97.90,293.70,554.20,47.40
HIMACHAL PRADESH,1904,79.30,22.40,131.70,48.00,90.30,33.10,241.10,184.30,56.40,51.60,17.30,32.00,987.60,101.70,270.00,515.00,100.90
HIMACHAL PRADESH,1905,81.30,76.80,160.20,39.30,50.40,43.60,191.10,132.80,119.10,0.30,0.90,34.40,930.20,158.10,249.80,486.60,35.60
HIMACHAL PRADESH,1906,44.10,143.90,89.50,5.30,29.90,152.60,168.70,433.70,230.90,2.90,0.00,15.90,1317.50,188.00,124.70,986.00,18.80
HIMACHAL PRADESH,1907,124.20,145.10,144.90,73.00,34.20,23.70,95.70,200.60,18.90,14.90,0.00,0.00,875.40,269.40,252.10,338.90,14.90
HIMACHAL PRADESH,1908,38.40,76.10,12.30,181.70,43.60,46.80,225.60,287.40,43.00,2.80,7.30,22.50,987.60,114.50,237.60,602.90,32.60
HIMACHAL PRADESH,1909,111.00,82.10,25.40,31.70,19.00,107.60,292.40,234.50,105.90,17.60,0.00,49.90,1077.00,193.00,76.10,740.40,67.50
HIMACHAL PRADESH,1910,49.90,48.90,42.70,48.90,46.80,133.50,408.30,355.40,174.20,37.00,5.50,55.80,1406.90,98.80,138.40,1071.40,98.30
HIMACHAL PRADESH,1911,246.30,21.90,277.30,35.10,8.80,121.00,103.20,240.90,174.40,24.00,75.20,5.80,1333.80,268.10,321.30,639.50,104.90
HIMACHAL PRADESH,1912,95.60,34.70,55.70,60.10,54.30,36.90,357.60,346.80,126.60,1.00,26.90,11.40,1207.60,130.30,170.10,867.90,39.30
HIMACHAL PRADESH,1913,21.30,126.60,72.40,35.50,114.60,168.00,215.40,239.00,40.30,14.10,20.30,51.80,1119.30,147.90,222.50,662.70,86.20
HIMACHAL PRADESH,1914,15.90,88.80,105.50,110.80,76.10,135.10,495.40,292.70,269.60,71.60,22.50,51.90,1735.90,104.70,292.40,1192.80,146.10
HIMACHAL PRADESH,1915,62.20,100.40,90.00,66.60,19.40,67.50,249.00,380.60,157.70,23.40,0.00,20.00,1236.80,162.60,176.00,854.80,43.40
HIMACHAL PRADESH,1916,10.40,75.30,33.70,41.80,35.30,238.90,275.80,254.90,118.90,86.90,0.00,0.20,1172.10,85.70,110.80,888.50,87.10
HIMACHAL PRADESH,1917,20.40,30.00,61.80,162.90,79.80,135.10,376.30,309.80,330.30,174.40,0.00,22.70,1703.60,50.50,304.50,1151.50,197.10
HIMACHAL PRADESH,1918,21.20,22.30,171.20,103.40,14.30,135.60,200.60,208.90,21.50,7.90,51.00,26.90,984.70,43.40,288.90,566.60,85.80
HIMACHAL PRADESH,1919,141.30,47.40,75.60,60.40,43.50,80.10,417.30,227.80,66.50,0.70,9.80,42.90,1213.10,188.60,179.40,791.70,53.30
HIMACHAL PRADESH,1920,53.00,58.10,126.10,32.80,109.40,55.60,385.10,168.00,76.00,3.30,0.00,17.40,1084.80,111.10,268.30,684.70,20.70
HIMACHAL PRADESH,1921,87.80,20.90,9.10,29.60,32.00,42.60,264.10,465.60,195.70,57.90,0.00,106.10,1311.20,108.70,70.60,968.00,164.00
HIMACHAL PRADESH,1922,106.60,57.50,68.20,87.70,13.00,106.80,425.80,508.10,274.00,14.20,6.50,50.20,1718.60,164.10,169.00,1314.70,70.90
HIMACHAL PRADESH,1923,113.40,151.20,51.00,27.20,93.00,64.30,320.10,512.10,125.50,60.10,17.50,85.60,1620.90,264.60,171.10,1021.90,163.20
HIMACHAL PRADESH,1924,50.20,135.10,63.00,26.60,86.70,26.60,419.30,345.50,418.60,12.40,14.90,61.70,1660.70,185.30,176.30,1210.00,89.00
HIMACHAL PRADESH,1925,86.20,61.70,33.50,65.40,86.60,167.50,450.20,388.10,48.50,33.20,88.50,0.00,1509.30,147.80,185.50,1054.30,121.60
HIMACHAL PRADESH,1926,52.90,48.60,179.70,86.30,114.40,23.90,349.60,422.90,127.90,4.20,25.10,14.30,1450.00,101.50,380.50,924.30,43.70
HIMACHAL PRADESH,1927,17.50,132.50,48.20,51.40,79.10,37.90,384.70,542.40,78.00,37.90,5.80,19.30,1435.00,150.00,178.80,1043.10,63.10
HIMACHAL PRADESH,1928,129.00,112.90,48.10,94.60,14.50,82.90,276.50,329.20,67.30,2.00,59.90,91.90,1308.90,241.90,157.20,756.00,153.80
HIMACHAL PRADESH,1929,109.00,52.30,17.60,48.00,24.90,101.70,363.90,423.70,50.30,57.30,0.00,176.00,1424.70,161.20,90.50,939.60,233.30
HIMACHAL PRADESH,1930,98.80,64.10,52.70,87.70,28.20,120.80,424.50,307.00,77.70,13.00,5.20,25.70,1305.50,163.00,168.60,930.00,43.90
HIMACHAL PRADESH,1931,58.50,149.60,79.90,14.60,84.50,25.00,263.60,339.60,202.50,47.80,0.20,0.60,1266.30,208.10,179.00,830.70,48.50
HIMACHAL PRADESH,1932,43.00,52.80,62.10,17.10,61.40,54.60,409.20,451.30,183.10,6.10,9.50,68.40,1418.90,95.90,140.70,1098.30,84.10
HIMACHAL PRADESH,1933,60.20,93.60,109.40,80.20,54.70,106.00,259.30,244.20,172.70,49.10,8.20,2.80,1240.40,153.80,244.30,782.20,60.20
HIMACHAL PRADESH,1934,91.80,12.80,40.30,82.30,59.90,70.70,281.00,241.10,30.40,0.90,1.30,69.50,982.10,104.70,182.50,623.20,71.70
HIMACHAL PRADESH,1935,136.70,73.40,60.30,83.60,18.40,40.30,233.60,216.60,88.00,28.50,26.50,22.10,1027.90,210.10,162.30,578.50,77.10
HIMACHAL PRADESH,1936,11.50,111.10,118.20,61.00,42.80,193.60,240.90,173.80,107.90,9.10,0.50,87.50,1158.00,122.70,221.90,716.20,97.10
HIMACHAL PRADESH,1937,57.30,141.00,53.70,60.30,35.10,116.40,282.90,325.70,227.30,53.80,9.50,101.90,1465.00,198.30,149.10,952.30,165.20
HIMACHAL PRADESH,1938,175.50,124.30,48.10,38.90,11.10,125.30,211.80,156.50,16.80,6.70,6.70,5.70,927.50,299.80,98.10,510.40,19.20
HIMACHAL PRADESH,1939,56.40,112.30,97.90,47.10,9.90,103.00,201.00,110.50,108.60,30.90,0.00,0.00,877.80,168.70,155.00,523.20,30.90
HIMACHAL PRADESH,1940,64.10,79.90,69.40,60.40,56.40,103.30,321.60,220.70,84.80,1.40,2.30,24.30,1088.60,144.00,186.20,730.40,28.00
HIMACHAL PRADESH,1941,44.50,49.40,70.10,21.50,70.60,92.80,182.00,231.60,83.50,12.50,2.90,34.10,895.50,93.90,162.30,589.90,49.50
HIMACHAL PRADESH,1942,74.80,156.80,28.30,84.60,73.50,66.60,273.80,348.60,153.60,7.80,0.00,59.80,1328.30,231.60,186.40,842.70,67.60
HIMACHAL PRADESH,1943,171.10,26.10,96.70,74.80,78.10,36.60,237.20,377.70,111.50,0.00,0.20,13.10,1223.10,197.20,249.60,763.00,13.30
HIMACHAL PRADESH,1944,108.30,112.50,106.20,51.00,16.90,51.00,277.40,226.70,80.20,23.90,7.20,67.40,1128.80,220.80,174.20,635.30,98.50
HIMACHAL PRADESH,1945,196.00,10.30,105.00,81.00,24.50,74.20,424.40,352.50,331.00,40.00,2.90,5.20,1646.90,206.30,210.40,1182.00,48.20
HIMACHAL PRADESH,1946,45.20,85.90,77.90,42.00,56.60,159.30,462.30,379.10,41.10,79.10,49.00,61.50,1539.00,131.00,176.50,1041.90,189.60
HIMACHAL PRADESH,1947,78.00,38.20,82.80,4.50,32.20,50.30,260.10,257.30,438.10,14.60,0.00,57.30,1313.20,116.20,119.40,1005.70,71.90
HIMACHAL PRADESH,1948,33.50,185.00,382.00,47.50,13.70,55.50,380.00,456.60,115.40,16.50,0.00,73.00,1758.70,218.50,443.20,1007.50,89.50
HIMACHAL PRADESH,1949,28.00,140.00,81.60,45.00,35.20,48.20,548.70,265.20,99.50,4.70,0.00,15.00,1310.90,168.00,161.70,961.50,19.70
HIMACHAL PRADESH,1950,211.00,67.00,155.00,51.70,65.10,83.60,392.80,319.30,329.80,2.20,0.00,7.00,1684.40,278.00,271.70,1125.60,9.20
HIMACHAL PRADESH,1951,112.30,69.40,87.40,90.40,89.10,38.80,217.30,309.30,124.50,19.30,69.60,11.10,1238.50,181.70,266.80,690.00,100.00
HIMACHAL PRADESH,1952,86.40,82.80,191.40,35.20,66.80,146.90,198.10,371.10,26.70,12.90,2.80,42.50,1263.70,169.20,293.40,742.80,58.20
HIMACHAL PRADESH,1953,149.20,51.90,98.30,86.60,36.90,107.60,390.90,330.30,90.20,11.60,9.30,62.80,1425.70,201.10,221.80,919.10,83.70
HIMACHAL PRADESH,1954,196.40,271.80,87.20,13.00,52.20,47.50,336.60,348.90,293.40,46.20,7.60,16.70,1717.60,468.30,152.40,1026.40,70.50
HIMACHAL PRADESH,1955,165.00,42.00,141.40,87.70,114.70,86.20,320.90,337.50,194.40,413.60,0.30,15.50,1919.20,207.00,343.80,939.00,429.40
HIMACHAL PRADESH,1956,96.50,44.70,206.50,58.00,26.80,118.80,293.90,266.10,113.10,222.30,8.30,86.60,1541.60,141.20,291.40,791.90,317.10
HIMACHAL PRADESH,1957,181.00,37.90,133.80,146.40,151.90,79.00,321.30,253.90,263.70,84.50,56.30,112.90,1822.70,218.90,432.20,917.90,253.80
HIMACHAL PRADESH,1958,84.00,22.40,72.80,61.70,65.00,34.70,452.00,265.30,265.90,75.20,2.20,171.10,1572.30,106.40,199.40,1017.90,248.60
HIMACHAL PRADESH,1959,136.10,243.10,94.70,43.30,52.80,52.00,418.60,243.70,219.50,81.70,53.90,1.00,1640.30,379.20,190.80,933.80,136.50
HIMACHAL PRADESH,1960,82.90,0.70,134.20,66.20,20.80,78.30,355.30,226.80,72.90,7.20,3.80,66.20,1115.10,83.60,221.10,733.30,77.20
HIMACHAL PRADESH,1961,153.80,157.20,68.80,104.20,34.20,88.70,320.30,314.30,153.10,46.20,37.60,37.20,1515.50,311.00,207.10,876.30,121.00
HIMACHAL PRADESH,1962,45.00,102.90,82.90,102.60,55.40,86.50,242.70,255.80,303.70,5.80,66.50,43.80,1393.50,147.90,240.90,888.60,116.10
HIMACHAL PRADESH,1963,14.10,57.20,201.20,49.50,47.20,108.90,325.70,308.10,111.30,2.40,76.80,52.20,1354.50,71.30,297.90,854.00,131.30
HIMACHAL PRADESH,1964,176.60,58.80,83.60,97.70,86.80,86.20,278.90,246.80,197.10,0.10,1.80,39.60,1354.10,235.50,268.20,809.10,41.40
HIMACHAL PRADESH,1965,52.50,209.10,170.90,126.60,143.90,24.90,278.30,117.30,39.90,25.80,12.80,18.30,1220.40,261.60,441.40,460.40,57.00
HIMACHAL PRADESH,1966,0.30,145.00,78.40,77.20,95.70,187.10,250.50,298.00,153.30,30.80,13.90,40.80,1371.00,145.30,251.20,888.90,85.60
HIMACHAL PRADESH,1967,30.80,99.10,181.50,31.40,48.10,99.30,386.30,403.30,105.70,36.90,23.80,112.40,1558.50,129.90,260.90,994.50,173.20
HIMACHAL PRADESH,1968,188.50,114.10,80.80,50.90,44.90,99.30,277.20,181.10,16.30,47.20,9.10,58.80,1168.20,302.60,176.60,573.80,115.20
