SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
JAMMU & KASHMIR,1901,66.40,69.30,69.60,132.20,105.80,53.40,171.70,181.30,101.80,24.10,0.00,4.40,979.90,135.60,307.60,508.20,28.50
JAMMU & KASHMIR,1902,6.50,9.70,91.30,100.50,70.70,113.30,108.40,136.90,62.20,15.10,44.00,1.80,760.50,16.20,262.50,420.90,60.90
JAMMU & KASHMIR,1903,96.20,21.50,238.60,58.70,57.30,18.90,332.50,218.60,176.90,10.70,15.00,41.80,1286.60,117.70,354.60,746.90,67.50
JAMMU & KASHMIR,1904,110.60,17.30,145.20,64.50,67.80,25.90,182.30,132.20,62.30,50.00,24.80,99.20,982.20,128.00,277.50,402.70,174.00
JAMMU & KASHMIR,1905,146.70,76.30,161.40,71.70,65.20,43.30,145.20,111.50,239.70,5.80,0.60,90.20,1157.70,223.00,298.40,539.70,96.70
JAMMU & KASHMIR,1906,81.00,160.40,167.20,49.30,39.40,52.20,107.00,257.40,237.00,5.30,0.00,36.90,1193.10,241.40,255.90,653.60,42.10
JAMMU & KASHMIR,1907,99.60,195.80,132.20,151.00,57.00,85.90,85.10,220.30,24.90,13.90,3.10,0.80,1069.60,295.40,340.20,416.30,17.80
JAMMU & KASHMIR,1908,86.40,51.40,28.10,195.80,45.30,26.10,233.30,345.90,118.90,9.00,1.20,86.00,1227.30,137.70,269.10,724.30,96.20
JAMMU & KASHMIR,1909,91.90,149.30,56.10,48.00,43.10,68.20,252.20,264.70,237.70,55.20,0.10,73.40,1339.90,241.20,147.20,822.90,128.70
JAMMU & KASHMIR,1910,123.60,85.10,65.60,99.70,33.00,126.20,193.70,276.10,39.40,0.40,0.10,66.70,1109.40,208.70,198.30,635.40,67.10
JAMMU & KASHMIR,1911,344.80,52.30,285.40,53.10,18.70,76.70,95.10,144.40,72.80,15.10,93.60,28.10,1280.20,397.10,357.20,389.00,136.90
JAMMU & KASHMIR,1912,169.80,39.70,107.50,102.80,61.10,22.90,192.70,152.90,14.00,4.60,21.40,47.30,936.70,209.50,271.40,382.50,73.30
JAMMU & KASHMIR,1913,68.40,141.90,95.00,81.00,54.40,99.10,152.20,173.90,24.40,12.80,33.40,63.70,1000.20,210.30,230.40,449.60,109.80
JAMMU & KASHMIR,1914,47.80,228.90,155.40,153.70,91.90,86.10,369.90,159.30,103.30,157.30,43.00,95.60,1692.10,276.70,400.90,718.60,295.90
JAMMU & KASHMIR,1915,47.40,218.30,109.70,132.30,18.20,54.40,87.70,174.60,71.70,27.60,0.00,21.90,963.90,265.80,260.20,388.40,49.50
JAMMU & KASHMIR,1916,37.50,159.40,69.00,67.70,58.60,92.90,244.30,216.50,46.90,30.90,3.40,7.20,1034.30,196.80,195.30,600.60,41.60
