SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
JHARKHAND,1901,92.70,66.60,11.10,18.40,33.50,70.90,269.40,415.10,248.00,37.30,11.50,0.00,1274.50,159.30,63.00,1003.40,48.80
JHARKHAND,1902,4.20,7.70,13.20,28.50,59.80,89.90,456.10,204.90,306.60,17.60,5.90,3.20,1197.60,11.90,101.50,1057.50,26.70
JHARKHAND,1903,25.10,19.50,10.70,32.80,56.40,142.10,206.10,280.80,190.20,210.10,0.50,0.00,1174.30,44.60,99.90,819.30,210.60
JHARKHAND,1904,2.50,17.00,38.10,9.10,116.10,308.90,494.10,336.10,125.60,30.60,2.30,0.40,1480.70,19.60,163.30,1264.60,33.30
JHARKHAND,1905,38.40,53.30,61.60,32.90,66.20,41.50,420.30,293.70,322.80,21.30,0.00,2.70,1354.70,91.70,160.70,1078.30,24.00
JHARKHAND,1906,45.80,128.50,35.90,1.70,33.90,170.90,355.60,251.60,185.40,96.80,7.10,1.10,1314.30,174.30,71.50,963.50,105.00
JHARKHAND,1907,2.00,59.30,76.00,26.30,27.40,338.10,230.40,469.40,200.20,1.70,0.00,24.80,1455.70,61.40,129.70,1238.10,26.50
JHARKHAND,1908,12.20,46.40,4.80,0.60,48.60,210.10,326.20,368.00,171.60,25.50,0.10,0.10,1214.20,58.70,54.00,1075.90,25.60
JHARKHAND,1909,32.20,10.10,0.90,78.80,27.20,314.00,319.90,360.30,267.80,23.40,0.00,13.30,1447.90,42.30,106.90,1262.00,36.70
JHARKHAND,1910,20.70,9.00,2.40,24.40,43.70,255.50,268.60,334.50,244.70,84.20,9.40,0.30,1297.60,29.70,70.50,1103.30,94.00
JHARKHAND,1911,0.70,0.20,31.50,7.70,25.50,391.60,164.20,410.30,303.50,100.50,39.70,0.00,1475.40,0.90,64.70,1269.60,140.20
JHARKHAND,1912,1.70,25.10,15.20,29.70,42.40,125.20,361.70,347.60,108.70,34.30,51.20,0.00,1142.90,26.90,87.40,943.20,85.50
JHARKHAND,1913,1.90,111.60,40.10,1.00,77.90,375.50,321.30,383.80,164.30,73.80,18.30,16.30,1585.60,113.50,118.90,1244.80,108.40
JHARKHAND,1914,0.10,24.60,19.40,23.60,150.10,123.80,354.40,337.00,159.50,16.70,0.00,6.20,1215.50,24.80,193.10,974.70,23.00
JHARKHAND,1915,7.70,36.70,33.40,10.70,58.60,149.70,270.20,220.50,214.70,60.00,39.90,0.10,1102.30,44.40,102.70,855.10,100.00
JHARKHAND,1916,0.00,14.30,0.20,17.10,22.60,283.50,224.90,303.20,231.50,253.20,13.80,0.00,1364.30,14.30,39.90,1043.10,267.00
JHARKHAND,1917,1.70,40.10,17.10,9.00,107.10,287.00,359.50,372.80,251.20,277.10,1.20,0.50,1724.40,41.80,133.20,1270.50,278.80
JHARKHAND,1918,4.20,2.40,3.60,15.50,78.50,324.00,149.70,406.70,175.90,1.70,0.00,0.50,1162.60,6.50,97.60,1056.30,2.20
JHARKHAND,1919,102.90,16.20,23.50,19.00,67.90,367.30,331.80,398.20,215.70,87.40,3.40,0.10,1633.50,119.10,110.40,1313.00,91.00
