SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
KERALA,1901,28.70,44.70,51.60,160.00,174.70,824.60,743.00,357.50,197.70,266.90,350.80,48.40,3248.60,73.40,386.20,2122.80,666.10
KERALA,1902,6.70,2.60,57.30,83.90,134.50,390.90,1205.00,315.80,491.60,358.40,158.30,121.50,3326.60,9.30,275.70,2403.40,638.20
KERALA,1903,3.20,18.60,3.10,83.60,249.70,558.60,1022.50,420.20,341.80,354.10,157.00,59.00,3271.20,21.70,336.30,2343.00,570.10
KERALA,1904,23.70,3.00,32.20,71.50,235.70,1098.20,725.50,351.80,222.70,328.10,33.90,3.30,3129.70,26.70,339.40,2398.20,365.30
KERALA,1905,1.20,22.30,9.40,105.90,263.30,850.20,520.50,293.60,217.20,383.50,74.40,0.20,2741.60,23.40,378.50,1881.50,458.10
KERALA,1906,26.70,7.40,9.90,59.40,160.80,414.90,954.20,442.80,131.20,251.70,163.10,86.00,2708.00,34.10,230.00,1943.10,500.80
KERALA,1907,18.80,4.80,55.70,170.80,101.40,770.90,760.40,981.50,225.00,309.70,219.10,52.80,3671.10,23.70,328.00,2737.80,581.70
KERALA,1908,8.00,20.80,38.20,102.90,142.60,592.60,902.20,352.90,175.90,253.30,47.90,11.00,2648.30,28.80,283.70,2023.60,312.20
KERALA,1909,54.10,11.80,61.30,93.80,473.20,704.70,782.30,258.00,195.40,212.10,171.10,32.30,3050.20,65.90,628.30,1940.40,415.50
KERALA,1910,2.70,25.70,23.30,124.50,148.80,680.00,484.10,473.80,248.60,356.60,280.40,0.10,2848.60,28.40,296.70,1886.50,637.00
KERALA,1911,3.00,4.30,18.20,51.00,180.60,990.00,705.30,178.60,60.20,302.30,145.70,87.60,2726.70,7.30,249.70,1934.00,535.70
KERALA,1912,1.90,15.00,11.20,122.70,217.30,948.20,833.60,534.40,136.80,469.50,138.70,22.00,3451.30,16.90,351.10,2453.10,630.20
KERALA,1913,3.10,5.20,20.70,75.70,198.80,541.70,763.20,247.20,176.90,422.50,109.90,45.80,2610.80,8.30,295.20,1729.00,578.30
KERALA,1914,0.70,6.80,18.10,32.70,164.20,565.30,857.70,402.20,241.00,374.40,100.90,135.20,2899.10,7.60,215.00,2066.10,610.50
KERALA,1915,16.90,23.50,42.70,106.00,154.50,696.10,775.60,298.80,396.60,196.60,302.50,14.90,3024.50,40.40,303.10,2167.00,514.00
KERALA,1916,0.00,7.80,22.00,82.40,199.00,920.20,513.90,396.90,339.30,320.70,134.30,8.90,2945.30,7.80,303.40,2170.20,463.90
KERALA,1917,2.90,47.60,79.40,38.10,122.90,703.70,342.70,335.10,470.30,264.10,256.40,41.60,2704.80,50.50,240.40,1851.70,562.10
