SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
KONKAN & GOA,1901,5.60,0.10,0.40,35.70,19.90,746.10,1075.50,748.00,117.40,38.60,5.40,0.10,2792.90,5.70,56.00,2687.00,44.10
KONKAN & GOA,1902,0.30,0.00,0.00,0.40,7.60,428.20,943.60,515.10,613.80,74.30,42.70,48.00,2673.90,0.30,8.00,2500.60,165.00
KONKAN & GOA,1903,0.00,0.00,0.10,0.00,201.10,470.50,1298.60,673.90,285.10,140.80,12.40,1.70,3084.30,0.00,201.20,2728.20,154.90
KONKAN & GOA,1904,0.00,0.10,6.60,6.30,4.60,975.80,771.70,321.30,217.00,90.30,0.00,0.00,2393.70,0.10,17.50,2285.80,90.30
KONKAN & GOA,1905,0.10,0.10,0.00,0.40,8.60,293.70,770.60,305.50,208.30,83.50,12.10,0.00,1682.80,0.20,9.00,1578.10,95.50
KONKAN & GOA,1906,5.00,0.90,0.00,0.00,2.90,547.40,1090.90,506.70,222.50,31.60,10.20,0.70,2418.90,5.90,2.90,2367.50,42.60
KONKAN & GOA,1907,1.70,1.00,0.00,20.10,0.00,583.10,1170.90,811.50,164.00,11.40,1.90,0.90,2766.60,2.80,20.10,2729.50,14.20
KONKAN & GOA,1908,0.90,1.10,0.00,2.30,1.00,440.00,1391.80,649.80,222.40,24.60,1.60,0.00,2735.50,2.00,3.30,2704.00,26.20
KONKAN & GOA,1909,0.10,0.00,0.10,0.30,7.80,759.50,1301.80,381.50,384.40,17.50,7.40,0.10,2860.50,0.10,8.20,2827.20,25.00
KONKAN & GOA,1910,0.00,0.00,0.30,0.00,2.60,832.40,407.80,763.20,374.60,121.40,41.70,0.00,2544.00,0.00,2.90,2378.00,163.10
KONKAN & GOA,1911,0.20,0.00,3.20,0.00,17.10,543.60,585.60,750.30,175.50,34.20,21.40,3.60,2134.70,0.20,20.40,2055.00,59.10
KONKAN & GOA,1912,0.00,0.00,0.00,4.10,28.90,671.00,1242.90,541.70,135.20,71.90,97.50,0.00,2793.30,0.00,33.00,2590.80,169.50
KONKAN & GOA,1913,0.00,0.00,0.00,1.30,18.70,897.90,1074.30,321.80,194.40,107.50,1.60,0.00,2617.40,0.00,20.00,2488.40,109.10
KONKAN & GOA,1914,0.00,0.80,0.00,0.80,1.60,706.90,1370.30,797.60,549.90,21.90,11.20,3.60,3464.60,0.80,2.50,3424.70,36.60
KONKAN & GOA,1915,0.00,4.70,5.90,10.20,7.70,845.10,734.40,355.10,412.20,137.40,12.80,0.30,2525.80,4.80,23.80,2346.70,150.50
KONKAN & GOA,1916,0.00,0.00,0.00,2.40,39.90,832.70,765.60,851.10,620.10,204.70,86.10,0.00,3402.60,0.00,42.30,3069.50,290.80
KONKAN & GOA,1917,0.00,18.40,1.20,0.30,17.50,807.60,675.10,902.50,567.70,408.00,32.60,0.00,3430.90,18.40,19.00,2952.90,440.60
KONKAN & GOA,1918,0.10,0.00,3.30,0.10,345.40,334.10,424.70,578.10,123.60,5.80,52.00,0.00,1867.30,0.10,348.80,1460.40,57.90
KONKAN & GOA,1919,2.50,0.00,0.00,0.00,9.60,643.60,1120.20,643.50,276.80,124.50,20.60,10.50,2851.70,2.50,9.60,2684.00,155.60
KONKAN & GOA,1920,14.00,1.20,0.00,12.00,5.10,424.90,824.00,360.80,226.70,52.40,2.90,0.00,1924.10,15.30,17.20,1836.40,55.30
KONKAN & GOA,1921,0.30,0.00,0.10,4.80,0.00,658.10,1102.50,611.80,450.40,57.50,13.70,0.00,2899.20,0.30,5.00,2822.70,71.20
KONKAN & GOA,1922,0.00,0.00,0.00,6.30,13.40,774.30,1290.60,339.30,261.10,41.40,90.00,1.20,2817.50,0.00,19.70,2665.30,132.50
KONKAN & GOA,1923,0.00,0.50,4.70,1.30,7.80,259.40,1643.90,480.70,363.70,8.30,0.10,0.00,2770.50,0.50,13.80,2747.70,8.40
KONKAN & GOA,1924,0.00,0.00,0.10,0.10,0.40,522.50,932.20,641.70,324.40,19.00,3.80,0.00,2444.30,0.00,0.60,2420.90,22.80
KONKAN & GOA,1925,0.10,0.00,7.40,5.20,121.00,800.90,655.50,501.50,120.40,74.60,18.60,0.00,2305.10,0.10,133.60,2078.30,93.20
KONKAN & GOA,1926,31.80,0.00,0.00,0.00,1.50,306.10,1203.60,1149.60,432.90,39.20,1.10,0.00,3165.90,31.80,1.50,3092.30,40.30
KONKAN & GOA,1927,0.00,0.20,0.20,0.00,5.50,785.60,1030.30,416.60,240.90,178.80,87.30,1.60,2747.00,0.20,5.70,2473.40,267.60
KONKAN & GOA,1928,0.00,1.30,0.20,3.10,1.10,657.00,1159.40,939.90,264.50,137.90,7.70,0.40,3172.40,1.30,4.40,3020.80,145.90
KONKAN & GOA,1929,1.00,0.00,3.20,14.90,6.20,773.80,767.60,516.00,250.90,152.40,11.20,12.10,2509.40,1.00,24.30,2308.30,175.80
KONKAN & GOA,1930,0.00,0.20,0.10,0.30,12.50,1024.90,690.50,427.30,542.60,136.20,10.60,0.60,2845.70,0.20,12.80,2685.30,147.40
KONKAN & GOA,1931,0.00,0.00,0.10,1.70,1.80,344.90,1867.20,944.90,307.10,458.90,51.50,21.20,3999.30,0.00,3.60,3464.20,531.50
KONKAN & GOA,1932,0.50,0.00,0.00,2.90,45.90,435.30,1248.10,485.60,456.20,259.10,21.10,8.20,2962.90,0.50,48.70,2625.20,288.50
