SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
LAKSHADWEEP,1901,22.60,86.40,114.80,263.80,37.30,459.00,0.00,0.00,46.70,183.70,229.90,15.00,1459.20,109.00,415.90,505.70,428.60
LAKSHADWEEP,1902,99.30,9.60,32.60,40.40,179.10,374.20,413.30,170.00,214.30,384.20,192.80,49.00,2158.80,108.90,252.10,1171.80,626.00
LAKSHADWEEP,1903,63.50,95.00,0.00,29.50,144.10,212.40,261.80,202.00,292.10,79.10,NA,NA,NA,158.50,173.60,968.30,NA
LAKSHADWEEP,1904,0.00,0.00,13.50,13.20,143.30,261.30,256.00,38.90,219.90,153.60,8.30,68.90,1176.90,0.00,170.00,776.10,230.80
LAKSHADWEEP,1905,62.40,0.00,0.00,0.00,166.70,400.70,68.70,377.50,107.50,232.10,159.30,0.00,1574.90,62.40,166.70,954.40,391.40
LAKSHADWEEP,1906,17.80,0.00,24.40,33.80,213.00,465.00,348.60,260.50,25.90,252.30,106.50,63.80,1811.60,17.80,271.20,1100.00,422.60
LAKSHADWEEP,1907,60.60,49.30,0.00,123.50,77.00,241.10,199.50,165.60,25.80,176.30,292.70,47.40,1458.80,109.90,200.50,632.00,516.40
LAKSHADWEEP,1908,18.00,9.20,5.60,162.00,150.90,471.70,184.90,73.90,437.00,251.20,98.00,96.70,1959.10,27.20,318.50,1167.50,445.90
LAKSHADWEEP,1909,70.40,0.00,34.20,92.40,48.40,204.00,122.40,368.80,105.10,340.50,45.00,32.30,1463.50,70.40,175.00,800.30,417.80
LAKSHADWEEP,1910,2.30,0.00,32.80,34.30,201.10,340.40,155.20,292.40,301.80,317.10,171.80,0.00,1849.20,2.30,268.20,1089.80,488.90
LAKSHADWEEP,1911,22.40,0.00,0.00,0.00,104.20,425.30,245.50,60.30,67.90,316.10,276.00,170.00,1687.70,22.40,104.20,799.00,762.10
LAKSHADWEEP,1912,11.40,54.60,8.10,118.60,165.10,417.80,171.70,152.20,68.90,267.80,126.20,92.50,1654.90,66.00,291.80,810.60,486.50
LAKSHADWEEP,1913,77.00,1.80,50.30,53.40,244.00,251.80,215.50,235.50,38.60,154.30,111.40,84.90,1518.50,78.80,347.70,741.40,350.60
LAKSHADWEEP,1914,10.40,0.00,53.30,10.20,120.70,377.10,347.50,220.40,26.50,437.00,172.00,258.90,2034.00,10.40,184.20,971.50,867.90
LAKSHADWEEP,1915,0.00,0.00,22.90,50.50,143.30,183.40,461.60,76.00,222.10,151.60,155.80,78.30,1545.50,0.00,216.70,943.10,385.70
LAKSHADWEEP,1916,0.30,13.20,32.00,28.70,130.50,327.60,445.90,31.80,275.40,85.20,17.50,10.40,1398.50,13.50,191.20,1080.70,113.10
LAKSHADWEEP,1917,NA,68.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,1919,74.40,1.30,39.40,25.60,249.80,352.10,367.40,175.60,196.90,181.00,150.20,112.80,1926.50,75.70,314.80,1092.00,444.00
LAKSHADWEEP,1920,82.60,NA,35.60,49.40,203.10,530.00,134.20,116.90,247.60,258.80,359.60,33.10,NA,NA,288.10,1028.70,651.50
LAKSHADWEEP,1921,37.60,0.00,16.80,82.40,156.30,326.20,163.70,235.50,NA,170.30,110.30,93.00,NA,37.60,255.50,NA,373.60
LAKSHADWEEP,1922,17.80,56.70,0.00,214.10,112.80,232.90,258.00,190.40,425.20,152.70,210.00,57.90,1928.50,74.50,326.90,1106.50,420.60
LAKSHADWEEP,1923,43.70,1.60,25.00,0.00,13.50,372.80,314.60,198.90,189.30,149.70,65.20,197.90,1572.20,45.30,38.50,1075.60,412.80
LAKSHADWEEP,1924,23.80,1.00,4.70,57.60,224.90,567.30,339.20,396.40,236.80,96.50,15.20,8.60,1972.00,24.80,287.20,1539.70,120.30
LAKSHADWEEP,1925,2.30,7.50,15.50,32.60,244.20,327.50,192.30,295.30,63.50,109.30,144.90,242.00,1676.90,9.80,292.30,878.60,496.20
LAKSHADWEEP,1926,262.80,16.00,33.60,60.20,335.80,392.00,303.90,118.20,97.20,83.40,119.30,13.80,1836.20,278.80,429.60,911.30,216.50
LAKSHADWEEP,1927,108.20,14.70,40.70,40.40,229.00,181.20,NA,42.00,256.00,NA,NA,NA,NA,122.90,310.10,NA,NA
LAKSHADWEEP,1928,42.50,66.60,NA,1.40,212.30,206.90,268.80,174.90,53.80,124.10,116.30,139.30,NA,109.10,NA,704.40,379.70
LAKSHADWEEP,1929,6.10,66.60,49.50,91.00,248.00,259.30,452.70,34.20,186.30,100.20,NA,28.80,NA,72.70,388.50,932.50,NA
LAKSHADWEEP,1930,14.00,24.60,14.20,0.00,110.60,277.50,115.50,186.40,193.00,170.60,79.60,72.40,1258.40,38.60,124.80,772.40,322.60
LAKSHADWEEP,1931,NA,0.00,0.00,28.50,194.60,262.00,290.40,347.90,167.10,102.00,118.30,96.10,NA,NA,223.10,1067.40,316.40
LAKSHADWEEP,1932,0.00,0.20,4.80,0.40,372.60,239.40,435.00,286.70,63.50,256.30,178.10,56.70,1893.70,0.20,377.80,1024.60,491.10
LAKSHADWEEP,1933,6.10,34.50,16.50,44.50,660.80,200.30,366.00,334.80,390.00,157.90,85.10,17.60,2314.10,40.60,721.80,1291.10,260.60
LAKSHADWEEP,1934,122.30,5.70,5.10,30.80,37.40,305.10,197.10,71.40,76.30,161.50,74.90,0.30,1087.90,128.00,73.30,649.90,236.70
LAKSHADWEEP,1935,9.20,7.70,0.00,41.10,15.80,351.80,309.10,277.50,136.40,142.80,145.40,92.40,1529.20,16.90,56.90,1074.80,380.60
LAKSHADWEEP,1936,0.50,1.00,41.10,18.80,354.80,464.20,177.10,161.10,219.10,70.10,177.10,59.20,1744.10,1.50,414.70,1021.50,306.40
LAKSHADWEEP,1937,8.30,2.50,1.50,15.80,79.70,371.80,391.00,80.00,101.30,167.90,191.00,32.80,1443.60,10.80,97.00,944.10,391.70
LAKSHADWEEP,1938,6.80,6.30,8.00,74.00,113.80,145.40,230.30,385.80,132.80,113.30,210.80,120.30,1547.60,13.10,195.80,894.30,444.40
LAKSHADWEEP,1939,9.00,0.50,0.00,2.50,20.30,412.70,220.10,248.00,47.00,114.60,126.80,5.80,1207.30,9.50,22.80,927.80,247.20
LAKSHADWEEP,1940,14.80,0.40,0.00,19.20,61.40,292.50,267.20,242.00,36.40,237.70,194.30,40.80,1406.70,15.20,80.60,838.10,472.80
LAKSHADWEEP,1941,44.40,16.50,2.70,1.00,227.60,213.30,142.00,182.40,138.50,78.10,72.90,44.00,1163.40,60.90,231.30,676.20,195.00
LAKSHADWEEP,1942,40.00,3.80,15.10,69.10,154.10,539.70,346.60,207.30,90.10,120.50,39.20,160.70,1786.20,43.80,238.30,1183.70,320.40
LAKSHADWEEP,1943,112.60,57.40,0.00,NA,146.00,422.30,346.00,203.10,154.80,309.30,142.80,55.50,NA,170.00,NA,1126.20,507.60
LAKSHADWEEP,1944,25.40,67.90,5.80,16.60,174.50,261.40,247.30,99.10,272.60,175.90,234.90,86.70,1668.10,93.30,196.90,880.40,497.50
LAKSHADWEEP,1945,16.80,1.30,0.00,0.90,54.20,362.00,341.00,148.80,42.80,132.80,155.10,65.60,1321.30,18.10,55.10,894.60,353.50
LAKSHADWEEP,1946,15.70,1.50,9.50,32.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.20,NA,NA,NA
LAKSHADWEEP,1947,20.10,9.10,24.30,140.20,87.90,364.80,303.60,504.60,168.80,74.20,28.40,29.90,1755.90,29.20,252.40,1341.80,132.50
LAKSHADWEEP,1948,70.00,5.70,0.20,17.20,121.00,278.50,159.00,124.80,39.50,356.70,118.50,34.20,1325.30,75.70,138.40,601.80,509.40
LAKSHADWEEP,1949,2.20,1.00,0.00,2.40,372.50,380.50,476.70,242.50,188.50,80.10,NA,8.80,NA,3.20,374.90,1288.20,NA
LAKSHADWEEP,1950,8.50,38.70,25.10,69.90,158.60,203.10,405.00,266.50,135.30,52.70,31.00,99.70,1494.10,47.20,253.60,1009.90,183.40
LAKSHADWEEP,1951,24.30,28.90,35.30,129.90,108.40,445.10,524.20,43.70,156.00,68.60,103.60,47.30,1715.30,53.20,273.60,1169.00,219.50
LAKSHADWEEP,1952,21.30,11.20,0.80,11.60,152.40,343.50,157.90,79.60,38.30,273.00,12.20,22.70,1124.50,32.50,164.80,619.30,307.90
LAKSHADWEEP,1953,10.40,40.80,9.30,35.00,15.30,205.80,537.00,69.40,125.50,452.40,95.60,9.70,1606.20,51.20,59.60,937.70,557.70
LAKSHADWEEP,1954,74.10,0.00,14.60,39.80,122.30,375.20,259.50,232.90,123.50,256.20,34.10,23.30,1555.50,74.10,176.70,991.10,313.60
LAKSHADWEEP,1955,11.40,39.10,0.00,105.40,235.20,345.50,215.40,63.20,302.50,155.90,61.20,13.50,1548.30,50.50,340.60,926.60,230.60
LAKSHADWEEP,1956,13.60,27.70,1.30,40.80,269.50,356.10,109.80,91.60,148.00,175.60,48.50,4.90,1287.40,41.30,311.60,705.50,229.00
LAKSHADWEEP,1957,0.90,11.40,34.60,23.70,195.60,309.90,129.10,149.60,47.50,215.20,198.50,31.20,1347.20,12.30,253.90,636.10,444.90
LAKSHADWEEP,1958,0.20,1.60,0.00,8.00,116.00,269.40,84.50,238.20,54.00,133.40,51.10,36.20,992.60,1.80,124.00,646.10,220.70
LAKSHADWEEP,1959,15.00,0.00,8.00,51.60,320.50,337.70,205.80,151.20,183.20,183.80,97.80,29.00,1583.60,15.00,380.10,877.90,310.60
