SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
MADHYA MAHARASHTRA,1901,18.80,0.60,7.70,36.60,30.40,107.70,215.90,194.10,83.70,68.70,4.40,0.50,769.00,19.40,74.70,601.40,73.50
MADHYA MAHARASHTRA,1902,7.80,0.00,0.10,5.00,9.80,102.60,210.90,114.50,169.50,60.40,40.50,62.90,784.00,7.80,14.90,597.50,163.80
MADHYA MAHARASHTRA,1903,7.60,0.00,0.00,3.20,77.20,86.30,281.80,155.50,142.30,74.20,7.60,2.20,837.90,7.60,80.40,665.90,84.10
MADHYA MAHARASHTRA,1904,0.40,4.70,1.70,3.00,18.70,114.60,126.50,59.50,183.00,91.10,0.00,0.40,603.50,5.10,23.40,483.60,91.40
MADHYA MAHARASHTRA,1905,0.00,1.20,0.00,2.30,23.60,65.00,252.80,79.00,52.60,52.90,8.30,0.00,537.80,1.20,25.90,449.50,61.20
MADHYA MAHARASHTRA,1906,10.50,0.80,0.00,0.10,9.30,184.80,199.30,205.00,88.80,19.10,15.50,11.10,744.30,11.30,9.40,677.80,45.80
MADHYA MAHARASHTRA,1907,0.50,3.70,1.50,54.50,0.60,118.00,262.30,267.80,94.10,7.60,3.60,0.90,815.10,4.20,56.60,742.30,12.10
MADHYA MAHARASHTRA,1908,0.30,0.00,4.70,6.30,5.80,85.10,263.00,169.90,166.60,16.30,4.00,0.00,722.00,0.30,16.80,684.60,20.30
MADHYA MAHARASHTRA,1909,1.20,0.10,0.70,1.40,38.50,179.60,247.00,101.60,146.20,31.10,3.10,4.70,755.20,1.30,40.60,674.40,38.90
MADHYA MAHARASHTRA,1910,0.00,0.00,1.00,0.00,13.10,204.60,172.00,228.60,195.70,70.00,30.20,0.00,915.20,0.00,14.00,800.90,100.30
MADHYA MAHARASHTRA,1911,2.00,0.10,2.20,0.20,12.00,136.90,137.70,153.20,29.90,23.60,42.90,3.80,544.30,2.10,14.30,457.60,70.30
MADHYA MAHARASHTRA,1912,0.00,0.40,0.00,9.00,20.90,88.30,307.60,150.00,34.70,86.00,67.70,0.30,764.90,0.50,29.90,580.50,153.90
MADHYA MAHARASHTRA,1913,0.00,0.20,0.00,8.40,34.00,259.90,210.80,86.60,82.80,43.70,0.60,5.50,732.50,0.20,42.40,640.10,49.80
MADHYA MAHARASHTRA,1914,0.00,0.40,0.30,3.70,15.20,188.30,348.80,204.30,211.60,22.10,36.60,7.60,1039.00,0.40,19.20,953.00,66.30
MADHYA MAHARASHTRA,1915,8.60,6.60,13.90,21.90,12.10,195.20,225.40,80.00,228.50,76.80,20.90,18.00,908.10,15.30,48.00,729.10,115.70
MADHYA MAHARASHTRA,1916,0.00,0.20,0.40,4.90,55.20,144.80,257.60,185.90,217.50,136.80,69.10,0.10,1072.40,0.20,60.50,805.90,206.00
MADHYA MAHARASHTRA,1917,0.10,20.00,4.80,7.70,15.60,174.30,120.60,187.00,205.20,169.50,33.40,0.00,938.20,20.10,28.10,687.10,203.00
MADHYA MAHARASHTRA,1918,5.10,0.60,2.60,1.00,90.50,51.70,68.40,112.40,55.10,13.30,30.00,7.50,438.00,5.60,94.00,287.60,50.80
MADHYA MAHARASHTRA,1919,3.00,0.50,1.20,2.70,38.20,173.50,198.90,153.80,231.70,45.10,28.40,1.90,879.10,3.50,42.20,757.90,75.50
MADHYA MAHARASHTRA,1920,41.50,0.20,0.10,9.70,8.00,120.70,185.90,94.10,113.80,26.00,0.30,0.00,600.30,41.70,17.80,514.50,26.30
MADHYA MAHARASHTRA,1921,1.60,0.00,0.30,9.00,1.10,105.80,291.60,125.00,128.70,47.50,23.70,0.00,734.30,1.60,10.40,651.10,71.20
MADHYA MAHARASHTRA,1922,18.30,2.60,0.00,16.70,27.40,161.70,218.20,79.40,97.10,41.20,141.10,1.40,805.20,20.90,44.10,556.50,183.70
MADHYA MAHARASHTRA,1923,1.90,1.70,32.70,8.70,10.50,30.70,290.00,126.50,169.50,6.40,0.00,2.30,680.90,3.50,51.90,616.70,8.70
MADHYA MAHARASHTRA,1924,2.10,0.00,2.80,19.70,4.60,80.30,173.80,220.60,185.80,49.70,3.60,5.30,748.20,2.10,27.10,660.40,58.60
MADHYA MAHARASHTRA,1925,0.00,0.00,3.10,1.50,38.90,177.70,152.00,115.20,94.70,33.90,40.70,4.00,661.80,0.00,43.50,539.60,78.60
MADHYA MAHARASHTRA,1926,34.30,0.60,0.10,0.20,11.20,85.90,230.60,258.00,147.70,8.10,8.30,2.20,787.10,34.90,11.50,722.20,18.60
MADHYA MAHARASHTRA,1927,0.00,1.00,0.90,4.60,9.30,184.90,318.70,85.40,183.60,51.30,83.30,2.00,925.20,1.00,14.90,772.70,136.60
MADHYA MAHARASHTRA,1928,0.10,10.30,3.70,8.00,0.30,143.30,217.70,159.60,209.00,62.50,3.10,14.10,831.70,10.30,12.00,729.70,79.60
MADHYA MAHARASHTRA,1929,1.00,6.40,2.00,37.10,6.40,155.90,168.20,73.70,151.60,82.50,3.40,2.20,690.40,7.40,45.50,549.40,88.10
MADHYA MAHARASHTRA,1930,0.00,0.00,0.70,3.20,29.80,178.10,233.70,106.50,247.00,87.40,37.70,5.00,929.10,0.00,33.60,765.30,130.10
MADHYA MAHARASHTRA,1931,0.00,0.00,0.60,14.00,2.90,109.70,316.30,233.50,178.90,180.90,70.20,25.30,1132.40,0.00,17.50,838.50,276.30
MADHYA MAHARASHTRA,1932,0.00,0.50,8.60,22.30,27.30,67.30,351.70,221.30,162.80,148.40,30.80,4.00,1045.10,0.50,58.30,803.10,183.20
MADHYA MAHARASHTRA,1933,1.40,0.50,3.40,8.50,76.50,182.30,194.70,259.40,286.10,93.30,24.00,22.30,1152.40,1.90,88.40,922.50,139.60
MADHYA MAHARASHTRA,1934,3.70,0.00,1.90,7.30,8.00,138.20,217.00,222.30,136.80,41.20,82.00,0.00,858.30,3.70,17.20,714.20,123.20
MADHYA MAHARASHTRA,1935,2.50,0.00,0.00,3.70,1.40,149.60,208.60,195.50,126.70,119.40,7.70,3.90,819.00,2.60,5.10,680.30,131.00
MADHYA MAHARASHTRA,1936,1.30,6.20,4.30,3.80,21.10,169.20,113.90,106.30,161.50,17.20,130.40,0.30,735.60,7.50,29.20,550.90,147.90
MADHYA MAHARASHTRA,1937,0.00,2.00,2.00,47.70,4.70,146.70,319.40,63.60,219.90,96.10,1.30,11.00,914.40,2.00,54.40,749.50,108.40
MADHYA MAHARASHTRA,1938,0.60,1.00,23.50,12.20,50.40,239.90,286.60,169.40,191.50,141.30,7.60,2.30,1126.30,1.60,86.10,887.40,151.20
MADHYA MAHARASHTRA,1939,0.20,0.20,4.10,6.30,1.10,127.60,303.90,219.90,88.50,41.80,27.30,0.80,821.90,0.50,11.50,740.00,70.00
MADHYA MAHARASHTRA,1940,1.30,1.80,0.50,16.50,15.80,191.30,215.90,188.70,132.00,95.20,30.10,4.20,893.20,3.10,32.80,727.90,129.40
MADHYA MAHARASHTRA,1941,28.20,8.00,1.80,5.40,4.20,96.10,338.60,103.70,143.30,44.50,0.10,0.40,774.30,36.20,11.40,681.70,45.00
MADHYA MAHARASHTRA,1942,0.20,2.50,0.20,6.70,10.00,213.30,364.70,191.60,93.80,20.00,1.30,36.90,941.30,2.80,17.00,863.40,58.20
MADHYA MAHARASHTRA,1943,4.10,0.00,1.50,3.50,63.40,150.50,316.40,80.90,166.20,196.00,10.60,0.00,993.20,4.10,68.40,713.90,206.70
MADHYA MAHARASHTRA,1944,0.80,0.70,10.30,0.10,21.40,132.20,421.70,227.80,142.10,115.30,13.60,0.00,1086.00,1.60,31.80,923.70,128.90
MADHYA MAHARASHTRA,1945,4.20,0.00,0.00,9.80,5.20,125.60,263.70,209.00,132.40,37.10,6.30,0.00,793.40,4.20,15.00,730.70,43.40
MADHYA MAHARASHTRA,1946,0.00,2.90,0.00,22.00,34.30,138.40,288.50,255.90,170.30,23.10,152.80,15.40,1103.60,2.90,56.30,853.10,191.30
MADHYA MAHARASHTRA,1947,18.70,1.40,4.40,31.00,19.60,63.00,230.60,272.80,216.20,23.00,10.30,14.60,905.70,20.00,55.00,782.70,48.00
MADHYA MAHARASHTRA,1948,16.90,0.70,4.30,7.60,8.90,191.00,239.60,181.40,162.00,66.60,137.10,0.10,1016.30,17.60,20.70,774.10,203.80
MADHYA MAHARASHTRA,1949,0.00,0.00,2.00,4.80,58.40,102.00,201.30,174.00,323.10,82.20,5.70,0.00,953.70,0.00,65.30,800.40,87.90
MADHYA MAHARASHTRA,1950,0.00,0.20,1.50,5.90,23.20,59.50,400.20,102.90,248.80,87.30,2.20,0.80,932.60,0.20,30.60,811.40,90.30
MADHYA MAHARASHTRA,1951,0.10,0.00,0.50,9.30,29.50,150.10,250.20,136.30,71.70,128.90,20.10,0.00,797.00,0.10,39.40,608.30,149.10
