SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
MATATHWADA,1901,15.80,3.30,32.10,48.50,26.50,193.10,184.10,249.80,74.00,81.60,0.00,0.00,908.70,19.10,107.10,700.90,81.60
MATATHWADA,1902,1.30,0.00,0.40,7.20,0.80,52.40,120.90,85.20,273.30,61.30,84.40,56.90,744.10,1.30,8.40,531.80,202.70
MATATHWADA,1903,2.60,0.80,0.00,1.70,58.30,104.40,264.20,281.90,173.30,139.90,0.30,5.30,1032.60,3.40,60.00,823.80,145.40
MATATHWADA,1904,0.00,0.90,12.10,0.30,7.20,79.20,118.40,57.30,339.00,76.20,0.00,0.00,690.50,0.90,19.50,593.90,76.20
MATATHWADA,1905,1.30,2.00,0.00,6.60,4.80,84.60,94.80,137.60,157.80,15.40,0.90,0.00,505.90,3.30,11.40,474.80,16.30
MATATHWADA,1906,19.80,0.00,0.10,0.00,0.20,220.60,254.90,156.90,82.10,19.80,3.90,12.40,770.70,19.80,0.30,714.50,36.10
MATATHWADA,1907,1.00,6.60,1.10,61.30,0.00,90.40,198.90,155.20,34.70,5.00,0.00,3.70,557.90,7.60,62.40,479.20,8.70
MATATHWADA,1908,0.00,0.80,13.00,2.90,1.60,100.70,124.40,176.80,261.90,0.40,0.00,0.00,682.50,0.80,17.50,663.80,0.40
MATATHWADA,1909,5.50,1.60,8.40,4.20,22.20,217.20,194.30,173.80,223.50,21.40,0.40,20.30,892.70,7.20,34.70,808.80,42.00
MATATHWADA,1910,0.00,0.00,0.90,0.00,3.10,202.10,166.70,188.50,467.90,59.70,45.30,0.00,1134.40,0.00,4.00,1025.30,105.00
MATATHWADA,1911,6.40,0.00,0.00,0.00,3.00,85.50,231.90,175.00,68.60,0.20,41.80,0.00,612.40,6.40,3.00,561.00,42.00
MATATHWADA,1912,0.00,13.70,0.00,6.50,9.50,62.90,177.30,145.90,34.60,22.80,15.20,0.00,488.40,13.70,16.00,420.80,37.90
MATATHWADA,1913,0.00,3.40,0.00,15.10,38.60,173.00,245.90,80.10,63.70,21.00,0.00,15.90,656.50,3.40,53.60,562.60,36.90
MATATHWADA,1914,0.00,10.40,5.20,0.90,16.30,297.00,177.20,151.70,258.30,23.90,20.90,27.30,989.10,10.40,22.30,884.20,72.10
MATATHWADA,1915,28.00,2.60,55.90,18.90,11.50,207.80,146.80,96.10,299.10,99.70,10.10,25.10,1001.60,30.60,86.30,749.80,134.90
MATATHWADA,1916,0.00,5.00,3.00,1.70,43.60,149.80,374.70,139.70,305.10,115.00,40.30,0.00,1177.90,5.00,48.30,969.30,155.30
MATATHWADA,1917,1.70,63.50,10.80,7.00,17.10,176.80,144.60,259.30,348.70,101.20,37.50,0.00,1168.30,65.20,35.00,929.40,138.80
MATATHWADA,1918,0.70,0.00,0.20,0.60,121.40,93.50,65.90,78.60,89.90,4.70,9.80,20.70,486.10,0.70,122.20,327.90,35.30
MATATHWADA,1919,11.90,0.90,0.30,5.10,11.20,149.70,119.90,85.30,228.00,28.00,21.40,1.10,662.80,12.80,16.60,583.00,50.40
MATATHWADA,1920,27.00,0.00,0.30,3.10,2.10,60.40,50.50,86.10,127.70,3.80,0.00,0.00,361.20,27.00,5.60,324.80,3.80
MATATHWADA,1921,2.10,0.00,0.00,2.40,0.00,151.00,174.80,70.20,113.40,41.90,6.60,0.00,562.40,2.10,2.40,509.40,48.50
MATATHWADA,1922,54.40,1.90,0.00,2.80,19.30,220.30,119.50,39.40,206.40,47.80,122.70,1.40,836.10,56.40,22.20,585.60,171.90
MATATHWADA,1923,4.00,0.50,55.90,9.90,0.60,20.50,300.40,72.00,300.10,0.20,0.00,0.80,765.00,4.50,66.40,693.00,1.00
MATATHWADA,1924,3.20,0.00,7.70,8.10,0.20,49.20,130.40,180.70,200.20,59.80,9.80,13.40,662.70,3.20,16.00,560.50,83.00
