SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
NORTH INTERIOR KARNATAKA,1901,3.50,18.80,7.10,67.20,65.50,120.50,151.90,115.10,128.80,80.00,13.60,0.90,773.00,22.30,139.80,516.40,94.50
NORTH INTERIOR KARNATAKA,1902,0.00,0.00,0.30,22.50,34.40,111.30,83.20,78.10,146.70,118.80,35.70,85.10,716.10,0.00,57.10,419.30,239.60
NORTH INTERIOR KARNATAKA,1903,3.50,0.00,0.10,6.90,53.40,102.80,209.40,146.40,189.30,166.40,34.30,16.00,928.50,3.50,60.30,647.90,216.80
NORTH INTERIOR KARNATAKA,1904,0.20,0.30,8.50,11.00,46.30,120.60,91.60,48.50,165.10,86.50,0.00,0.00,578.60,0.50,65.80,425.80,86.50
NORTH INTERIOR KARNATAKA,1905,0.00,6.00,2.60,16.00,51.20,99.60,60.10,139.20,42.20,85.00,4.40,0.00,506.20,6.00,69.80,341.10,89.40
NORTH INTERIOR KARNATAKA,1906,21.30,0.00,0.20,2.60,30.00,142.00,120.30,182.10,116.00,86.20,24.30,58.90,783.80,21.30,32.70,560.40,169.40
NORTH INTERIOR KARNATAKA,1907,1.10,0.00,12.10,96.90,5.60,90.60,155.10,185.20,165.80,10.30,17.90,6.10,746.70,1.10,114.60,596.70,34.30
NORTH INTERIOR KARNATAKA,1908,1.30,0.30,2.40,16.00,20.70,62.60,154.90,86.10,232.70,16.90,1.10,0.10,595.10,1.60,39.10,536.40,18.00
NORTH INTERIOR KARNATAKA,1909,2.40,0.10,10.10,11.80,55.30,110.30,140.40,175.60,106.20,50.00,12.00,1.60,675.80,2.50,77.10,532.50,63.60
NORTH INTERIOR KARNATAKA,1910,0.00,0.00,4.50,2.50,28.20,78.20,127.90,195.50,186.30,104.10,32.30,0.00,759.40,0.00,35.20,587.90,136.40
NORTH INTERIOR KARNATAKA,1911,0.00,0.00,5.10,3.10,43.20,87.60,151.50,71.60,67.40,61.40,8.80,10.30,510.00,0.00,51.40,378.10,80.60
NORTH INTERIOR KARNATAKA,1912,0.00,12.50,0.00,42.60,38.20,43.70,226.20,158.00,104.40,104.90,28.30,0.00,758.70,12.50,80.80,532.30,133.10
NORTH INTERIOR KARNATAKA,1913,0.00,0.90,0.00,16.30,76.70,104.00,150.90,45.00,89.30,85.40,2.50,1.30,572.30,0.90,93.00,389.20,89.20
