SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
NAGA MANI MIZO TRIPURA,1901,11.70,18.10,29.40,206.20,124.00,443.30,331.40,466.00,304.10,166.70,67.40,0.00,2168.40,29.80,359.60,1544.80,234.20
NAGA MANI MIZO TRIPURA,1902,4.80,0.50,36.30,297.80,215.50,480.10,392.40,312.80,318.70,102.40,8.90,4.70,2175.00,5.20,549.70,1504.00,116.00
NAGA MANI MIZO TRIPURA,1903,6.50,40.50,139.80,45.50,159.90,458.60,300.20,470.60,366.10,166.40,76.70,0.10,2230.70,47.00,345.10,1595.40,243.20
NAGA MANI MIZO TRIPURA,1904,2.30,46.90,47.50,290.30,230.50,455.30,423.50,423.60,375.80,128.90,90.00,5.00,2519.80,49.30,568.30,1678.20,224.00
NAGA MANI MIZO TRIPURA,1905,9.10,35.30,306.50,161.70,193.60,339.70,450.10,429.90,320.10,246.40,8.00,27.10,2527.60,44.50,661.80,1539.80,281.50
NAGA MANI MIZO TRIPURA,1906,7.00,71.50,72.50,99.00,302.70,417.40,475.20,439.20,439.10,142.80,44.90,3.20,2514.40,78.50,474.20,1770.90,190.90
NAGA MANI MIZO TRIPURA,1907,39.10,30.40,92.80,189.10,156.00,414.10,400.90,291.40,336.10,114.60,3.90,53.40,2121.70,69.50,437.90,1442.40,171.90
NAGA MANI MIZO TRIPURA,1908,26.40,15.00,4.30,141.10,252.10,360.00,531.50,371.90,317.80,192.60,106.50,0.00,2319.30,41.40,397.50,1581.30,299.10
NAGA MANI MIZO TRIPURA,1909,6.00,4.70,3.10,201.80,235.10,415.30,348.90,540.00,245.80,167.70,71.40,69.00,2308.70,10.70,439.90,1549.90,308.10
NAGA MANI MIZO TRIPURA,1910,26.00,10.90,30.70,138.40,228.00,444.80,405.00,439.80,336.20,196.00,12.30,0.00,2267.90,36.90,397.00,1625.80,208.30
NAGA MANI MIZO TRIPURA,1911,47.30,11.90,102.20,141.30,331.30,444.90,471.50,397.90,287.80,226.00,17.40,0.30,2479.80,59.10,574.90,1602.00,243.70
NAGA MANI MIZO TRIPURA,1912,1.00,36.70,127.80,305.90,222.50,344.70,392.60,394.80,262.80,179.10,34.90,6.10,2308.80,37.70,656.20,1394.90,220.00
NAGA MANI MIZO TRIPURA,1913,4.30,63.40,109.90,138.10,264.10,559.10,509.20,426.70,222.10,202.90,83.60,29.70,2613.20,67.70,512.20,1717.10,316.20
NAGA MANI MIZO TRIPURA,1914,5.00,93.30,129.70,255.90,276.50,342.60,437.40,501.50,262.00,106.00,13.80,105.40,2529.20,98.40,662.10,1543.50,225.20
NAGA MANI MIZO TRIPURA,1915,13.90,35.50,89.40,198.90,448.90,465.20,478.00,510.50,310.40,231.10,37.70,0.40,2819.90,49.40,737.20,1764.10,269.20
NAGA MANI MIZO TRIPURA,1916,13.20,17.50,37.30,212.50,131.80,363.80,491.40,419.30,388.50,417.50,55.00,7.10,2555.00,30.70,381.60,1663.10,479.60
NAGA MANI MIZO TRIPURA,1917,1.30,81.80,25.60,289.10,121.70,356.60,387.30,375.80,371.70,147.90,63.30,0.10,2222.20,83.10,436.40,1491.40,211.30
