SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ORISSA,1901,39.50,65.10,16.10,51.60,79.00,78.20,288.40,307.70,185.30,76.60,96.70,0.00,1284.20,104.60,146.70,859.60,173.30
ORISSA,1902,3.40,0.20,14.20,101.10,56.70,108.30,437.40,349.10,202.70,33.20,13.00,29.60,1349.00,3.50,172.10,1097.60,75.80
ORISSA,1903,19.70,18.90,10.50,34.60,73.30,154.30,410.40,295.20,265.60,228.50,46.20,11.00,1568.30,38.60,118.50,1125.50,285.70
ORISSA,1904,0.20,12.20,20.60,10.10,100.20,342.90,336.70,350.40,227.80,111.80,0.00,1.90,1514.80,12.40,130.90,1257.80,113.70
ORISSA,1905,24.30,17.20,66.30,56.90,107.50,92.00,330.10,281.40,344.10,36.40,0.70,0.40,1357.30,41.50,230.70,1047.60,37.50
ORISSA,1906,19.80,88.30,40.90,5.00,46.30,219.00,348.80,261.80,251.70,86.20,13.00,27.40,1408.20,108.10,92.20,1081.30,126.70
ORISSA,1907,0.10,16.90,57.40,105.10,39.80,226.30,203.90,531.80,204.80,15.90,14.00,31.20,1447.10,17.00,202.30,1166.80,61.10
ORISSA,1908,36.20,0.60,12.20,9.90,59.30,218.70,327.20,507.30,213.90,45.30,0.00,0.00,1430.60,36.80,81.40,1267.10,45.30
ORISSA,1909,5.70,11.90,4.80,148.40,53.10,288.20,452.70,234.30,234.00,42.30,1.80,58.10,1535.50,17.70,206.30,1209.20,102.20
ORISSA,1910,10.60,0.60,2.10,52.70,60.60,258.80,381.80,368.70,237.90,216.20,8.50,0.00,1598.50,11.20,115.50,1247.10,224.70
ORISSA,1911,0.00,2.70,26.20,18.60,56.60,351.60,172.20,406.20,270.00,92.30,15.00,5.90,1417.30,2.70,101.40,1200.00,113.20
ORISSA,1912,1.00,62.50,10.40,49.30,39.60,113.00,388.40,405.60,216.40,64.50,46.50,0.00,1397.20,63.50,99.30,1123.40,111.00
ORISSA,1913,1.20,56.30,9.60,12.30,87.10,230.00,448.00,356.40,166.30,149.70,25.70,1.70,1544.30,57.50,108.90,1200.70,177.10
ORISSA,1914,0.00,20.20,12.70,64.60,175.00,255.80,397.70,309.70,342.20,12.90,1.00,6.80,1598.50,20.20,252.30,1305.30,20.70
ORISSA,1915,15.40,21.40,37.30,25.20,74.50,165.10,239.40,313.00,270.80,149.20,125.60,0.00,1437.10,36.90,137.10,988.30,274.80
ORISSA,1916,0.00,4.90,0.80,33.80,45.50,339.60,250.70,334.70,197.60,216.10,55.80,0.00,1479.40,5.00,80.10,1122.50,271.90
ORISSA,1917,0.00,68.50,24.00,26.00,95.10,336.30,319.00,319.40,280.60,364.40,16.40,0.30,1850.10,68.50,145.20,1255.40,381.10
ORISSA,1918,10.80,0.30,19.30,28.50,127.70,363.30,216.50,324.80,190.10,7.50,5.10,3.60,1297.40,11.10,175.50,1094.70,16.10
ORISSA,1919,59.80,56.60,29.50,30.20,72.00,332.30,354.70,492.20,138.30,89.80,99.70,2.80,1758.10,116.40,131.70,1317.60,192.40
ORISSA,1920,3.30,18.20,50.70,26.90,51.20,173.20,561.40,303.90,167.20,44.90,1.60,0.00,1402.60,21.50,128.80,1205.80,46.50
ORISSA,1921,48.70,1.10,1.70,26.40,19.50,210.20,321.90,289.10,338.20,62.90,4.40,0.00,1324.00,49.70,47.70,1159.40,67.20
ORISSA,1922,20.00,0.20,1.90,13.90,46.60,247.00,431.80,295.40,328.80,50.90,30.00,0.10,1466.50,20.20,62.40,1302.90,81.00
ORISSA,1923,0.20,66.30,9.60,17.10,34.40,106.70,288.70,333.00,210.50,112.60,74.80,4.70,1258.60,66.40,61.10,939.00,192.10
ORISSA,1924,30.20,5.90,1.30,15.70,83.90,95.30,228.50,312.40,232.00,106.00,152.30,0.00,1263.40,36.10,100.80,868.10,258.30
ORISSA,1925,2.00,0.00,6.00,52.20,111.80,353.50,433.70,429.90,201.50,201.80,4.80,10.70,1807.80,2.00,170.00,1418.60,217.20
ORISSA,1926,34.80,11.30,83.20,34.10,59.20,71.70,296.50,565.30,288.90,88.10,0.00,2.60,1535.80,46.10,176.50,1222.40,90.70
ORISSA,1927,3.00,27.20,8.10,12.60,51.60,241.80,454.50,431.50,181.00,92.20,22.10,0.00,1525.50,30.20,72.20,1308.80,114.30
ORISSA,1928,4.60,4.60,6.30,62.80,68.80,266.70,468.80,266.10,226.50,208.00,1.70,0.60,1585.60,9.30,137.90,1228.20,210.30
ORISSA,1929,18.00,18.80,4.50,25.00,37.80,193.40,525.00,423.40,190.90,185.70,0.00,15.30,1637.80,36.80,67.20,1332.70,201.10
ORISSA,1930,0.20,12.10,9.90,33.40,38.00,177.50,357.50,333.70,287.50,50.50,143.10,2.70,1446.40,12.40,81.40,1156.30,196.30
ORISSA,1931,7.40,36.80,20.70,18.60,44.30,108.00,239.90,511.00,197.00,233.40,59.50,0.40,1477.20,44.20,83.60,1055.90,293.40
ORISSA,1932,0.20,34.00,9.90,26.90,67.40,116.50,474.70,271.00,246.30,57.30,136.00,0.00,1440.20,34.30,104.10,1108.60,193.30
ORISSA,1933,17.80,57.40,7.90,25.50,136.50,288.60,404.80,448.60,294.70,138.10,20.00,11.10,1851.00,75.20,169.90,1436.70,169.20
ORISSA,1934,0.10,1.40,4.20,11.00,21.00,230.60,371.80,425.40,300.10,102.60,17.40,3.30,1488.90,1.50,36.20,1327.90,123.30
ORISSA,1935,1.10,10.20,12.40,42.10,16.20,135.50,531.30,212.80,237.80,17.50,0.10,2.30,1219.40,11.30,70.70,1117.50,19.90
ORISSA,1936,16.80,42.90,11.70,7.90,155.30,477.60,360.10,384.90,247.30,154.40,11.50,5.50,1876.00,59.70,174.90,1469.90,171.40
ORISSA,1937,0.00,89.00,28.40,66.90,64.90,235.20,430.60,290.00,285.80,75.50,0.80,0.30,1567.30,89.00,160.20,1241.60,76.50
ORISSA,1938,11.00,16.80,14.00,14.50,119.60,229.60,267.20,339.80,226.40,179.00,23.70,0.00,1441.60,27.80,148.10,1063.00,202.70
ORISSA,1939,8.10,10.90,34.90,26.30,19.10,196.90,411.90,410.10,242.10,181.20,19.30,2.80,1563.40,18.90,80.20,1260.90,203.30
ORISSA,1940,0.00,35.30,70.10,29.10,133.10,286.20,532.60,395.90,133.30,58.30,3.30,10.50,1687.70,35.30,232.30,1348.00,72.10
ORISSA,1941,28.30,1.40,8.20,14.50,62.30,288.20,356.50,272.40,186.00,155.90,61.50,0.10,1435.20,29.70,85.00,1103.00,217.50
ORISSA,1942,4.70,18.60,2.50,37.60,29.60,156.80,423.80,379.80,256.40,62.70,75.40,0.10,1448.30,23.40,69.80,1216.90,138.30
ORISSA,1943,63.90,4.10,11.90,68.90,54.60,200.30,413.30,382.90,294.70,71.80,20.10,0.00,1586.50,68.00,135.30,1291.20,92.00
ORISSA,1944,35.10,72.90,75.30,46.70,32.90,121.90,491.40,415.90,151.50,155.90,8.70,0.00,1608.10,108.00,154.80,1180.60,164.60
ORISSA,1945,20.30,4.70,0.10,50.60,58.00,152.60,387.10,270.30,405.90,176.10,2.50,10.40,1538.60,25.00,108.70,1215.90,189.00
ORISSA,1946,0.00,2.60,5.20,104.20,83.70,249.70,345.50,399.20,248.00,143.20,33.30,0.30,1614.90,2.60,193.10,1242.30,176.80
ORISSA,1947,21.80,19.30,14.70,17.30,38.50,210.90,341.50,374.90,173.30,127.10,10.30,61.30,1410.90,41.10,70.40,1100.70,198.60
ORISSA,1948,14.00,36.10,13.50,28.50,60.70,164.80,289.40,312.40,257.60,82.50,74.20,0.20,1333.80,50.10,102.70,1024.10,156.90
ORISSA,1949,0.90,3.10,8.70,35.10,78.10,140.70,248.90,307.10,303.10,222.10,1.10,0.00,1348.90,4.00,121.80,999.80,223.30
ORISSA,1950,0.00,21.20,69.70,7.70,49.40,199.40,326.90,327.40,197.90,55.10,138.10,0.00,1392.80,21.20,126.80,1051.60,193.20
ORISSA,1951,2.20,0.00,89.70,37.10,48.00,172.50,339.10,349.50,165.50,155.60,37.10,0.00,1396.20,2.20,174.80,1026.60,192.60
ORISSA,1952,0.30,9.50,26.20,53.20,44.40,187.10,356.40,352.00,307.90,176.60,2.20,1.10,1516.70,9.80,123.70,1203.40,179.90
ORISSA,1953,39.90,5.90,0.20,13.80,23.70,182.80,318.90,512.10,231.50,59.20,49.80,0.00,1437.70,45.80,37.70,1245.30,109.00
ORISSA,1954,0.60,6.20,8.60,19.20,50.20,163.20,211.70,271.90,344.00,118.20,0.00,14.20,1208.00,6.80,78.10,990.80,132.40
ORISSA,1955,0.10,0.20,8.40,29.60,76.50,201.70,238.00,355.90,371.40,262.70,52.30,0.30,1597.00,0.30,114.40,1167.00,315.30
ORISSA,1956,1.40,37.90,18.20,11.90,118.10,345.20,470.00,434.50,249.80,191.70,6.70,0.00,1885.40,39.30,148.20,1499.50,198.40
ORISSA,1957,12.30,26.60,30.40,12.40,33.60,153.50,349.20,415.40,194.50,49.50,0.10,0.00,1277.50,39.00,76.30,1112.70,49.60
ORISSA,1958,11.50,42.80,16.00,32.80,39.00,125.20,404.10,319.10,364.20,217.40,51.80,0.10,1624.00,54.30,87.80,1212.60,269.30
ORISSA,1959,28.50,2.40,2.70,22.20,47.10,202.70,357.40,341.60,316.50,170.50,1.50,2.70,1495.90,30.90,72.10,1218.20,174.70
ORISSA,1960,5.40,0.80,51.60,12.40,42.70,211.40,444.10,461.70,214.60,130.80,3.60,13.90,1593.00,6.20,106.80,1331.80,148.20
ORISSA,1961,15.90,116.20,3.20,15.90,59.70,324.80,406.20,327.90,483.20,178.20,11.30,2.70,1945.30,132.10,78.90,1542.10,192.20
ORISSA,1962,8.30,5.10,19.80,35.90,34.10,192.70,379.00,263.20,237.30,164.00,2.50,4.70,1346.50,13.40,89.80,1072.20,171.20
ORISSA,1963,0.20,6.90,9.10,47.00,90.00,218.70,310.60,361.90,306.90,204.90,3.90,2.00,1562.00,7.00,146.10,1198.10,210.80
ORISSA,1964,1.70,28.30,11.90,33.20,48.80,142.50,372.40,427.90,195.50,84.10,8.20,0.00,1354.70,30.00,94.00,1138.30,92.30
ORISSA,1965,10.60,17.30,59.10,37.90,37.60,123.10,392.90,187.30,222.90,83.90,1.00,1.00,1174.70,27.80,134.70,926.20,85.90
ORISSA,1966,49.90,3.60,0.90,28.00,37.90,306.30,340.20,211.00,155.90,78.90,63.40,10.90,1286.80,53.50,66.80,1013.40,153.20
