SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
PUNJAB,1901,55.70,50.10,25.20,2.10,25.20,10.40,178.20,145.00,24.40,3.70,0.00,3.30,523.50,105.90,52.50,358.10,7.00
PUNJAB,1902,0.00,0.80,9.90,10.90,29.60,49.90,125.60,94.90,67.20,9.00,0.00,0.10,398.00,0.80,50.40,337.70,9.10
PUNJAB,1903,29.50,0.50,45.00,1.30,9.20,5.20,212.20,119.10,132.50,6.90,0.00,9.50,571.00,29.90,55.50,469.10,16.40
PUNJAB,1904,24.20,1.70,87.80,1.20,13.80,22.00,59.90,124.00,73.80,7.40,9.80,25.90,451.50,25.90,102.90,279.70,43.10
PUNJAB,1905,53.00,40.30,24.30,0.50,2.20,19.20,122.60,50.30,111.10,1.20,0.00,9.40,434.30,93.30,27.00,303.20,10.70
PUNJAB,1906,5.30,83.10,50.50,1.50,4.70,38.30,99.40,190.50,181.50,0.50,0.00,22.20,677.50,88.40,56.60,509.80,22.70
PUNJAB,1907,27.30,95.40,53.10,50.70,3.30,20.20,82.80,249.00,6.80,0.40,0.00,0.00,589.20,122.60,107.20,358.90,0.40
PUNJAB,1908,46.90,11.80,0.30,31.30,12.10,13.00,183.80,399.10,37.30,1.20,1.70,2.00,740.40,58.70,43.70,633.10,4.90
PUNJAB,1909,34.00,21.00,0.20,48.60,1.80,81.30,240.90,178.70,197.20,1.50,0.00,40.50,846.10,55.10,50.70,698.20,42.10
PUNJAB,1910,27.10,5.60,1.10,2.70,1.40,111.40,143.90,217.90,79.50,21.00,0.00,4.80,616.30,32.70,5.20,552.60,25.70
PUNJAB,1911,112.10,7.30,108.50,3.70,1.00,64.90,26.40,103.50,34.00,11.70,32.60,0.10,505.60,119.40,113.10,228.80,44.40
PUNJAB,1912,53.30,5.20,8.50,19.90,10.00,10.60,173.30,197.40,37.50,0.00,18.50,2.20,536.40,58.50,38.30,418.90,20.70
PUNJAB,1913,0.90,58.70,47.50,0.60,52.80,86.90,111.50,159.00,22.60,2.20,2.60,15.80,561.20,59.60,100.90,380.10,20.60
PUNJAB,1914,19.80,26.90,15.80,44.60,17.30,58.90,290.90,75.60,193.10,34.70,8.10,8.70,794.40,46.70,77.70,618.50,51.50
PUNJAB,1915,28.70,59.80,48.30,9.30,4.30,22.50,54.10,67.40,105.50,19.30,0.00,2.40,421.70,88.50,61.90,249.60,21.70
PUNJAB,1916,2.80,20.90,2.80,4.40,8.20,33.90,238.30,184.10,71.30,21.10,0.00,0.60,588.40,23.70,15.40,527.60,21.60
PUNJAB,1917,6.50,3.10,12.50,71.90,31.30,82.60,172.40,211.40,369.10,156.50,0.00,9.40,1126.70,9.60,115.70,835.50,165.90
PUNJAB,1918,3.10,1.20,61.40,38.50,0.60,31.90,38.70,140.50,15.50,0.20,3.50,4.50,339.60,4.40,100.50,226.50,8.30
PUNJAB,1919,81.40,12.30,11.10,4.90,11.90,6.40,202.00,137.00,46.20,0.40,3.30,32.90,549.90,93.70,27.90,391.70,36.50
PUNJAB,1920,25.70,18.30,21.30,0.60,20.00,42.70,148.00,81.30,23.30,0.40,0.00,1.50,383.10,44.00,41.90,295.30,1.90
PUNJAB,1921,19.30,3.90,0.70,0.70,1.00,19.90,116.80,113.90,46.60,27.00,0.00,20.50,370.40,23.20,2.50,297.20,47.60
PUNJAB,1922,23.80,14.00,3.10,3.00,1.70,65.10,132.80,85.60,148.50,2.50,0.00,33.50,513.60,37.80,7.70,432.10,36.00
PUNJAB,1923,36.40,63.00,7.30,4.90,38.00,21.80,222.20,279.10,12.80,5.70,2.50,44.10,737.90,99.40,50.20,536.00,52.30
PUNJAB,1924,39.10,42.30,2.60,1.10,17.70,2.30,185.80,109.00,155.00,0.50,1.10,34.40,590.80,81.40,21.30,452.10,36.00
PUNJAB,1925,18.10,2.10,1.10,7.70,21.10,104.70,284.40,158.80,14.40,7.50,9.80,0.00,629.60,20.20,29.80,562.30,17.30
PUNJAB,1926,14.10,7.50,50.20,16.20,34.90,7.20,189.00,228.40,54.10,0.10,1.30,4.40,607.30,21.60,101.20,478.70,5.80
PUNJAB,1927,0.70,39.80,15.70,6.60,18.10,18.60,226.10,95.20,24.80,5.50,2.30,27.70,481.00,40.50,40.40,364.70,35.50
PUNJAB,1928,25.60,21.30,6.30,10.20,2.80,34.90,92.30,120.20,58.80,1.00,27.00,36.90,437.10,46.90,19.20,306.10,64.90
PUNJAB,1929,8.90,1.10,0.00,11.50,1.70,45.60,163.30,111.60,8.50,10.20,0.00,60.60,423.00,10.00,13.20,329.00,70.80
PUNJAB,1930,25.60,27.00,6.70,13.30,7.10,55.00,258.40,57.40,91.70,1.10,0.20,13.90,557.20,52.50,27.10,462.40,15.10
PUNJAB,1931,12.60,27.10,21.10,2.00,19.40,9.50,183.80,222.10,68.80,21.80,0.00,0.50,588.60,39.60,42.50,484.20,22.30
PUNJAB,1932,19.00,13.20,28.80,7.30,11.60,19.90,190.70,136.10,32.00,1.50,0.30,29.90,490.30,32.20,47.70,378.70,31.60
PUNJAB,1933,6.20,26.40,35.70,7.20,25.70,37.10,180.00,327.30,202.70,8.40,2.90,0.90,860.60,32.60,68.60,747.20,12.20
PUNJAB,1934,18.30,1.70,37.50,2.40,6.00,51.00,150.90,136.60,14.90,0.00,0.00,9.90,429.20,20.00,46.00,353.30,9.90
PUNJAB,1935,73.70,40.90,12.80,44.20,2.10,8.20,203.90,144.60,45.10,2.70,11.60,8.20,598.20,114.50,59.10,401.90,22.60
PUNJAB,1936,1.30,58.80,17.30,10.90,5.40,105.00,170.20,165.50,57.70,6.20,0.20,27.90,626.40,60.10,33.70,498.40,34.30
