SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
RAYALSEEMA,1901,7.00,50.20,0.00,12.10,38.90,53.00,73.40,60.30,109.00,81.60,137.20,91.30,714.00,57.20,51.00,295.60,310.10
RAYALSEEMA,1902,10.00,0.20,1.70,11.00,36.80,73.60,41.30,148.30,181.70,188.50,88.90,36.40,818.40,10.10,49.60,444.90,313.80
RAYALSEEMA,1903,30.00,0.10,0.00,3.60,80.50,67.50,127.50,140.60,219.70,95.30,289.40,84.00,1138.20,30.10,84.10,555.30,468.70
RAYALSEEMA,1904,14.80,0.00,1.70,7.10,58.80,39.80,75.10,19.40,84.70,111.50,4.40,16.10,433.40,14.80,67.60,219.00,132.00
RAYALSEEMA,1905,6.50,6.80,17.00,18.30,44.20,66.10,50.90,219.30,36.50,180.20,55.40,2.00,703.40,13.30,79.60,372.90,237.60
RAYALSEEMA,1906,115.30,7.20,6.80,2.10,9.60,84.10,127.90,154.40,130.40,107.70,35.00,132.20,912.60,122.40,18.50,496.80,274.90
RAYALSEEMA,1907,1.10,0.00,6.50,82.50,8.60,50.50,100.50,34.30,97.70,60.00,140.70,58.00,640.40,1.10,97.70,283.00,258.70
RAYALSEEMA,1908,5.70,4.30,4.70,5.50,41.20,36.20,65.00,45.50,222.60,151.80,27.90,6.80,617.10,10.00,51.40,369.30,186.40
RAYALSEEMA,1909,89.20,0.00,0.00,42.20,105.40,34.80,61.50,290.10,205.00,29.40,12.80,0.30,870.60,89.20,147.60,591.40,42.40
RAYALSEEMA,1910,0.60,2.10,0.70,13.10,33.30,46.50,197.90,188.20,165.30,205.10,148.40,0.00,1001.10,2.70,47.00,597.90,353.50
RAYALSEEMA,1911,0.00,0.00,0.80,20.90,65.00,54.00,73.60,47.50,107.60,102.10,83.20,35.90,590.60,0.00,86.70,282.60,221.20
RAYALSEEMA,1912,1.10,4.10,0.60,5.60,24.30,35.40,67.30,93.30,132.00,157.80,223.80,0.20,745.50,5.30,30.50,328.00,381.80
RAYALSEEMA,1913,0.00,0.40,0.90,10.80,52.80,37.00,93.30,36.90,122.10,184.20,12.30,65.60,616.30,0.40,64.40,289.30,262.20
RAYALSEEMA,1914,2.40,1.30,1.20,23.50,53.20,65.30,72.50,130.00,171.90,83.40,61.30,12.40,678.30,3.60,77.90,439.60,157.10
RAYALSEEMA,1915,44.90,4.80,80.20,11.90,47.40,55.30,155.30,59.70,167.90,64.60,225.10,5.90,923.10,49.70,139.50,438.20,295.60
