SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
SAURASHTRA & KUTCH,1901,1.90,0.00,0.10,0.20,3.20,9.10,87.80,62.50,12.00,3.80,0.00,0.70,181.30,1.90,3.50,171.40,4.40
SAURASHTRA & KUTCH,1902,0.10,0.00,0.00,0.50,1.10,14.40,92.90,160.00,123.90,1.50,0.10,6.50,401.10,0.10,1.60,391.20,8.20
SAURASHTRA & KUTCH,1903,0.50,0.00,1.70,0.00,3.10,10.50,337.90,96.10,61.90,11.10,0.00,0.00,522.80,0.50,4.80,506.40,11.10
SAURASHTRA & KUTCH,1904,1.40,5.80,17.50,0.00,0.00,9.50,111.20,9.40,28.90,0.30,1.70,0.00,185.60,7.10,17.50,159.00,2.00
SAURASHTRA & KUTCH,1905,1.50,1.00,0.60,0.40,0.00,6.40,254.50,12.30,12.80,0.40,0.00,0.00,290.00,2.50,1.00,286.00,0.50
SAURASHTRA & KUTCH,1906,0.90,28.20,0.00,0.00,0.00,126.00,161.00,152.20,56.60,14.90,0.00,0.60,540.30,29.10,0.00,495.70,15.50
SAURASHTRA & KUTCH,1907,0.00,19.70,0.00,2.30,0.40,69.00,201.10,213.70,3.30,0.00,0.00,0.00,509.60,19.80,2.70,487.10,0.00
SAURASHTRA & KUTCH,1908,3.60,0.00,0.00,0.00,0.00,30.20,284.80,198.80,10.40,0.10,0.00,0.00,527.90,3.60,0.00,524.30,0.10
SAURASHTRA & KUTCH,1909,0.20,3.50,0.00,3.60,1.00,99.60,247.50,64.80,157.20,2.30,0.00,6.70,586.40,3.70,4.50,569.20,9.00
SAURASHTRA & KUTCH,1910,0.30,0.00,0.00,0.40,0.50,163.80,162.10,194.20,24.70,3.60,0.20,0.00,549.70,0.30,0.80,544.80,3.80
SAURASHTRA & KUTCH,1911,1.50,0.00,35.50,0.00,0.50,42.10,12.60,27.40,19.90,0.20,0.20,0.40,140.40,1.50,36.10,102.00,0.80
SAURASHTRA & KUTCH,1912,0.00,0.00,0.70,0.50,0.30,62.60,428.70,133.50,20.20,2.70,3.40,0.00,652.60,0.00,1.50,645.00,6.00
SAURASHTRA & KUTCH,1913,0.00,0.00,0.10,0.00,0.70,213.10,352.80,122.60,61.90,0.50,0.00,0.10,751.90,0.00,0.90,750.30,0.60
SAURASHTRA & KUTCH,1914,0.00,9.80,0.40,0.00,4.90,161.30,118.10,36.50,238.00,4.20,4.10,0.00,577.10,9.80,5.20,553.90,8.30
SAURASHTRA & KUTCH,1915,1.30,1.30,7.90,7.20,1.30,34.90,99.30,12.30,29.50,50.60,0.00,0.20,245.80,2.60,16.40,176.00,50.80
SAURASHTRA & KUTCH,1916,0.00,0.00,0.00,0.00,2.70,21.00,105.70,238.90,98.30,29.30,0.00,0.00,495.90,0.00,2.70,463.90,29.30
SAURASHTRA & KUTCH,1917,3.40,0.20,0.00,1.50,57.00,81.40,215.20,209.90,109.60,208.50,0.00,0.00,886.70,3.70,58.50,616.10,208.50
