SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
SOUTH INTERIOR KARNATAKA,1901,4.90,31.80,3.00,32.70,109.60,106.00,210.00,109.20,140.80,170.10,72.50,12.30,1003.00,36.80,145.40,566.00,254.90
SOUTH INTERIOR KARNATAKA,1902,1.90,0.50,6.70,42.60,97.70,91.70,210.00,82.10,138.40,219.10,44.60,84.90,1020.10,2.40,147.00,522.30,348.50
SOUTH INTERIOR KARNATAKA,1903,0.30,0.00,1.10,11.60,125.10,129.70,284.40,155.70,197.10,154.20,186.60,24.10,1269.90,0.30,137.70,766.90,364.90
SOUTH INTERIOR KARNATAKA,1904,1.00,0.50,5.20,43.50,144.70,167.90,197.10,73.20,89.60,120.40,2.50,0.30,845.80,1.50,193.30,527.80,123.20
SOUTH INTERIOR KARNATAKA,1905,1.70,7.90,14.20,23.60,118.60,95.90,148.40,140.60,43.10,142.80,22.40,0.30,759.40,9.50,156.50,427.90,165.50
SOUTH INTERIOR KARNATAKA,1906,14.10,1.50,2.20,4.80,46.10,116.40,211.30,256.30,109.50,173.40,16.50,52.60,1004.50,15.60,53.10,693.50,242.40
SOUTH INTERIOR KARNATAKA,1907,4.50,0.00,11.70,84.70,46.50,137.40,231.50,219.40,146.50,52.60,49.50,14.10,998.50,4.50,142.90,734.90,116.30
SOUTH INTERIOR KARNATAKA,1908,8.30,2.40,9.30,44.40,92.50,92.20,263.60,118.10,88.00,69.60,1.20,0.50,790.20,10.70,146.20,561.90,71.30
SOUTH INTERIOR KARNATAKA,1909,19.80,1.20,6.70,42.10,166.60,138.90,245.50,190.50,109.00,121.50,35.80,9.70,1087.40,21.00,215.40,684.00,167.10
SOUTH INTERIOR KARNATAKA,1910,0.00,1.10,7.50,27.00,89.80,124.90,254.10,232.60,123.50,219.60,77.00,0.00,1157.30,1.10,124.40,735.10,296.70
SOUTH INTERIOR KARNATAKA,1911,0.80,0.10,5.20,28.80,123.20,174.80,225.70,84.00,63.30,156.70,35.80,7.90,906.30,0.90,157.20,547.80,200.50
SOUTH INTERIOR KARNATAKA,1912,0.80,4.60,2.70,41.70,70.10,133.00,291.90,181.30,176.10,190.00,57.60,0.10,1150.20,5.40,114.60,782.40,247.70
SOUTH INTERIOR KARNATAKA,1913,0.00,0.10,1.00,22.30,93.40,124.50,257.50,88.40,151.00,133.60,1.40,3.10,876.40,0.10,116.80,621.40,138.10
SOUTH INTERIOR KARNATAKA,1914,0.00,0.60,1.70,16.00,62.60,69.60,309.70,153.30,107.90,115.30,64.00,26.00,926.70,0.60,80.30,640.40,205.30
SOUTH INTERIOR KARNATAKA,1915,9.70,2.60,31.60,43.90,66.50,222.90,184.20,75.70,185.00,106.70,93.40,9.50,1031.90,12.40,142.00,667.80,209.60
SOUTH INTERIOR KARNATAKA,1916,0.00,0.10,0.20,23.90,146.30,184.00,188.50,204.70,145.50,178.40,151.60,7.40,1230.70,0.10,170.40,722.80,337.40
SOUTH INTERIOR KARNATAKA,1917,0.30,37.20,15.90,18.40,51.80,163.80,104.40,171.20,275.60,160.00,94.70,1.00,1094.30,37.50,86.10,715.00,255.70
SOUTH INTERIOR KARNATAKA,1918,11.10,0.70,13.90,41.00,110.10,69.20,47.50,102.70,98.70,47.00,182.60,8.90,733.30,11.70,165.00,318.10,238.50
SOUTH INTERIOR KARNATAKA,1919,4.80,0.00,7.70,27.10,99.80,152.70,166.90,108.40,225.00,81.90,132.30,4.70,1011.40,4.80,134.60,653.00,218.90
SOUTH INTERIOR KARNATAKA,1920,8.40,0.40,1.70,42.80,58.60,125.10,241.20,92.10,128.10,101.90,28.40,0.10,828.90,8.80,103.20,586.60,130.30
SOUTH INTERIOR KARNATAKA,1921,15.40,0.00,2.90,84.60,47.20,114.90,217.80,169.50,77.50,167.60,88.70,0.00,986.10,15.40,134.70,579.70,256.30
SOUTH INTERIOR KARNATAKA,1922,16.10,1.20,0.30,33.10,109.90,99.50,186.30,114.30,53.40,151.80,129.00,2.20,897.10,17.20,143.30,453.50,283.10
SOUTH INTERIOR KARNATAKA,1923,3.70,3.90,27.20,31.80,73.80,84.30,408.10,207.70,100.30,40.00,6.70,2.90,990.50,7.60,132.80,800.40,49.60
SOUTH INTERIOR KARNATAKA,1924,0.90,0.10,5.80,38.70,96.00,125.70,460.90,146.70,135.10,58.40,47.10,11.70,1127.00,1.00,140.50,868.30,117.20
SOUTH INTERIOR KARNATAKA,1925,0.00,0.10,8.40,63.00,116.50,143.20,221.30,132.60,115.30,65.80,69.40,46.80,982.20,0.10,187.90,612.40,181.90
SOUTH INTERIOR KARNATAKA,1926,23.00,0.40,7.10,37.50,64.10,89.60,234.30,174.20,168.30,89.70,7.60,1.20,897.00,23.40,108.70,666.40,98.50
SOUTH INTERIOR KARNATAKA,1927,0.10,2.50,5.20,11.20,82.50,114.30,249.10,118.50,186.80,19.40,74.20,0.00,863.70,2.50,98.90,668.70,93.50
SOUTH INTERIOR KARNATAKA,1928,0.60,44.30,24.00,43.40,66.10,112.10,189.10,161.70,37.80,229.70,28.90,12.70,950.50,44.90,133.50,500.80,271.30
SOUTH INTERIOR KARNATAKA,1929,4.70,13.70,1.90,127.70,101.30,149.70,178.60,88.80,186.00,100.90,76.50,5.20,1034.90,18.40,230.90,603.10,182.50
SOUTH INTERIOR KARNATAKA,1930,5.20,6.60,10.80,27.00,156.80,126.90,117.20,85.50,150.50,253.90,40.90,12.10,993.30,11.80,194.50,480.10,306.90
SOUTH INTERIOR KARNATAKA,1931,0.00,0.00,3.00,45.70,81.70,116.80,188.20,246.00,144.60,42.70,117.50,26.30,1012.60,0.00,130.40,695.70,186.50
SOUTH INTERIOR KARNATAKA,1932,0.00,10.40,0.50,35.80,155.80,72.40,262.90,264.30,117.10,227.00,122.40,1.60,1270.10,10.40,192.00,716.60,351.00
SOUTH INTERIOR KARNATAKA,1933,0.00,2.90,10.50,43.80,176.00,139.90,216.80,241.60,195.10,236.60,19.20,46.60,1329.20,2.90,230.30,793.40,302.50
SOUTH INTERIOR KARNATAKA,1934,5.90,0.40,1.10,40.90,52.60,149.40,158.70,137.50,27.70,173.50,38.30,0.30,786.30,6.30,94.60,473.30,212.10
SOUTH INTERIOR KARNATAKA,1935,6.20,1.20,5.20,48.60,52.60,121.90,211.00,197.10,105.20,191.60,6.80,7.30,954.50,7.40,106.30,635.20,205.60
SOUTH INTERIOR KARNATAKA,1936,0.00,6.20,34.70,15.70,102.10,185.20,156.20,111.60,176.10,89.50,76.50,4.50,958.40,6.30,152.50,629.20,170.50
SOUTH INTERIOR KARNATAKA,1937,0.10,9.80,14.60,90.80,81.60,99.60,232.70,78.00,121.70,147.00,25.50,9.70,911.20,9.90,187.00,532.00,182.20
SOUTH INTERIOR KARNATAKA,1938,0.00,3.90,17.40,40.70,45.80,144.40,153.80,237.60,178.70,30.60,15.90,2.60,871.40,3.90,103.90,714.60,49.10
SOUTH INTERIOR KARNATAKA,1939,3.50,0.00,13.10,70.50,49.60,92.10,184.70,198.10,114.70,226.60,71.60,0.00,1024.60,3.50,133.20,589.60,298.10
SOUTH INTERIOR KARNATAKA,1940,0.00,0.10,0.70,60.10,138.30,177.60,203.40,188.70,80.70,174.90,139.70,15.80,1180.00,0.20,199.10,650.40,330.40
SOUTH INTERIOR KARNATAKA,1941,1.20,2.30,2.30,43.80,73.80,154.90,186.50,154.90,129.80,108.40,19.50,60.20,937.60,3.40,119.90,626.20,188.10
SOUTH INTERIOR KARNATAKA,1942,0.10,2.00,0.50,45.00,91.00,164.10,247.50,145.90,77.30,109.00,26.70,23.70,932.90,2.10,136.40,634.80,159.50
SOUTH INTERIOR KARNATAKA,1943,24.40,0.90,3.70,48.30,189.90,88.50,243.10,67.50,137.00,283.00,50.80,0.00,1137.10,25.30,241.90,536.00,333.90
SOUTH INTERIOR KARNATAKA,1944,0.20,24.30,37.00,21.70,98.50,100.00,275.10,82.00,127.20,178.50,74.40,6.70,1025.70,24.50,157.30,584.30,259.60
SOUTH INTERIOR KARNATAKA,1945,0.40,1.20,0.30,54.90,93.30,79.90,260.90,109.90,72.60,85.20,33.70,0.10,792.30,1.60,148.40,523.30,119.00
SOUTH INTERIOR KARNATAKA,1946,0.10,2.40,14.80,62.50,86.90,146.80,201.50,255.90,168.10,112.90,150.30,42.90,1245.00,2.50,164.20,772.20,306.10
SOUTH INTERIOR KARNATAKA,1947,8.10,5.90,10.00,22.40,53.20,83.50,238.90,236.20,139.70,127.60,15.20,17.60,958.30,14.00,85.60,698.30,160.50
SOUTH INTERIOR KARNATAKA,1948,4.00,0.10,3.20,70.70,153.90,135.60,188.60,255.60,61.10,117.70,81.50,2.10,1074.10,4.00,227.80,641.00,201.30
SOUTH INTERIOR KARNATAKA,1949,0.10,0.10,3.80,32.10,103.60,82.40,179.50,165.20,107.80,188.30,13.60,0.00,876.40,0.20,139.40,534.90,201.90
SOUTH INTERIOR KARNATAKA,1950,0.10,13.30,0.80,6.50,61.30,91.20,268.80,148.70,154.50,133.70,77.10,0.40,956.50,13.40,68.70,663.30,211.20
SOUTH INTERIOR KARNATAKA,1951,0.20,0.00,13.00,60.90,135.20,111.70,205.70,89.40,177.90,98.00,33.30,0.00,925.30,0.20,209.10,584.70,131.30
SOUTH INTERIOR KARNATAKA,1952,0.30,10.70,0.60,40.00,76.80,106.80,176.20,156.20,66.70,188.60,0.70,48.20,871.80,11.00,117.50,505.80,237.50
SOUTH INTERIOR KARNATAKA,1953,0.50,2.20,0.70,71.00,34.40,163.70,368.50,191.50,113.00,307.40,2.60,0.50,1255.90,2.60,106.10,836.80,310.40
SOUTH INTERIOR KARNATAKA,1954,1.80,0.50,8.90,38.50,127.20,139.30,298.50,175.60,56.90,164.80,0.50,18.60,1031.10,2.30,174.50,670.30,183.90
SOUTH INTERIOR KARNATAKA,1955,0.90,0.10,10.40,48.70,168.20,135.90,88.90,151.60,201.20,175.10,18.10,2.90,1002.00,1.00,227.40,577.50,196.10
SOUTH INTERIOR KARNATAKA,1956,0.40,1.40,2.50,68.50,62.50,209.60,251.30,137.10,120.10,265.00,124.00,1.20,1243.70,1.80,133.50,718.10,390.30
SOUTH INTERIOR KARNATAKA,1957,0.00,0.50,9.40,18.60,169.00,174.90,242.60,147.20,47.00,177.60,77.90,0.10,1064.70,0.50,196.90,611.60,255.60
SOUTH INTERIOR KARNATAKA,1958,3.30,1.30,13.10,60.60,134.50,163.20,340.20,201.70,123.10,108.70,59.60,0.60,1210.00,4.60,208.20,828.20,168.90
SOUTH INTERIOR KARNATAKA,1959,0.20,2.50,0.30,25.20,89.80,255.80,425.60,172.20,218.20,55.40,29.30,6.30,1280.90,2.70,115.30,1071.80,91.10
SOUTH INTERIOR KARNATAKA,1960,0.30,0.00,15.30,42.40,92.60,119.80,254.30,124.40,162.70,112.80,65.30,0.20,989.90,0.30,150.20,661.20,178.20
SOUTH INTERIOR KARNATAKA,1961,2.10,3.40,2.60,62.50,161.60,196.20,492.70,213.50,93.80,165.40,14.30,1.40,1409.50,5.50,226.70,996.20,181.10
