SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
SUB HIMALAYAN WEST BENGAL & SIKKIM,1901,26.50,14.80,14.10,29.20,195.50,488.40,524.80,501.10,242.70,55.50,17.90,2.60,2113.20,41.30,238.90,1757.00,76.10
SUB HIMALAYAN WEST BENGAL & SIKKIM,1902,1.20,0.70,87.10,126.10,271.30,539.20,671.00,603.80,799.90,74.40,5.60,0.00,3180.40,1.90,484.60,2613.90,80.10
SUB HIMALAYAN WEST BENGAL & SIKKIM,1903,5.50,8.70,19.60,18.60,163.60,541.20,431.50,708.80,365.20,141.30,0.30,0.00,2404.50,14.30,201.90,2046.70,141.60
SUB HIMALAYAN WEST BENGAL & SIKKIM,1904,3.40,29.20,0.90,124.30,333.60,274.20,500.40,468.50,260.60,164.80,8.90,1.10,2169.90,32.50,458.80,1503.70,174.80
SUB HIMALAYAN WEST BENGAL & SIKKIM,1905,12.00,31.20,51.90,104.40,290.60,524.80,523.10,1036.60,321.10,87.90,2.70,18.70,3005.00,43.20,447.00,2405.60,109.30
SUB HIMALAYAN WEST BENGAL & SIKKIM,1906,9.30,49.20,30.40,13.00,198.10,438.00,706.40,816.00,208.60,140.50,8.00,0.40,2618.00,58.50,241.50,2169.00,149.00
SUB HIMALAYAN WEST BENGAL & SIKKIM,1907,10.40,20.80,71.10,108.80,156.20,408.10,889.80,358.80,456.10,40.00,5.80,4.10,2530.00,31.20,336.10,2112.90,49.80
SUB HIMALAYAN WEST BENGAL & SIKKIM,1908,10.60,32.90,9.80,53.80,315.00,368.60,449.10,268.50,441.60,36.00,2.30,0.00,1988.20,43.50,378.60,1527.80,38.30
SUB HIMALAYAN WEST BENGAL & SIKKIM,1909,2.10,8.60,0.00,147.80,191.90,896.00,340.90,600.50,340.20,136.80,3.60,1.80,2670.10,10.70,339.70,2177.50,142.20
SUB HIMALAYAN WEST BENGAL & SIKKIM,1910,2.50,17.40,73.20,47.40,170.40,833.70,859.80,489.20,353.10,188.00,11.20,0.20,3046.10,19.90,291.10,2535.70,199.30
