SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
TELANGANA,1901,6.90,41.80,7.80,45.20,22.00,123.60,237.80,177.20,77.70,75.50,12.20,0.00,827.70,48.70,75.00,616.40,87.70
TELANGANA,1902,0.00,0.00,0.20,10.70,7.30,52.40,146.30,142.80,190.50,41.70,31.20,7.30,630.40,0.00,18.20,532.00,80.20
TELANGANA,1903,12.90,4.60,0.00,9.90,40.70,99.20,505.20,246.70,191.90,155.80,15.50,1.10,1283.40,17.50,50.50,1042.90,172.40
TELANGANA,1904,0.00,0.00,10.80,0.80,14.70,104.20,139.50,50.00,162.30,44.40,0.00,0.00,526.70,0.00,26.30,456.00,44.40
TELANGANA,1905,0.00,4.30,12.80,27.60,32.20,129.50,82.40,237.30,179.10,19.60,0.00,0.00,724.90,4.30,72.60,628.40,19.60
TELANGANA,1906,22.50,1.20,13.40,2.40,0.70,211.10,210.80,226.70,96.30,20.50,14.90,34.80,855.20,23.70,16.50,744.80,70.20
TELANGANA,1907,1.00,3.30,10.20,61.90,0.20,217.50,160.50,263.30,116.80,0.30,3.60,5.00,843.70,4.30,72.30,758.10,8.90
TELANGANA,1908,35.60,2.60,5.20,0.30,6.50,107.40,254.90,168.30,401.20,0.10,0.00,0.70,982.80,38.30,12.00,931.80,0.80
TELANGANA,1909,0.50,5.90,0.50,26.40,2.20,133.80,288.30,168.60,138.50,4.60,0.00,0.20,769.50,6.30,29.10,729.20,4.80
TELANGANA,1910,0.00,0.00,0.00,4.20,25.00,220.90,198.20,150.30,230.50,101.40,45.30,0.00,975.90,0.00,29.20,799.90,146.80
TELANGANA,1911,0.00,0.00,7.90,0.70,7.80,133.90,122.10,176.30,174.40,23.00,6.00,9.90,662.00,0.00,16.40,606.70,39.00
TELANGANA,1912,0.00,37.50,0.00,20.40,6.60,28.50,263.30,196.80,149.50,7.80,33.40,0.00,743.80,37.50,26.90,638.10,41.30
TELANGANA,1913,0.00,13.40,0.00,8.00,34.60,83.50,337.20,108.80,101.70,35.20,0.00,9.70,732.20,13.40,42.60,631.30,44.90
TELANGANA,1914,0.00,0.00,1.20,34.10,41.50,233.10,271.30,195.10,278.60,16.20,10.30,2.00,1083.50,0.00,76.80,978.10,28.50
TELANGANA,1915,15.40,8.60,77.80,18.80,26.70,165.60,140.40,236.20,186.80,122.00,23.60,0.10,1022.00,24.00,123.30,729.00,145.70
TELANGANA,1916,0.00,4.10,0.00,15.90,16.10,233.20,216.40,137.00,291.80,153.10,95.10,0.00,1162.60,4.10,32.00,878.40,248.10
TELANGANA,1917,0.00,65.50,33.00,34.10,52.70,184.10,267.50,180.10,275.60,106.70,6.60,0.00,1206.00,65.50,119.90,907.30,113.40
TELANGANA,1918,20.20,0.00,32.60,8.30,55.50,97.80,106.10,89.60,96.90,6.40,7.50,33.90,554.70,20.20,96.40,390.30,47.80
TELANGANA,1919,5.50,39.20,31.30,35.00,23.60,158.80,139.40,115.30,129.90,130.60,78.50,7.40,894.60,44.80,89.90,543.40,216.60
TELANGANA,1920,7.40,0.00,1.70,24.40,31.40,62.80,138.80,66.50,78.90,24.90,0.00,0.00,437.00,7.40,57.60,347.10,24.90
TELANGANA,1921,7.10,0.00,0.10,5.40,5.50,200.90,296.70,161.10,240.70,68.00,17.90,0.00,1003.30,7.10,11.00,899.40,85.90
TELANGANA,1922,55.30,0.00,0.00,6.60,50.10,69.20,184.30,158.30,170.20,23.00,50.70,0.00,767.50,55.30,56.70,581.90,73.70
TELANGANA,1923,3.00,5.30,23.30,10.70,18.00,43.50,222.80,80.30,334.40,44.00,1.00,0.00,786.20,8.30,52.00,680.90,45.00
TELANGANA,1924,37.00,0.00,0.00,9.20,34.60,62.80,124.70,220.20,288.20,51.60,116.10,0.00,944.50,37.00,43.80,695.90,167.70
TELANGANA,1925,0.00,0.00,0.00,49.80,97.80,168.10,266.20,239.20,148.10,187.50,8.10,3.10,1167.90,0.00,147.60,821.60,198.70
TELANGANA,1926,46.10,2.00,24.00,48.80,24.00,74.70,227.30,205.10,70.50,41.00,0.00,0.00,763.50,48.10,96.80,577.60,41.00
TELANGANA,1927,9.60,11.00,4.60,2.00,14.30,248.30,266.00,158.50,142.40,59.90,89.00,0.00,1005.50,20.70,20.80,815.10,148.90
TELANGANA,1928,0.00,15.80,47.30,4.50,27.90,143.90,248.60,191.60,215.20,104.10,0.00,7.40,1006.40,15.80,79.70,799.40,111.50
TELANGANA,1929,5.30,64.80,0.00,21.70,2.80,146.00,115.00,142.20,232.50,35.90,0.00,24.50,790.50,70.00,24.40,635.60,60.30
TELANGANA,1930,0.00,14.70,5.40,13.50,1.70,184.90,131.10,144.70,215.60,60.00,64.30,0.00,835.80,14.70,20.60,676.20,124.30
TELANGANA,1931,0.30,5.10,4.00,13.30,25.90,187.30,368.60,155.90,288.10,107.40,25.50,1.60,1183.10,5.40,43.30,1000.00,134.50
TELANGANA,1932,0.00,40.30,1.30,17.60,25.80,119.70,300.40,179.00,172.90,32.00,60.90,0.00,949.90,40.30,44.60,772.00,92.90
TELANGANA,1933,12.90,17.40,15.70,25.00,63.40,332.00,243.40,226.70,262.20,128.90,24.00,44.50,1396.30,30.30,104.20,1064.30,197.40
TELANGANA,1934,0.10,0.00,0.10,18.30,1.20,111.70,296.90,280.20,162.30,15.20,42.00,0.00,927.90,0.10,19.60,851.10,57.10
TELANGANA,1935,16.20,3.40,1.40,42.20,2.70,115.10,309.70,162.90,198.30,43.50,2.60,0.50,898.50,19.60,46.30,786.00,46.60
TELANGANA,1936,2.50,79.10,15.30,8.40,73.70,200.00,268.90,220.90,128.40,96.40,48.20,15.10,1157.00,81.70,97.40,818.20,159.70
TELANGANA,1937,0.00,33.20,28.60,105.60,3.00,77.80,285.80,102.40,153.60,72.10,0.90,3.00,866.10,33.20,137.30,619.60,76.00
