SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
VIDARBHA,1901,36.80,39.90,30.90,26.10,7.30,129.70,295.30,368.80,123.40,35.20,0.00,0.00,1093.30,76.60,64.30,917.20,35.20
VIDARBHA,1902,1.60,0.10,0.00,6.50,4.10,38.00,270.70,204.70,150.90,29.60,16.10,26.70,748.90,1.70,10.60,664.30,72.40
VIDARBHA,1903,5.20,4.00,0.10,2.50,37.80,121.20,475.50,325.50,154.80,100.80,2.00,0.00,1229.40,9.30,40.30,1077.00,102.80
VIDARBHA,1904,4.30,2.40,12.90,0.20,14.80,148.90,158.30,151.80,196.90,61.70,0.00,0.90,753.20,6.70,27.90,655.90,62.70
VIDARBHA,1905,7.30,12.70,12.40,16.20,14.00,81.00,254.50,216.30,321.30,6.00,0.20,0.00,941.80,20.00,42.60,873.10,6.20
VIDARBHA,1906,12.90,3.30,11.90,0.20,6.10,328.10,350.40,325.80,113.30,6.90,14.30,18.10,1191.20,16.20,18.20,1117.50,39.20
VIDARBHA,1907,3.60,52.90,3.70,45.30,1.60,181.40,309.70,332.60,59.70,0.20,15.70,4.30,1010.80,56.50,50.50,883.50,20.20
VIDARBHA,1908,4.10,15.50,13.50,5.70,1.50,232.00,355.20,398.40,205.90,7.80,0.00,3.90,1243.40,19.60,20.70,1191.40,11.80
VIDARBHA,1909,1.30,10.00,4.80,31.50,17.90,157.10,405.00,176.00,160.30,7.30,0.00,90.60,1061.60,11.30,54.10,898.30,97.90
VIDARBHA,1910,0.00,0.00,0.00,0.10,10.00,289.10,297.40,278.70,300.30,57.70,60.80,0.00,1294.00,0.00,10.00,1165.50,118.50
VIDARBHA,1911,18.20,0.00,2.20,0.00,2.60,218.00,205.90,292.30,176.10,27.50,39.90,0.00,982.80,18.20,4.90,892.30,67.40
VIDARBHA,1912,0.60,49.30,0.20,6.10,7.20,54.20,364.50,391.90,117.00,6.90,15.60,0.50,1014.00,49.90,13.50,927.50,23.10
VIDARBHA,1913,0.00,24.90,4.00,1.80,17.20,199.80,378.30,244.30,137.20,17.40,0.30,27.40,1052.60,24.90,23.00,959.60,45.10
VIDARBHA,1914,0.00,13.40,12.80,39.10,15.90,239.50,341.20,245.60,266.60,6.10,5.70,13.10,1199.00,13.40,67.80,1092.90,24.90
