SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
WEST MADHYA PRADESH,1901,25.80,5.80,5.80,2.80,2.10,41.20,228.90,349.90,47.90,5.60,0.00,2.40,718.20,31.60,10.70,667.90,7.90
WEST MADHYA PRADESH,1902,22.10,8.40,0.00,2.00,5.90,35.90,401.90,179.40,194.10,37.90,10.00,14.20,911.70,30.50,8.00,811.20,62.00
WEST MADHYA PRADESH,1903,5.30,0.00,0.00,0.00,22.30,50.60,304.90,261.10,250.20,55.10,0.00,0.00,949.60,5.30,22.30,866.80,55.10
WEST MADHYA PRADESH,1904,3.20,15.50,14.80,0.00,12.00,96.60,273.00,218.60,125.90,3.30,1.80,9.60,774.40,18.70,26.90,714.10,14.70
WEST MADHYA PRADESH,1905,3.50,4.40,1.10,0.80,3.00,36.10,326.30,137.60,183.50,0.30,0.00,0.00,696.50,7.90,4.90,683.50,0.30
WEST MADHYA PRADESH,1906,0.00,11.00,6.80,0.00,0.50,180.00,344.50,198.60,266.20,1.50,0.20,0.90,1010.20,11.00,7.30,989.30,2.60
WEST MADHYA PRADESH,1907,5.20,25.10,0.60,12.30,2.80,48.70,202.20,328.50,17.30,0.00,7.80,0.00,650.40,30.30,15.70,596.60,7.80
WEST MADHYA PRADESH,1908,12.10,0.60,10.10,1.50,1.90,104.50,368.80,281.90,48.50,0.50,0.40,1.80,832.60,12.70,13.60,803.60,2.70
WEST MADHYA PRADESH,1909,3.50,2.10,0.40,24.80,9.80,150.00,246.20,257.90,106.80,0.90,0.00,27.90,830.20,5.60,35.00,760.80,28.80
WEST MADHYA PRADESH,1910,1.50,0.00,0.30,0.30,0.70,171.00,183.50,273.90,244.10,50.30,33.80,0.00,959.50,1.50,1.30,872.60,84.10
WEST MADHYA PRADESH,1911,16.20,0.50,3.50,0.00,0.80,112.20,111.10,154.20,222.30,11.80,43.70,0.00,676.50,16.70,4.30,599.90,55.60
WEST MADHYA PRADESH,1912,2.10,8.40,0.10,0.40,2.20,48.00,322.30,264.40,94.80,2.00,60.60,1.90,807.30,10.50,2.70,729.60,64.50
WEST MADHYA PRADESH,1913,0.00,7.60,3.00,0.00,28.20,168.70,290.00,220.40,58.50,0.40,0.30,13.40,790.50,7.60,31.20,737.70,14.10
WEST MADHYA PRADESH,1914,0.00,2.60,7.40,4.10,13.40,127.70,352.60,155.20,154.70,6.30,10.70,1.70,836.30,2.60,24.90,790.20,18.70
WEST MADHYA PRADESH,1915,9.50,24.50,34.30,5.40,6.60,124.20,179.00,215.20,90.10,75.50,3.80,4.60,772.70,34.00,46.30,608.50,83.90
WEST MADHYA PRADESH,1916,0.00,8.60,0.00,0.20,17.70,220.00,242.50,474.40,153.40,76.80,25.50,0.00,1219.20,8.60,17.90,1090.40,102.30
WEST MADHYA PRADESH,1917,8.30,23.10,4.50,1.90,62.70,184.30,316.60,338.00,275.40,94.40,0.00,0.10,1309.30,31.40,69.10,1114.30,94.50
WEST MADHYA PRADESH,1918,0.30,1.50,2.00,0.10,10.20,100.50,124.20,202.90,50.60,0.50,14.20,2.50,509.40,1.80,12.20,478.10,17.20
WEST MADHYA PRADESH,1919,43.80,1.70,0.40,4.20,10.90,163.90,330.20,545.10,69.90,39.00,22.00,1.80,1232.80,45.50,15.50,1109.10,62.70
WEST MADHYA PRADESH,1920,54.10,1.00,2.10,0.20,23.40,120.10,303.30,146.40,64.20,0.00,0.00,0.00,714.80,55.10,25.70,634.00,0.00
WEST MADHYA PRADESH,1921,28.60,0.30,0.00,0.00,0.00,136.80,187.30,215.30,238.90,1.30,0.00,0.00,808.70,29.00,0.00,778.30,1.30
WEST MADHYA PRADESH,1922,31.50,3.50,0.00,0.00,6.70,130.70,311.70,147.70,243.40,1.70,32.70,8.50,918.20,35.00,6.80,833.50,42.90
WEST MADHYA PRADESH,1923,0.90,2.70,8.40,2.60,3.50,12.10,561.60,296.20,173.60,0.70,1.20,7.60,1071.00,3.70,14.40,1043.40,9.50
WEST MADHYA PRADESH,1924,11.90,3.40,0.50,0.60,2.00,34.30,346.50,335.60,208.40,68.20,0.20,19.50,1031.30,15.40,3.20,924.90,87.90
WEST MADHYA PRADESH,1925,0.00,0.00,0.00,0.00,34.90,165.70,260.10,146.60,37.80,1.20,45.50,1.60,693.50,0.00,34.90,610.20,48.30
WEST MADHYA PRADESH,1926,16.00,0.80,8.80,2.50,8.50,21.90,268.30,429.00,143.50,12.80,0.20,1.50,913.80,16.80,19.80,862.80,14.50
WEST MADHYA PRADESH,1927,0.00,1.70,6.50,0.50,1.60,78.30,334.20,217.70,74.10,36.80,101.20,20.20,872.90,1.70,8.60,704.40,158.20
WEST MADHYA PRADESH,1928,0.40,31.90,2.80,0.00,2.50,75.60,395.00,217.60,49.50,66.90,1.60,51.90,895.60,32.30,5.30,737.70,120.30
WEST MADHYA PRADESH,1929,6.30,8.80,0.10,4.80,0.70,108.50,288.00,215.50,88.80,1.60,0.00,5.50,728.70,15.10,5.60,700.80,7.10
WEST MADHYA PRADESH,1930,3.00,0.30,0.00,2.20,5.10,96.40,392.80,183.50,167.10,36.90,0.60,0.30,888.20,3.30,7.30,839.80,37.80
WEST MADHYA PRADESH,1931,2.20,1.40,0.40,0.10,1.50,48.20,281.60,424.10,226.00,132.10,10.40,3.70,1131.60,3.50,2.00,979.90,146.20
WEST MADHYA PRADESH,1932,0.00,2.90,12.70,2.60,1.80,57.00,467.00,128.30,289.80,24.80,1.40,0.00,988.30,2.90,17.10,942.10,26.20
WEST MADHYA PRADESH,1933,0.20,5.00,2.10,11.70,36.70,196.50,276.90,351.80,288.10,22.70,11.40,8.50,1211.60,5.20,50.50,1113.30,42.70
WEST MADHYA PRADESH,1934,7.00,0.00,6.00,0.80,0.10,124.70,237.60,415.70,340.50,2.90,24.80,4.80,1164.90,7.00,6.90,1118.50,32.60
WEST MADHYA PRADESH,1935,5.30,2.90,0.00,7.80,0.70,94.30,361.20,157.50,213.60,17.80,0.60,9.50,871.10,8.20,8.40,826.60,27.90
WEST MADHYA PRADESH,1936,2.60,6.00,17.50,2.50,11.20,192.20,152.80,211.60,198.40,0.60,104.10,1.60,901.20,8.70,31.20,755.00,106.30
WEST MADHYA PRADESH,1937,1.00,12.10,6.10,8.10,3.60,177.60,442.00,163.90,201.90,30.00,1.00,6.20,1053.40,13.10,17.80,985.40,37.20
WEST MADHYA PRADESH,1938,8.70,0.00,1.50,0.80,24.50,306.30,345.50,206.10,38.60,69.00,0.00,0.00,1001.20,8.70,26.80,896.50,69.10
WEST MADHYA PRADESH,1939,6.20,0.90,8.20,0.20,0.30,64.10,284.80,312.40,119.60,3.90,1.40,0.60,802.50,7.10,8.80,780.80,5.80
WEST MADHYA PRADESH,1940,10.40,4.50,6.10,1.80,10.80,157.60,393.90,347.70,63.90,40.80,23.60,3.80,1064.70,14.90,18.70,963.10,68.10
WEST MADHYA PRADESH,1941,19.20,19.90,5.50,0.70,2.10,52.70,195.60,349.80,93.00,0.90,0.00,0.00,739.40,39.10,8.30,691.10,0.90
WEST MADHYA PRADESH,1942,28.20,28.30,0.70,1.50,1.20,122.70,558.00,286.00,163.50,0.10,0.00,11.50,1201.70,56.50,3.50,1130.10,11.60
WEST MADHYA PRADESH,1943,25.10,0.00,0.00,3.50,25.20,122.30,359.80,179.10,187.20,60.50,0.10,0.00,962.90,25.10,28.70,848.40,60.60
WEST MADHYA PRADESH,1944,15.80,14.80,34.10,2.60,0.80,87.90,500.60,519.50,118.70,49.20,1.10,2.60,1347.70,30.70,37.50,1226.80,52.80
WEST MADHYA PRADESH,1945,22.20,0.00,0.00,3.60,3.20,190.30,377.40,235.90,211.10,3.60,0.00,0.00,1047.40,22.20,6.90,1014.70,3.60
WEST MADHYA PRADESH,1946,0.00,10.90,0.10,3.00,3.20,256.80,341.40,387.50,100.40,5.90,117.90,23.60,1250.70,10.90,6.30,1086.10,147.50
WEST MADHYA PRADESH,1947,18.30,3.90,2.30,3.80,1.90,48.10,319.50,350.50,282.20,14.00,3.50,16.70,1064.70,22.30,7.90,1000.20,34.20
WEST MADHYA PRADESH,1948,36.60,6.70,0.70,0.90,0.70,145.00,382.50,369.70,225.80,17.80,61.10,0.20,1247.60,43.30,2.30,1122.90,79.10
WEST MADHYA PRADESH,1949,0.00,3.40,0.40,0.30,19.70,90.30,326.90,137.20,334.70,50.80,2.40,0.00,966.20,3.40,20.40,889.10,53.20
WEST MADHYA PRADESH,1950,2.40,2.00,15.00,0.30,5.80,34.80,411.30,182.60,230.40,2.90,0.00,16.90,904.50,4.40,21.20,859.20,19.80
WEST MADHYA PRADESH,1951,5.30,0.40,6.00,0.50,3.50,88.00,231.70,205.50,85.50,18.90,4.40,0.00,649.70,5.70,10.00,610.70,23.20
WEST MADHYA PRADESH,1952,0.70,8.90,1.70,1.70,0.80,163.60,367.70,239.40,35.80,1.40,0.00,7.60,829.10,9.50,4.20,806.40,9.00
WEST MADHYA PRADESH,1953,19.10,0.00,0.00,2.00,1.10,72.60,273.00,304.20,107.10,14.50,0.00,0.10,793.70,19.10,3.10,756.90,14.60
WEST MADHYA PRADESH,1954,12.30,11.90,5.40,0.10,1.00,70.60,318.70,183.20,480.10,16.90,0.30,0.00,1100.70,24.20,6.60,1052.60,17.30
