SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
WEST RAJASTHAN,1901,6.70,0.00,1.10,0.00,6.10,3.00,79.00,59.20,1.00,2.10,0.00,0.60,158.90,6.70,7.20,142.20,2.70
WEST RAJASTHAN,1902,0.00,0.00,0.00,0.50,4.00,49.10,27.00,71.30,41.80,1.80,0.00,0.00,195.60,0.00,4.50,189.20,1.80
WEST RAJASTHAN,1903,1.70,1.30,5.50,0.00,4.20,2.70,154.80,87.10,49.30,0.10,0.00,0.50,307.00,3.00,9.70,293.80,0.50
WEST RAJASTHAN,1904,3.80,2.90,16.30,0.70,11.40,14.60,39.80,45.60,21.40,1.40,2.90,7.10,167.90,6.60,28.50,121.40,11.40
WEST RAJASTHAN,1905,6.30,4.80,0.70,1.30,0.30,4.90,30.10,0.60,64.50,0.00,0.00,0.90,114.40,11.00,2.40,100.10,0.90
WEST RAJASTHAN,1906,0.10,39.10,7.80,0.00,0.20,19.90,53.70,58.60,87.10,0.70,0.00,2.40,269.50,39.10,8.00,219.30,3.10
WEST RAJASTHAN,1907,0.60,24.50,6.30,7.30,6.80,12.80,52.20,242.50,0.20,0.10,0.00,0.00,353.20,25.00,20.30,307.70,0.10
WEST RAJASTHAN,1908,8.50,0.20,0.00,3.80,6.60,28.40,208.90,265.80,56.80,2.00,1.00,0.00,581.90,8.60,10.40,559.90,3.00
WEST RAJASTHAN,1909,1.90,6.50,0.00,23.70,2.30,29.20,158.20,73.90,114.50,0.60,0.00,15.40,426.20,8.40,25.90,375.80,16.00
WEST RAJASTHAN,1910,2.20,0.20,0.00,3.60,0.30,67.30,50.50,156.60,12.20,0.50,0.00,0.00,293.20,2.30,3.90,286.50,0.50
WEST RAJASTHAN,1911,2.80,0.30,37.30,1.90,0.10,26.00,3.20,14.80,44.50,5.90,2.10,0.00,138.80,3.10,39.20,88.50,8.00
WEST RAJASTHAN,1912,16.30,0.00,0.10,2.20,2.90,19.70,119.70,96.80,13.40,5.00,3.70,0.00,279.90,16.30,5.30,249.60,8.70
WEST RAJASTHAN,1913,0.10,8.50,2.70,0.50,26.80,53.40,52.00,58.20,31.10,0.10,0.60,14.10,248.30,8.60,30.00,194.70,14.90
WEST RAJASTHAN,1914,2.60,1.80,0.10,8.40,3.00,51.60,125.30,54.10,48.30,4.00,3.10,0.00,302.30,4.40,11.50,279.30,7.20
WEST RAJASTHAN,1915,7.00,19.70,15.40,0.10,0.60,16.30,25.80,19.00,12.30,31.10,0.00,0.00,147.20,26.70,16.00,73.40,31.10
WEST RAJASTHAN,1916,1.50,0.30,0.20,1.70,16.40,21.20,66.10,191.50,102.80,20.00,0.00,0.00,421.70,1.80,18.40,381.60,20.00
WEST RAJASTHAN,1917,1.30,1.20,1.10,12.20,56.80,73.90,97.10,243.40,203.00,78.30,0.00,0.50,768.80,2.50,70.20,617.30,78.90
WEST RAJASTHAN,1918,0.40,0.00,2.70,0.50,0.70,5.60,5.10,40.80,5.90,0.20,0.20,0.10,62.30,0.40,4.00,57.40,0.50
WEST RAJASTHAN,1919,13.70,1.60,0.70,5.40,7.20,1.10,95.70,151.90,21.30,0.00,4.40,2.00,305.00,15.30,13.30,270.00,6.40
WEST RAJASTHAN,1920,2.70,1.50,0.90,1.50,49.20,60.30,94.70,37.20,0.60,0.00,0.00,0.00,248.70,4.20,51.60,192.80,0.00
WEST RAJASTHAN,1921,0.10,0.00,0.00,0.00,0.00,4.30,119.20,46.70,46.60,0.60,0.10,0.40,218.00,0.10,0.00,216.80,1.10
WEST RAJASTHAN,1922,0.40,0.60,0.00,0.80,4.60,18.10,90.80,33.90,91.70,1.50,0.00,2.50,244.80,1.00,5.40,234.50,4.00
WEST RAJASTHAN,1923,3.30,4.90,0.70,0.40,9.60,7.80,118.90,118.30,4.70,0.40,0.00,4.40,273.40,8.20,10.70,249.80,4.80
WEST RAJASTHAN,1924,4.40,2.20,0.10,0.50,8.60,11.50,86.00,68.80,103.60,0.90,0.30,10.10,297.10,6.60,9.30,270.00,11.30
WEST RAJASTHAN,1925,0.00,0.00,0.00,0.00,8.20,62.60,71.70,20.00,4.50,0.80,1.80,0.00,169.70,0.00,8.20,158.80,2.60
WEST RAJASTHAN,1926,5.40,0.30,19.40,0.80,21.40,4.00,95.60,179.40,113.60,0.00,0.00,0.30,440.20,5.70,41.60,392.60,0.30
WEST RAJASTHAN,1927,0.00,7.70,0.00,0.10,5.40,12.40,135.70,124.80,23.70,4.10,0.40,18.20,332.50,7.70,5.50,296.60,22.70
WEST RAJASTHAN,1928,0.40,0.80,1.00,2.00,2.10,10.20,79.90,140.40,16.80,14.70,3.30,0.50,272.00,1.20,5.20,247.30,18.50
WEST RAJASTHAN,1929,2.30,0.00,0.00,1.80,12.20,11.10,163.50,103.80,3.90,0.30,0.00,4.40,303.30,2.30,14.00,282.30,4.70
WEST RAJASTHAN,1930,2.50,1.20,0.70,1.80,16.70,47.10,100.30,45.20,8.10,6.30,0.10,0.00,230.10,3.70,19.20,200.70,6.40
WEST RAJASTHAN,1931,0.10,1.10,1.30,0.00,12.10,10.20,73.50,270.70,9.30,16.80,0.00,0.20,395.40,1.20,13.40,363.70,17.00
WEST RAJASTHAN,1932,0.70,0.20,6.30,1.80,4.40,10.80,118.60,115.50,6.20,0.00,0.00,0.60,265.30,0.90,12.50,251.20,0.60
WEST RAJASTHAN,1933,0.00,7.60,4.00,13.00,15.30,46.40,46.10,211.30,31.90,0.50,0.10,0.00,376.40,7.70,32.30,335.80,0.60
WEST RAJASTHAN,1934,0.80,0.00,8.20,0.20,1.60,60.70,46.80,185.30,16.40,0.00,0.00,2.40,322.40,0.80,10.00,309.20,2.40
WEST RAJASTHAN,1935,9.20,2.70,2.50,8.40,0.80,4.10,137.40,38.20,47.20,4.50,0.70,1.00,256.60,11.90,11.60,227.00,6.20
WEST RAJASTHAN,1936,0.10,4.60,1.80,0.30,0.40,56.60,33.30,119.00,37.70,0.00,9.60,2.00,265.50,4.70,2.40,246.70,11.60
WEST RAJASTHAN,1937,0.00,25.50,0.70,1.90,1.20,17.50,171.80,1.10,60.40,0.70,0.00,11.60,292.50,25.50,3.90,250.90,12.30
WEST RAJASTHAN,1938,2.10,0.50,0.00,0.60,4.30,52.60,75.50,45.10,1.60,1.10,0.00,0.10,183.50,2.60,4.90,174.80,1.20
WEST RAJASTHAN,1939,0.30,25.00,7.80,0.20,0.30,22.30,15.90,53.50,12.10,0.00,0.00,0.00,137.40,25.30,8.30,103.80,0.00
WEST RAJASTHAN,1940,18.10,8.50,6.80,1.20,2.20,34.50,55.70,160.40,2.90,1.40,0.70,0.00,292.40,26.60,10.20,253.50,2.10
WEST RAJASTHAN,1941,8.70,0.50,1.20,0.00,10.20,21.90,74.00,86.30,18.60,0.40,0.00,2.80,224.80,9.20,11.50,200.90,3.20
WEST RAJASTHAN,1942,3.60,12.20,0.00,3.70,16.40,19.40,124.30,80.50,75.20,0.30,0.00,3.30,338.90,15.90,20.20,299.30,3.50
WEST RAJASTHAN,1943,1.50,0.00,0.10,2.00,1.00,20.80,195.20,22.30,52.30,0.00,0.00,0.30,295.60,1.50,3.10,290.70,0.30
WEST RAJASTHAN,1944,14.20,5.70,9.70,11.20,0.90,15.10,137.00,325.30,4.70,1.10,0.00,0.10,525.10,19.80,21.80,482.20,1.30
WEST RAJASTHAN,1945,18.30,0.00,0.60,6.10,15.00,40.90,174.50,73.00,35.10,0.40,0.00,0.00,364.00,18.30,21.80,323.50,0.50
WEST RAJASTHAN,1946,0.00,1.10,0.00,0.00,3.00,45.50,41.70,117.00,10.10,1.00,0.00,3.60,223.10,1.10,3.00,214.30,4.70
WEST RAJASTHAN,1947,2.50,1.50,0.20,0.00,0.70,0.60,18.30,140.50,82.40,5.70,0.00,0.80,253.20,4.00,0.90,241.70,6.50
WEST RAJASTHAN,1948,21.40,15.40,6.70,0.10,0.80,6.00,111.30,57.50,11.90,1.20,0.30,0.90,233.50,36.80,7.60,186.70,2.40
WEST RAJASTHAN,1949,1.80,2.90,0.00,0.10,3.60,20.50,123.10,42.80,28.50,1.20,0.00,0.20,224.80,4.70,3.80,214.80,1.40
WEST RAJASTHAN,1950,1.40,0.30,1.70,0.00,1.90,6.60,131.50,64.80,70.10,0.00,0.00,0.00,278.30,1.70,3.60,273.00,0.00
WEST RAJASTHAN,1951,0.10,0.00,6.40,5.10,16.40,20.20,33.60,83.30,0.80,0.20,13.80,0.00,179.80,0.10,27.90,137.90,13.90
WEST RAJASTHAN,1952,0.00,3.70,0.50,0.40,2.00,20.60,156.90,81.60,0.80,0.20,0.30,0.20,267.10,3.70,2.90,259.90,0.60
WEST RAJASTHAN,1953,5.90,0.00,0.00,0.80,6.50,15.70,70.90,180.50,23.60,0.10,0.00,0.30,304.40,5.90,7.30,290.70,0.50
WEST RAJASTHAN,1954,1.60,13.40,0.60,0.00,0.80,16.20,97.00,35.60,82.30,2.00,1.00,0.00,250.40,15.00,1.40,231.10,3.00
WEST RAJASTHAN,1955,2.40,2.10,3.30,0.90,8.70,22.60,7.70,230.60,91.70,21.00,0.00,0.30,391.30,4.60,12.90,352.50,21.30
WEST RAJASTHAN,1956,3.10,0.20,6.10,1.00,0.10,20.60,208.00,76.40,12.10,45.10,0.00,1.40,374.20,3.30,7.30,317.10,46.50
WEST RAJASTHAN,1957,19.70,0.00,5.10,0.20,15.30,28.90,78.30,104.70,5.40,2.30,5.90,1.50,267.10,19.70,20.50,217.20,9.60
WEST RAJASTHAN,1958,2.20,0.00,0.30,0.40,3.20,15.50,69.20,25.00,123.60,4.50,14.70,5.50,264.10,2.20,3.80,233.30,24.70
WEST RAJASTHAN,1959,0.70,2.80,0.80,5.00,8.70,15.10,119.20,77.30,94.60,6.10,5.10,0.00,335.30,3.50,14.50,306.10,11.20
WEST RAJASTHAN,1960,0.20,0.00,3.00,0.20,1.60,25.10,102.30,76.10,3.20,0.00,0.00,6.10,217.80,0.20,4.90,206.70,6.10
WEST RAJASTHAN,1961,5.20,12.50,0.20,5.60,6.50,102.80,72.20,66.50,123.90,2.00,1.10,1.80,400.30,17.70,12.20,365.50,4.90
WEST RAJASTHAN,1962,0.80,0.20,7.80,2.30,2.10,3.30,126.50,62.10,55.00,0.00,0.20,2.10,262.50,1.00,12.30,247.00,2.30
WEST RAJASTHAN,1963,0.10,0.60,5.70,1.50,3.30,6.30,23.30,96.40,27.00,4.90,5.10,0.30,174.50,0.70,10.50,153.00,10.30
WEST RAJASTHAN,1964,0.60,0.30,0.50,0.40,13.70,25.40,138.90,140.50,16.40,0.10,0.00,0.60,337.30,0.90,14.60,321.20,0.70
WEST RAJASTHAN,1965,3.60,1.30,3.20,2.70,7.10,6.00,128.00,52.00,7.80,3.40,0.10,0.00,215.30,4.90,13.00,193.90,3.50
WEST RAJASTHAN,1966,0.10,11.40,1.50,0.10,11.70,34.90,51.30,91.50,48.30,1.80,0.30,0.00,252.90,11.50,13.20,226.00,2.20
WEST RAJASTHAN,1967,0.00,0.00,59.00,2.10,2.00,25.20,63.10,96.00,64.20,3.30,3.70,21.70,340.30,0.00,63.20,248.50,28.70
WEST RAJASTHAN,1968,2.90,6.20,2.90,0.00,7.00,0.40,96.80,24.50,0.60,0.70,0.00,0.00,142.20,9.10,9.90,122.40,0.70
WEST RAJASTHAN,1969,1.00,1.20,1.10,1.00,2.70,3.00,48.80,43.50,15.50,1.00,0.10,0.00,119.00,2.20,4.80,110.80,1.10
WEST RAJASTHAN,1970,4.50,18.40,2.30,0.20,3.90,32.90,63.00,162.80,67.50,0.20,0.00,0.00,355.70,22.90,6.40,326.20,0.20
WEST RAJASTHAN,1971,3.40,0.40,0.20,1.10,23.90,69.90,83.70,46.40,20.50,2.20,0.00,0.00,251.50,3.80,25.10,220.40,2.20
WEST RAJASTHAN,1972,1.10,0.80,0.00,2.40,1.40,35.00,39.10,102.40,2.20,0.50,0.60,0.40,185.90,1.90,3.80,178.70,1.50
WEST RAJASTHAN,1973,0.60,0.40,0.00,0.00,10.90,15.80,64.80,311.30,48.80,0.40,0.00,1.80,454.80,0.90,10.90,440.80,2.20
WEST RAJASTHAN,1974,0.00,0.00,0.00,1.00,23.00,21.20,87.10,18.50,6.00,6.70,0.00,0.80,164.30,0.00,24.00,132.80,7.50
WEST RAJASTHAN,1975,1.10,0.30,0.80,0.10,2.70,56.80,184.60,145.60,135.20,26.20,0.00,0.50,553.80,1.30,3.60,522.20,26.70
WEST RAJASTHAN,1976,4.20,4.70,0.40,2.00,10.20,39.70,93.60,163.70,93.40,0.10,13.10,0.00,425.20,9.00,12.60,390.40,13.30
WEST RAJASTHAN,1977,8.10,0.60,0.10,4.90,11.70,91.40,146.40,51.10,73.60,0.20,0.70,0.40,389.40,8.70,16.70,362.60,1.40
WEST RAJASTHAN,1978,0.10,11.60,4.40,5.30,0.00,32.60,215.40,74.20,23.40,1.40,10.50,0.70,379.70,11.70,9.70,345.60,12.60
WEST RAJASTHAN,1979,2.90,25.50,1.70,0.70,31.60,19.00,118.60,71.90,16.70,10.60,7.50,1.70,308.20,28.40,34.00,226.10,19.70
WEST RAJASTHAN,1980,0.40,0.10,5.40,0.40,6.20,39.60,129.70,22.90,14.60,3.80,2.00,13.20,238.40,0.50,12.10,206.80,19.00
WEST RAJASTHAN,1981,5.30,2.60,7.30,0.00,9.20,15.30,108.90,40.50,22.60,0.20,34.80,1.80,248.50,7.90,16.60,187.30,36.80
WEST RAJASTHAN,1982,11.30,4.00,12.30,27.70,41.30,17.70,77.00,100.60,7.70,7.30,3.50,1.40,311.80,15.40,81.30,202.90,12.20
WEST RAJASTHAN,1983,2.80,0.80,2.10,36.10,37.30,33.40,183.80,111.40,51.60,10.00,0.00,0.00,469.30,3.60,75.50,380.10,10.10
WEST RAJASTHAN,1984,0.10,2.80,0.10,1.10,0.00,8.70,50.40,85.30,54.50,0.10,0.20,0.00,203.20,2.80,1.20,198.90,0.20
WEST RAJASTHAN,1985,0.30,0.00,0.60,8.90,10.90,12.30,97.60,55.20,4.20,4.20,0.30,2.80,197.40,0.40,20.40,169.30,7.30
WEST RAJASTHAN,1986,0.50,10.40,2.40,0.30,26.00,20.50,95.10,44.90,3.50,0.50,0.00,0.10,204.20,10.90,28.70,164.00,0.60
WEST RAJASTHAN,1987,6.70,0.50,5.70,0.90,34.80,36.70,22.90,29.30,1.80,0.60,0.00,3.10,143.00,7.20,41.50,90.70,3.60
WEST RAJASTHAN,1988,0.80,0.50,6.90,3.20,0.60,32.10,112.60,73.10,46.80,3.70,0.00,0.10,280.40,1.30,10.60,264.70,3.80
WEST RAJASTHAN,1989,8.60,0.00,1.30,1.00,0.20,25.80,81.00,109.10,20.30,0.20,0.20,0.50,248.10,8.60,2.40,236.20,0.90
WEST RAJASTHAN,1990,0.00,25.20,0.20,1.40,17.70,19.60,164.40,169.20,42.90,2.50,1.10,0.80,445.00,25.20,19.20,396.10,4.40
WEST RAJASTHAN,1991,0.20,4.00,0.00,13.60,7.00,19.30,60.60,55.50,17.10,0.10,0.10,1.60,179.00,4.20,20.70,152.40,1.80
WEST RAJASTHAN,1992,9.60,7.40,1.30,0.70,5.50,8.10,126.20,117.20,143.40,5.40,0.90,0.10,425.80,17.00,7.50,394.90,6.40
WEST RAJASTHAN,1993,2.20,3.30,2.00,3.00,5.90,48.60,172.10,6.80,47.90,1.50,0.20,0.00,293.50,5.40,10.90,275.40,1.70
WEST RAJASTHAN,1994,10.70,0.30,0.40,9.90,2.70,31.90,188.50,100.60,70.40,0.00,0.00,0.00,415.50,11.00,13.00,391.40,0.00
