SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
WEST UTTAR PRADESH,1901,51.40,25.60,9.50,0.70,5.60,23.80,201.90,374.30,67.70,7.60,0.00,7.90,775.90,76.90,15.80,667.70,15.40
WEST UTTAR PRADESH,1902,4.60,4.60,0.60,4.80,7.20,54.50,325.90,180.60,143.10,9.60,0.90,0.20,736.60,9.20,12.70,704.10,10.60
WEST UTTAR PRADESH,1903,13.40,0.40,1.20,0.00,8.20,32.70,145.40,279.10,150.40,177.30,0.00,0.40,808.40,13.70,9.40,607.60,177.60
WEST UTTAR PRADESH,1904,6.30,2.00,29.70,0.40,24.80,68.50,358.80,311.10,97.10,2.70,15.70,28.20,945.20,8.20,54.90,835.50,46.60
WEST UTTAR PRADESH,1905,32.30,26.60,14.80,3.60,7.10,18.90,139.80,95.00,92.20,0.20,0.00,2.90,433.50,59.00,25.50,345.90,3.10
WEST UTTAR PRADESH,1906,3.30,63.20,21.50,0.20,3.40,206.50,240.50,172.60,260.60,1.10,0.00,5.70,978.70,66.50,25.20,880.20,6.80
WEST UTTAR PRADESH,1907,13.80,64.80,17.60,27.20,9.60,15.80,176.50,263.90,0.50,0.00,0.00,0.00,589.50,78.60,54.40,456.60,0.00
WEST UTTAR PRADESH,1908,22.40,11.40,1.70,1.90,12.00,44.40,325.20,409.10,35.80,0.20,0.70,1.30,866.30,33.90,15.70,814.60,2.20
WEST UTTAR PRADESH,1909,16.70,6.10,0.10,69.00,2.80,163.30,350.60,155.10,106.80,1.10,0.00,31.40,903.00,22.80,71.90,775.80,32.50
WEST UTTAR PRADESH,1910,11.10,2.50,0.00,1.40,13.50,88.00,120.30,274.50,205.40,149.50,9.10,0.40,875.90,13.60,15.00,688.30,159.00
WEST UTTAR PRADESH,1911,63.80,0.50,31.60,0.80,0.30,58.80,57.40,135.60,346.20,17.20,38.90,0.60,751.60,64.30,32.60,598.00,56.70
WEST UTTAR PRADESH,1912,24.50,6.00,8.50,4.10,5.00,27.50,238.10,224.80,254.80,0.10,9.50,1.40,804.50,30.50,17.70,745.20,11.00
WEST UTTAR PRADESH,1913,0.20,37.40,27.00,1.80,52.00,124.20,123.70,101.20,19.70,0.90,0.70,6.40,495.30,37.60,80.80,368.90,8.00
WEST UTTAR PRADESH,1914,0.10,8.50,21.80,17.90,30.50,48.30,335.20,195.60,212.80,11.30,5.50,0.00,887.50,8.50,70.20,791.90,16.90
WEST UTTAR PRADESH,1915,20.20,60.70,50.30,7.40,11.90,58.50,196.00,241.30,136.00,18.40,0.00,1.80,802.50,80.90,69.60,631.70,20.20
WEST UTTAR PRADESH,1916,0.10,17.90,0.00,2.50,10.40,139.90,299.70,356.90,230.50,48.90,7.40,0.00,1114.20,18.00,13.00,1027.00,56.30
WEST UTTAR PRADESH,1917,9.70,25.60,11.70,16.80,48.50,101.80,298.10,235.50,288.90,80.10,0.00,3.50,1120.20,35.30,77.00,924.30,83.60
WEST UTTAR PRADESH,1918,7.20,0.70,10.90,4.90,5.50,83.60,72.90,161.00,20.30,0.20,4.10,0.60,371.90,7.90,21.40,337.80,4.80
WEST UTTAR PRADESH,1919,68.60,4.40,3.30,5.80,14.20,19.50,311.40,381.60,129.60,12.10,3.70,14.70,969.10,73.00,23.40,842.10,30.50
WEST UTTAR PRADESH,1920,5.20,9.30,9.70,0.40,19.60,128.10,332.40,88.20,28.10,1.80,0.00,0.00,622.80,14.50,29.70,576.80,1.80
WEST UTTAR PRADESH,1921,50.00,0.70,1.10,3.40,0.50,141.80,164.50,384.60,232.70,12.60,0.00,0.30,992.30,50.70,5.10,923.70,12.90
WEST UTTAR PRADESH,1922,36.80,4.10,0.00,1.60,2.60,77.60,326.30,336.90,190.70,2.90,0.90,20.40,1000.80,40.90,4.10,931.60,24.20
WEST UTTAR PRADESH,1923,4.90,39.70,0.30,0.00,7.40,8.10,209.80,350.40,204.10,39.70,1.40,36.40,902.30,44.60,7.80,772.40,77.50
WEST UTTAR PRADESH,1924,29.10,20.30,2.20,0.20,7.70,17.80,308.80,256.60,354.70,41.70,1.60,23.40,1064.10,49.40,10.20,938.00,66.60
WEST UTTAR PRADESH,1925,4.20,0.20,0.10,5.50,12.50,207.50,403.30,227.00,58.50,5.30,19.80,0.00,943.80,4.40,18.10,896.30,25.10
WEST UTTAR PRADESH,1926,13.00,8.20,53.70,14.60,24.90,15.90,282.30,312.40,168.20,22.20,1.30,0.40,917.00,21.10,93.20,778.80,23.80
WEST UTTAR PRADESH,1927,0.00,23.00,19.20,4.40,19.10,73.40,252.60,316.00,66.70,104.40,42.00,13.40,934.20,23.00,42.70,708.60,159.90
WEST UTTAR PRADESH,1928,28.60,89.90,1.90,7.80,8.60,55.90,262.40,85.10,33.70,43.20,8.60,18.90,644.60,118.50,18.40,437.10,70.70
WEST UTTAR PRADESH,1929,26.30,2.50,1.90,5.70,1.50,83.00,210.70,234.70,32.70,18.40,0.80,32.20,650.10,28.70,9.10,561.00,51.30
WEST UTTAR PRADESH,1930,23.80,18.30,0.60,2.60,4.30,64.00,369.60,219.70,50.40,30.90,0.20,4.00,788.10,42.10,7.40,703.60,35.10
WEST UTTAR PRADESH,1931,0.50,25.90,6.30,0.40,6.30,16.20,217.00,224.30,349.50,84.00,0.20,0.20,930.80,26.40,12.90,807.00,84.40
WEST UTTAR PRADESH,1932,0.00,4.20,13.00,4.20,2.90,24.30,175.30,178.70,286.70,0.10,8.60,7.90,706.00,4.20,20.10,665.10,16.60
WEST UTTAR PRADESH,1933,5.50,14.70,6.00,19.60,33.30,239.00,205.50,224.00,199.60,85.90,1.00,1.40,1035.30,20.20,58.90,868.00,88.30
WEST UTTAR PRADESH,1934,28.10,1.80,27.70,1.00,0.90,120.70,217.20,343.30,144.10,1.00,0.80,11.10,897.70,29.90,29.60,825.30,12.90
WEST UTTAR PRADESH,1935,28.40,22.00,2.80,15.90,0.20,16.80,321.40,170.90,174.60,2.30,2.90,26.50,784.60,50.30,19.00,683.70,31.70
WEST UTTAR PRADESH,1936,3.50,16.90,11.90,2.50,17.50,291.20,353.90,284.10,194.10,1.50,12.90,28.60,1218.40,20.30,31.90,1123.30,42.90
WEST UTTAR PRADESH,1937,0.30,64.60,1.80,11.50,10.50,66.10,211.80,164.80,131.70,2.20,0.90,10.70,676.70,64.90,23.70,574.30,13.80
WEST UTTAR PRADESH,1938,39.20,5.90,0.10,1.10,7.90,158.80,273.60,182.20,42.60,18.50,0.50,0.00,730.40,45.10,9.10,657.20,19.00
WEST UTTAR PRADESH,1939,8.00,21.20,6.30,0.60,2.90,130.20,235.50,101.70,211.50,3.20,0.00,0.00,721.10,29.20,9.80,678.90,3.20
WEST UTTAR PRADESH,1940,21.10,39.30,19.10,5.80,5.70,40.40,232.40,348.70,53.90,1.50,0.20,15.80,783.90,60.40,30.60,675.50,17.40
WEST UTTAR PRADESH,1941,35.60,8.30,1.60,0.00,16.00,87.60,56.20,221.60,83.00,4.40,0.00,2.00,516.40,43.90,17.60,448.40,6.50
WEST UTTAR PRADESH,1942,33.20,54.30,1.30,5.90,5.40,98.00,362.40,320.10,193.90,0.00,0.00,13.70,1088.20,87.50,12.60,974.40,13.70
WEST UTTAR PRADESH,1943,25.80,0.50,2.80,13.90,11.20,75.70,186.60,379.50,149.80,4.50,0.00,0.10,850.40,26.20,27.90,791.70,4.60
WEST UTTAR PRADESH,1944,32.30,43.20,44.40,25.10,0.40,76.50,255.40,183.20,87.10,21.00,0.60,1.20,770.30,75.60,69.90,602.20,22.70
WEST UTTAR PRADESH,1945,35.50,0.00,0.50,4.60,4.40,31.00,309.50,260.00,278.80,41.60,0.00,0.10,966.00,35.50,9.50,879.40,41.70
WEST UTTAR PRADESH,1946,0.10,19.30,0.70,11.90,20.40,92.20,378.20,277.60,40.00,31.50,18.20,6.70,896.60,19.40,33.00,787.90,56.40
WEST UTTAR PRADESH,1947,18.10,12.20,11.00,0.20,2.90,47.40,237.30,197.80,263.60,11.10,0.00,7.40,809.20,30.40,14.10,746.10,18.50
WEST UTTAR PRADESH,1948,37.20,18.80,11.90,0.30,5.30,9.20,310.30,422.80,179.70,22.50,9.60,0.50,1028.10,56.00,17.40,922.00,32.70
WEST UTTAR PRADESH,1949,0.60,38.30,3.40,3.20,10.70,14.50,339.00,267.70,207.80,21.30,0.00,0.10,906.70,38.90,17.40,829.00,21.40
WEST UTTAR PRADESH,1950,21.10,5.80,21.20,0.70,7.10,47.70,265.90,311.20,138.40,0.20,0.00,14.80,834.00,26.80,28.90,763.30,15.00
WEST UTTAR PRADESH,1951,16.40,8.20,34.90,6.60,11.50,31.70,141.00,253.40,199.90,6.50,18.70,0.00,728.90,24.60,53.10,626.00,25.20
WEST UTTAR PRADESH,1952,6.60,20.00,23.40,2.60,8.10,190.80,198.80,379.10,36.20,2.30,0.10,7.30,875.30,26.50,34.20,804.80,9.70
