Range,Drought Probability
1901-1905,1
1902-1906,1
1903-1907,1
1904-1908,1
1905-1909,1
1906-1910,1
1907-1911,1
1908-1912,1
1909-1913,1
1910-1914,1
1911-1915,1
1912-1916,1
1913-1917,1
1914-1918,1
1915-1919,1
1916-1920,1
1917-1921,1
1918-1922,1
1919-1923,1
1920-1924,1
1921-1925,1
1922-1926,1
1923-1927,1
1924-1928,1
1925-1929,1
1926-1930,1
1927-1931,1
1928-1932,1
1929-1933,1
1930-1934,1
1931-1935,1
1932-1936,1
1933-1937,1
1934-1938,1
1935-1939,1
1936-1940,1
1937-1941,1
1938-1942,1
1939-1943,1
1940-1944,1
1941-1945,1
1942-1946,1
1943-1947,1
1944-1948,1
1945-1949,1
1946-1950,1
1947-1951,1
1948-1952,1
1949-1953,1
1950-1954,1
1951-1955,1
1952-1956,1
1953-1957,1
1954-1958,1
1955-1959,1
1956-1960,1
1957-1961,1
1958-1962,1
1959-1963,1
1960-1964,1
1961-1965,1
1962-1966,1
1963-1967,1
1964-1968,1
1965-1969,1
1966-1970,1
1967-1971,1
1968-1972,1
1969-1973,1
1970-1974,1
1971-1975,1
1972-1976,1
1973-1977,1
1974-1978,1
1975-1979,1
1976-1980,1
1977-1981,1
1978-1982,1
1979-1983,1
1980-1984,1
1981-1985,1
1982-1986,1
1983-1987,1
1984-1988,1
1985-1989,1
1986-1990,1
1987-1991,1
1988-1992,1
1989-1993,1
1990-1994,1
1991-1995,1
1992-1996,1
1993-1997,1
1994-1998,1
1995-1999,1
1996-2000,1
1997-2001,1
1998-2002,1
1999-2003,1
2000-2004,1
2001-2005,1
2002-2006,1
2003-2007,1
2004-2008,1
2005-2009,1
2006-2010,1
2007-2011,1
2008-2012,1
2009-2013,1
2010-2014,1
2011-2015,1
2012-2016,1
2013-2017,1
2014-2018,1
2015-2019,1
2016-2020,1
2017-2021,1
2018-2022,1
2019-2023,1
2020-2024,1
2021-2025,1
2022-2026,1
2023-2027,1
2024-2028,1
2025-2029,1
2026-2030,1
2027-2031,1
2028-2032,1
2029-2033,1
2030-2034,1
2031-2035,1
2032-2036,1
2033-2037,1
2034-2038,1
2035-2039,1
2036-2040,1
2037-2041,1
2038-2042,1
2039-2043,1
2040-2044,1
2041-2045,1
2042-2046,1
2043-2047,1
2044-2048,1
2045-2049,1
2046-2050,1
2047-2051,1
2048-2052,1
2049-2053,1
2050-2054,1
2051-2055,1
2052-2056,1
2053-2057,1
2054-2058,1
2055-2059,1
2056-2060,1
2057-2061,1
2058-2062,1
2059-2063,1
2060-2064,1
2061-2065,1
2062-2066,1
2063-2067,1
2064-2068,1
2065-2069,1
2066-2070,0
2067-2071,0
2068-2072,0
2069-2073,0
2070-2074,0
2071-2075,1
2072-2076,1
2073-2077,1
2074-2078,1
2075-2079,1
2076-2080,1
2077-2081,1
2078-2082,1
2079-2083,1
2080-2084,1
2081-2085,1
2082-2086,1
2083-2087,1
2084-2088,1
2085-2089,1
2086-2090,1
2087-2091,1
2088-2092,1
2089-2093,1
2090-2094,1
2091-2095,1
2092-2096,1
2093-2097,1
2094-2098,1
2095-2099,1
2096-2100,1
2097-2101,1
2098-2102,1
2099-2103,1
2100-2104,1
