YEAR,ANNUAL
1901,3248.60
1902,3326.60
1903,3271.20
1904,3129.70
1905,2741.60
1906,2708.00
1907,3671.10
1908,2648.30
1909,3050.20
1910,2848.60
1911,2726.70
1912,3451.30
1913,2610.80
1914,2899.10
1915,3024.50
1916,2945.30
1917,2704.80
1918,2501.90
1919,3003.30
1920,3303.10
1921,2719.90
1922,3267.60
1923,3484.70
1924,4226.40
1925,3062.10
1926,2965.40
1927,2994.70
1928,2502.80
1929,3361.60
1930,3018.00
1931,3259.60
1932,3403.00
1933,4072.90
1934,2410.70
1935,2498.20
1936,3043.30
1937,2818.20
1938,2634.10
1939,2937.50
1940,3117.80
1941,3111.10
1942,3050.90
1943,3464.20
1944,2490.00
1945,2432.40
1946,3565.50
1947,2998.10
1948,3039.20
1949,2942.60
1950,3146.60
1951,2705.50
1952,2334.80
1953,2544.90
1954,2938.00
1955,3134.70
1956,2798.40
1957,3103.30
1958,2923.10
1959,3746.00
1960,3385.50
1961,4257.80
1962,3375.80
1963,2651.10
1964,2869.10
1965,2342.40
1966,2621.70
1967,2569.10
1968,3392.70
1969,2665.00
1970,2703.50
1971,3076.80
1972,2739.40
1973,2412.50
1974,2767.40
1975,3498.40
1976,2068.80
1977,3047.60
1978,3176.70
1979,2503.00
1980,2803.40
1981,3005.90
1982,2223.30
1983,2320.30
1984,2762.10
1985,2390.50
1986,2093.20
1987,2137.60
1988,2403.50
1989,2422.70
1990,2693.10
1991,3184.50
1992,3239.50
1993,2717.70
1994,3410.80
1995,2858.80
1996,2610.00
1997,3252.40
1998,3151.50
1999,2914.60
2000,2412.60
2001,2931.10
2002,2507.40
2003,2394.90
2004,2886.10
2005,3031.10
2006,3420.60
2007,3489.60
2008,2524.50
2009,2810.60
2010,3131.80
2011,3035.10
2012,2151.10
2013,3255.40
2014,3046.40
2015,2600.60
